all: behuoʔo
arm: eni
arm: eni
arm: eni
arm: eni
big: wago
bird: adau
bird: adau
bird: adau
bird: adau
bird: adau
bite: afu
black: dubaduba
blood: yara
blow: fune
bone: giha
breast: ama
come: ai
cut: pomu
dig: guni
dog: wa\ai
dog: wa\ai
dog: wa\i
dog: wa\i
dog: waʔi
drink: hihi
ear: ope
ear: ope
ear: ope
ear: ope
ear: ʔope
eat: hihi
egg: urim
elbow: giboʔa
emu: guiae
eye: nigaba
eye: nigaba
eye: nigaba
eye: nigaba
eye: nigiba
face: inigaba
face: inigaba
face: waruna
face: waruna
father: baba
father: babai
father: babai
father: baba\i
father: baba\i
fat (n.): mona
fear: dobi
fight: veʔa
fire: io
fire: io
fire: io\u
fire: io\u
fire: you
fish: oneba
fish: oneba
fish: oneba
fish: oneba
fish: ʔoneba
five: eni-apu
five: eni-apu
foot: geogo-hahaga
foot: geogo-hahaga
foot: o\anihahaga
foot: o\anihahaga
four: hauna-hauna
four: hauna-hauna
full: afuian
give: minena
green: gabagabani
hair: idi
hand: ahaga
hand: ahagi
hand: ene-haga
hand: ene-haga
hand: haga
hear: nani
heavy: unumu
here: eva
he/she: noa
hold: masaʔani
house: mali
house: mali
house: mari
house: mari
husband: emegi
I: ia
I: ia
I: ia
I: olani-baha
I: olani-baha (?)
kill: maiau
left: eban
leg: gegoho
leg: gegoho
leg: wabe
leg: wabe
louse: tuma
man: eme
man: eme
man: emegi
man: eme-mani
man: eme-mani
moon: manabe
moon: manabe
moon: manibi
moon: manibi
morning: buga
mosquito: nemo
mother: inai-ina
mother: inai-ina
mother: inaina
mother: inaina
mountain: ʔono
mouth: nogafoi
name: imu
navel: iribu
near: hebide
night: ganu
night: naine
old: baeau
one: miau
one: miau
one: miau
push: bibi
rain: guba
rain: guba
rain: guba
rain: guba
rain: guba
ripe: magani
river: guina
road: ahawalai
road: ahawalai
road: laea
road: lai-adakania
road: lai-adekania
rope: naga
rope: naga
salt: sari
sand: ʔone
see: eni
shoulder: gabi
sing: madi
sit: yauni
skin: ʔopi
spit: oro
star: ligon
stone: goma
stone: goma
stone: goma
stone: goma
stone: goma
sun: lina
sun: lina
sun: lina
sun: lina
sun: lina
swim: loʔonoi
tail: baruma
that: ada
there: adade
they: emena
they two: emua
thigh: wabe
this: eva
thou: ga
thou: ga
thou: ga
thou: ubau
thou: ubau (?)
thou: ya
three: aisen
three: aisen
three: aiseni
throw: ho
tooth: ma\a
tooth: ma\a
tooth: maʔa
tooth: maha
tooth: maha
tree: ana
tree: gabana
two: hauna
two: hauna
vomit: gobi
walk: bae
walk: wani
water: ia\a
water: ia\a
water: ia\a
water: ia\a
water: yaʔa
weep: ini heigotan
we: ge
we two (incl.): guaʔauna
what: nemeda
when: abaham
where: abona
who: ʔabuʔa
wide: badada
wife: have
wing: pepe
woman: aha
woman: aha
woman: haha-mani
woman: haha-mani
woman: have
wood: ana
yellow: gobugobuna
you two: iaʔauna
