all: k\urani
ashes: čɛrɛč\a
bark: k\ɔʔe
belly: karʔa
big: ˗kani
bird: hambirit
bite: k\anini
black: poːra
blood: d\iga
bone: mɛk\ɛte
breast: amp\a
burn: ˗oiyte
claw: šuːšuːle
cloud: uːraːša
cold: d\amayča
come: ˗d\eʔe
die: ˗toy
dog: herad\e
drink: ˗uːke
dry: koːkɛč
ear: kobɛro
eat: ˗d\ami
egg: b\uk\uːle
eye: ɪlča
father: lɛmme
fat (n.): haːyd\o
fire: puːto
fish: moːle
fly (n.): ats\elo
give: ˗d\aːye
good: kɛdeːka
grass: oːyha
hair: mɛša
hand: harka
head: mɛša
hear: ˗dakay
heart: mut\uro
horn: kaːsa
I: ana
kill: ˗kaːye
knee: kɪlba
know: ˗šaːge
leaf: kobɛro
liver: maːyɛ
long: ˗d\era
louse: saːk\ɛča
man: nama
many: ˗lɛka
meat: soʔo
moon: leʔo
mountain: tarra
mouth: kapa
name: maːxa
neck: gɔːǯa
new: awšita
night: č\uk\ana
one: šoko
other: ˗pilaːd\o
rain: roːba
red: ˗roːma
road: paːna
root: hite
sand: šayhača
say: asaːyde
seed: tiːšša
see: haːke
sit: hutiye
skin: k\oːla
sleep: piːʔaši
small: ˗naːyka
smoke: k\aːyyo
snake: maːka
stand: ˗ɛːle
star: hɪːsko
stone: d\ahe
sun: koːso
swim: ˗lafeːle
tail: ɛːko
thin: ˗kaːma
thou: ɪmma
three: hal\bat
tongue: ɪntsɪričʲ
tooth: ɪliča
tree: k\oraːyo
two: tamʷ
walk: aːni
warm: ˗kɔs\kɪde
water: piːše
we: ɪnnu
wet: k\apanaya
what: mɔdiyɔ
white: ˗potiye
who: ayno
woman: ɪnkɔč
you: ɪnna
