all: makanaəḷə
and: si
ashes: abo
back: ḍəḷəkə
bad: mā-ŋaŋa
bark: bakoro
because: asiloyata
belly: bi¢oka
bird: aδaðamə
bite: wa-kā¢ə
black: ma-i¢əḷəŋə
blood: əray
blow: wa-ipi
bone: ¢ōlalə
breast: θoθo
breathe: niakə
burn: wa-laobo
child: wavalakə
cloud: əmə̄mə
cold: mā-kə¢ələ
come: wa-kəla
correct: mā-θariri
count: wa-asipi
cut: wa-kətə
die: wa-pa¢aʸ
dig: wa-ḷoko
dirty: mā-tyadəŋəsərə
dog: tawpuŋ(
drink: wa-oŋolo
dry: ma-məalə
dull: mā-iḷoθo
dust: θovogo
ear: ¢aliŋa
earth: daə-daə
egg: batoko
egg: batoko
empty: oŋaoŋao
eye: ma¢a
fall: mo-a-dəkə
far: a-daili
father: t-ama
fat (n.): lama¢ə
fear: mo-a-kolodo
few: bəkəlanə
fingernail: kaləsəkəsanə
fire: apoy
fish: kāŋ
five: ḷima
float: ki-a-pəlay
flower: bəŋəḷay
flow: mo-a-ḷoḍo
fly (v.): ŋi-a-palay
fog: koḷoḷoŋo
foot: ḍapalə
forest: a-ŋato-ŋato
four: səpatə
frog: takorapaŋə
fruit: maḍo
full: swaətə
give: wa-bāy
good: mā-θariri
grass: obolo
green: salə̄səsə
guts: bōro
guts: bōro
hair: isiw
hand: aḷima
head: aolo
hear: ki-a-lala
heart: avava
heavy: mā-tələgə
he: ko-ini
hit: wa-ḷomay
horn: laoŋo
how: tomanə
hunt: wa-alopo
husband: taəḷəḷə
ice: pasabo
if: nay
I: ko-ako
in: aḍiŋi
kill: pa-pa¢ay
knee: pa¢oḷo
know: wa-θiŋalə
lake: bayo
large: mā-ḍaw
laugh: mo-a-ḷakay
leaf: vasaw
left: viri
leg: ḍapalə
lie: wa-apə¢ə
liver: aθay
live: wa-oḍipi
long: mā-ḷagi
louse: ko¢o
man: saovalay
many: mā-kaḷa
meat: bwatɘ
moon: ḍamarə
mother: t-ina
mountain: ḷəgeḷəgə
mouth: ŋodoy
name: naganə
narrow: ŋwa-tiki
near: də̄θə
neck: ḷə̄
new: bāvanə
night: maoŋo
nose: ŋoŋoanə
old: mā-roḍaŋə
one: iθa
person: oma-omas
play: ki-a-vavaŋ
pull: wa-bilibili
push: wa-ḍomoḷo
rain: odalə
red: ma-dirələ
right: vananə
river: ḍakəralə
road: ka-dalan-anə
root: bala¢ə
rope: ¢aḷisi
rotten: imā-laməkə
round: liməmətəkə
rub: wa-səḷəḍə
salt: timo
sand: ənay
say: la ya
sea: bayo
sea: bayo
seed: əapə
sew: wa-¢aisi
sharp: mā-raŋisi
short: əḍəkanə
sing: wa-sənay
sit:  wa-nənə
skin: ḷaŋi¢i
sky: so-bələ-bələŋ
sleep: wa-apə¢ə
small: tiki-anə
smell: wa-sabaḷi
smoke: əbəḷə
smooth: mā-sa-solapə
snake: solao
snow: pasabo
spit: so-a-ŋaḷay
split: wa-bo¢oko
stab: wa-¢ololo
stand: wa-idi
star: tariao
stick: okodo
suck: wa-θəḷəpə
sun: vai
tail: taoθo
they: ko-ini
thick: mā-koḍəməḷə
think: ki-a-
thin: mā-robiri
thou: ko-nomi
thou: ko-so
three: tolo
throw: wa-¢iḷi
tie: wa-kərəŋ
tongue: ḷidamə
tooth: valisi
tree: aŋato
turn: wa-balə
two: ḍosa
vomit: pwa-ota
warm: mā-ḍaraŋəḍaŋə
wet: mā-dapəŋə
what: manəmanə
when: ko-iganə
which: amanikino
white: po-poli
who: anəanə
why: asī
wide: mā-ŋolapa
wife: taəḷəḷə
wind: sa-səvər-anə
wing: sa-pakə-pakə
woman: ababay
worm: katuday
wrong: pasaḷio
year: ¢aili
yellow: boa-bolavanə
