all: kuˈlːu
and: əndɐ
animal: ˈtəɣsɐ
ashes: boːˈʃi
back: ɐˈɾuːɾu
bad: ɐjibˈɾæɾ
bark: bɐɾʤi
belly: guŋˈgu
big: ɐˈbɛɾ
bird: ˈciːdɐw
bite: nɐm
black: hɛˈbiːbi
blood: kuˈdɛn
blow: sˁudˁ
bone: biːˈdi
breast: ˈɐːfɐf
burn: kuɾukuɾu
child: ˈizɛi
cloud: tɐˈgɐɾɐk
cold: jɛj
come: koikɐt
count: ˈʃudˁun
cut: kos
day: zɐɣˈɾi
die: bun
dig: fɐs
dirty: ˈʒibit
dog: hæ̃ʃi
drink: nin
dry: qoq
dust: ɐˈbɐːləq
ear: hɐŋˈgɐ
earth: ˈgɐndɐ
eat: ŋɐ
egg: ˈtɐfult
eye: mo
fall: ˈkæŋg
far: moɾ
father: bɐːˈbɐ
fat (n.): ˈmæːni
fingernail: ˈɐʃkɐɾ
fire: huːˈɾu
fish: ɐˈmɐnɐnɐ
five: ʃɐˈmːuʃ
fly (v.): sˁotˁ
foot: cɛi
forest: tɐˈgoːɾɐst
four: ɐˈkoz
full: tˁon
give: nɐ
good: aˈgimɐn
grass: suːˈbu
green: hɛdalatan
guts: ˈɐːdɐnɐn
hair: hæːbɛn
hand: kɐmˈbɐ
he: ɐ-
head: bæŋˈgu
hear: mo
heart: wul
heavy: jilˈtɐg
here: ne
hit: kɐɾ
hold: ˈjidːəɾ
horn: hiˈlːitɐn
how: mɐnumːuk aɣonda
hunt: giˈmɐɾ
I: ɐɣɐ-
if: əndɐŋgɐ
in: ɐmːɐs
kill: ɐwijɐ
knee: ˈɐfud
know: bɛi
lake: ɐˈɣɐzɐɾ
laugh: ˈgoɾgoɾ
leaf: ˈɐːlɐ
left: zɐlgɐt
lie: kɛːˈni
live: ɐbəˈdɐɾ
liver: tɐːˈʃɐ
long: kuˈku
louse: gɛːˈnɐn
man: æːˈɾu
many: bɐˈbo
meat: ˈhæːmu
moon: ɐˈjɐɾ
mother: nɐːˈnɐ
mountain: ˈtˁondi
mouth: ˈmijɐ
name: mæn
narrow: ʃɐˈdid
near: mæn
neck: ʤinˈʤi
new: ɐjɛiˈnɛi
night: ciˈʤi
nose: ˈtĩʒɛɾ
old: ʒen
one: ɐˈfoːdɐ
person: boˈɾɐ
pull: ɐˈbəɾkəb
push: ˈjibdəd
rain: ʧinˈʤi
red: ˈʧidɛi
right: ˈɐːɣil
river: ɐjəˈɾɐw
road: tɐˈdɐqɐt
root: ˈicaːn
rope: kɐɾˈfu
rotten: fumˈbu
round: tabuˈluːlɛq
rub: ˈnunːuɣut
salt: ciːˈdi
sand: tɐˈzæːzult
say: hɐɾ
scratch: ˈzugmuz
sea: ɐˈɣɐzɐɾ
seed: ˈtəblɐlan
see: guˈnɐ
sew: ˈtˁɐːtˁɐb
sharp: ɐjiˈwɐl
short: gɐˈzul
sing: ˈɐsˁɐk
sit: goˈɾɐ
skin: kuːˈru
sky: iˈʒinːæːn
sleep: kɛːˈni
small: cɛːˈnɐ
smell: ɐfˈkɐɾ ɛimɐmɐˈni
smoke: nuːˈnɛn
smooth: səˈlɐl
snake: ˈgõʃi
spit: ˈsətəf
split: ˈjiftək
squeeze: aˈbədəd
stab: fun
stand: kɛi
star: ˈɐtri
stick: bunˈdu
stone: ˈtˁondi
straight: ɐˈjɐʔɐd
suck: ˈsəmːəm
sun: wɛiˈni
swim: ˈjilmaɣ
tail: tɐˈlɐŋkɐwt
they: i-
think: ˈsəmədɾən
thou: nə-
three: kɐːɾɐd
throw: ɐbfuɾ
tie: hɐw
tongue: ˈiːləs
tooth: ˈiʃɐnɐn
tree: tuˈgudu
turn: ˈjiɣli
two: hiŋˈkɐ
vomit: jɛːˈɾi
walk: diˈdɐ
warm: koˈrɐ
wash: ˈhimɛi
water: ɐɾˈjɛn
we: ɐɾə-
wet: tˁɐi
what: cinɐ
when: ʧɐgud
where: mɐnːe
white: koːɾɛi
who: ci
wide: ajilˈwɐ
wind: hɛw
wing: ˈɐfrɐw
woman: wɛi
worm: tɐwukɐ
year: ɐˈwɐtɛi
yellow: ɐjɐˈɾɐɣ
you: ɐndə-
