all: magi
ankle: nugal
arm: daba
arm: diri
arm: gunga
ashes: gabu
ashes: murini
back: mudu
back: widil
bad: waray
bark: bida
bark: dumbul
belly: balgu
belly: belly
belly: wubiy
big: baŋgal
bird: ɟaruy
bite: baya-l
bitter: burɟil
black: bugaːl
blood: galbal
blow: buyburi-l
bone: dadagal
boy: waŋgari
branch: dumbari
branch: wulmbuɹ̣u
breast: guyuŋun
breast: ŋamun
breathe: wayway
brother: yaba
brother: yaba bibuy
brother: yaba waru
burn: ganda-y
burn: ɲuŋa-l
burn: wayi-l
butterfly: walbirwalbir
cheek: ɟulu
chest: dumu
child: baṇdil
child: bibuy
chin: ɟangun
cloud: ŋudaː
cold: biŋgay
come: gara-y
correct: yaɟul
crocodile: gaɲara
cut: guni-l
cut: guni-l
cut: nalba-l
dark: bugaːl
day: buŋanda
die: wula-y
dig: muɹ̣a ɟara-l
dig: ɟula-l
dog: guraː
drink: wuŋa-y
dry: gada(gada)
dust: bulbur
ear: bina
earth: burŋan
eat: buga-y
egg: biga
egg: biniri
egg: diŋal
egg: galwaɹ̣a
egg: miɹ̣u
elbow: mungul
emu: gindaɟa
eye: didi
eye: ɟili
eye: wuɟal
eye: wuɟal
face: ŋulu
fall: gaɹ̣a-y
fall: wanda-y
far: gagay
father: ɲumbu
fat (n.): gilmbar
fear: yarnga-y
fear: yinigara-y
feather: dila
few: mulumulu
fight: ɟirbi
finger: baŋgal maɹ̣a
finger: maɹ̣a
fingernail: bigum
finger: ŋamu
fire: ɟalbar
fire: biɹ̣i
fire: milmun
fire: ŋanɟal
fish: guyu
fish: miɲa
float: walŋga-l
flower: guyga
fly (n.): baɹ̣abaɹ̣a
fly (v.): bura-y
fog: gambar
foot: ɟinaː
foot: ɟinaː walŋga
foot: ɟuga
forehead: ŋulu
full: badabagay
full: ŋabir
girl: gumba
give: waː-y
good: guɹ̣iː
grass: dalmba
grass: ɟirgar
grass: ŋuyay
grass: ŋuyu
green: ŋuɹ̣bam
guts: gumun
guts: ɟulbiɟulbi
hair: buɟay
hair: guɹ̣aga
hair: gulaː
hair: gulmbu
hair: ɟiɹ̣aɲ
hair: ɟibi
hair: maŋga
hand: maɹ̣a
hand: maɹ̣a ɟulga
hand: maɹ̣a wada
head: bada
hear: bina ŋunda-l
hear: bina ŋunda-l
heart: burɲa
heart: ɟiba
heavy: mubu
here: gulu
he/she: guɟaŋun
he/she: guluŋun
hit: baga-l
hit: duː-l
hold: duga-l
hold: ɟimba-y
hold: nambi-l
hole: guway
hole: mulay
horn: garndam
how: ɟiri
hunt: wabar
husband: duɲu
I: ŋaɲa
I: ŋawu
I: ŋayan
in: munu
kangaroo: dulbil
kangaroo: gangula
kill: duː-l
knee: buŋgu
laugh: maŋga-y
leaf: dugu
leaf: mila
left: ɟagu
leg: bala
lie: walŋgu wuna-y
lie: wuna-y
lightning: ɟumbun
lip: biɲiː
liver: galmbaɹ̣a
long: galgalay
long: galgalay
louse: dimandiman
louse: guliy
louse: guliy
louse: mindil
man: buriburi
man: dayal
many: dawuldawul
many: ŋabi
meat: ɲaɲɟi
meat: miɲa
moon: giɟa
moon: gindan
morning: bugaːɟunu
morning: ŋiri
mosquito: ŋugun
mosquito: ŋulbul
mother: ŋama
mountain: bunda
mountain: bunda
mouth: biɲiː
name: guwal
nape: dugul
narrow: ɟamba
navel: ɟibin
near: biriː
near: marim
night: bugaː
nose: ɟiŋay
old: bulbu
old: buriburi
old: darŋgidarŋgi
one: ɲiwul
play: yiwandibi-y
pull: bura-l
pull: buyuri-l
push: baba-l
rain: bana
rain: gaban
rain: wurgu
rat: dalgan
red: galgal
red: wuba
right: malan
river: waɹ̣aba
river: wuɹ̣uː
road: ɟumburu
root: ɟinara
rope: mulgal
rope: nara
rotten: gaɟa
round: ɟulga
rub: bulba-l
sand: digara
say: buwal buga-y
scratch: giba-l
scratch: giba-l
sea: gulbul
seed: guyga
see: ŋunda-l
see: ŋunda-l
see: ŋurayi-y
sew: gunbi-l
sharp: ɟuɹ̣i
short: wandi
shoulder: binda
shoulder: dala
sing: baɟi-l
sing: ŋaygara-y
sing: wulŋgu ɟana-y
sister: badini ~ barini
sister: magu
sister: ɟuray
sit: ɲina-y
skin: dumbul
sky: ɟingal
