animal: pɪ́ɔ́ːrɔk
arm: k˗ʊmmʊ
ashes: kɔrɔ́ŋ
back: k˗ɔ́ːk
bad: ˗aːgi
bark: kiɲɲ́i
belly: č˗áːrik
big: ˗b̥b̥îk
bird: ŋ˗ʊ́rʊ̯́ße
bite: pá˗magɔ́yɔ́
black: ˗ɛ́ndí
blood: ŋíruk̥
blow: ɛːrʊ
bone: čʊmmɛ
bone: čummʷɛ
branch: t̪˗ɪ́k
breast: inǯik
breathe: pa˗ná duhɔ́
brother: paámbîŋ
burn: pɛːdék̥
child: ɲárɛ̂k
child: ŋʊ́rik
claw: k˗áːdɛdɛ
cloud: k˗ǎy(í)ri
cold: it̪t̪îŋ
cold: ŋ˗
come: ájɔ́
come: aku̒ǃ
correct: appʊŋ
correct: ˗attiŋ
count: táŋáːndu
cut: kɛɛ́gi
cut: tɔkʷaǃ
day: č˗iŋgi
day: tí˗(ǯ)ɪ́ŋgi
die: p˗ɪ́ːŋɔ
dig: kíːgʊǃ
dirty: aːnu˗ŋírí
dog: aːbʊk
dog: pɔak
drink: ɛːgʊ
dry: andok
ear: kéːnú
earth: p˗úl(ú)ga̒k
eat: lɔgɔ́ǃ
egg: ʷûyŋ
eye: r˗ɪ́ik
fall: pa˗rɪ́ŋgɔ
far: čɪ́ttaŋ
father: abba
father: ˗bɛ́
fat (n.): ŋáak
fear: p˗ana˗dɛːráŋ
feather: č˗ádáːlaŋ
few: âttɪ́k
fight: kɔ́tuǃ
finger: čaːdak
fingernail: k˗áːdɛdɛ
fire: t˗ɪ́k
fish: k˗áːßɛ
five: čißiɲ čállâŋ
flower: č˗ʊlɔ
flow: ŋí ŋa˗mʊtʊ́ndá
fly (n.): g˗ʊ́ːrʊ
fog: č˗ʊ́ːli
foot: čígâk
forest: tʊ́k
four: ˗ib̥b̥ɪ́ɲik
fruit: ŋ˗ʊ́rik
full: ˗aßʊ́ya
good: ˗attiŋ
grass: čaːßak
green: aːyi(k̥)
guts: tʊǯʊk
hair: t˗ūŋûŋ
hand: č˗ibiŋ
head: č˗a
head: č˗am
hear: mɛːdʊǃ
heart: č˗ígî
heavy: ˗ammî
hit: lɪ́waǃ
hole: č˗itik
horn: t̪ʊ́ːßîk
hunt: (ŋ́gɔ) čɛtɔ́ː
husband: pɛrɛ pɪ́n
I: aɲɪ́
kill: kɔßɔ́d̪aǃ
knee: k˗ʊŋgʊ
know: banna
laugh: ŋaːlwɛ́kǃ
leaf: t˗aːd̪á
left: ˗agʊ́lɛ
leg: č˗ɪ́gâk
lie: ɲaŋgɔ́d̪ɛǃ
live: p˗aːrá˗ná
live: p˗ʊnda
liver: t̪˗ʊ́ŋgi
long: ʊččɪ(ɛ)
louse: t˗ʊːdɛ
man: p˗ʊrʊk
many: ˗íččɔ̂
meat: áːbâ
moon: k˗áːnu(k̥)
mother: nɛːmbɛ̄
