all: chio
and: kaj
animal: animalo
ashes: cindro
at: che
back: dorso
bad: malbona
bark: shelo
because: char
belly: ventro
big: granda
bird: birdo
bite: mordi
black: nigra
blood: sango
blow: blovi
bone: osto
breast: brusto
breast: mamo
breathe: spiri
burn: bruli
child: infano
cloud: nubo
cold: malvarma
come: veni
correct: ghusta
count: nombri
cut: tranchi
day: tago
die: morti
dig: fosi
dirty: malpura
dog: hundo
drink: trinki
dry: seka
dull: malakra
dust: polvo
ear: orelo
earth: tero
eat: manghi
egg: ovo
eye: okulo
fall: fali
far: for
father: patro
fat (n.): graso
fear: timi
feather: plumo
few: malmultaj
fight: batali
fingernail: ungo
fire: fajro
fish: fisho
five: kvin
float: flosi
flower: floro
flow: flui
fly (v.): flugi
fog: nebulo
foot: piedo
forest: arbaro
four: kvar
freeze: glaciigi
fruit: frukto
full: plena
give: doni
good: bona
grass: herbo
green: verda
guts: intesto
hair: hararo
hair: haro
hand: mano
head: kapo
hear: audi
heart: koro
heavy: peza
he: li
here: chi-tie
hit: bati
hold: teni
horn: korno
how: kiel
hunt: chasi
husband: edzo
ice: glacio
if: se
I: mi
in: en
kill: mortigi
knee: genuo
know: koni
know: scii
lake: lago
laugh: ridi
leaf: folio
left: maldekstra
leg: gambo
lie: kushi
liver: hepato
live: vivi
long: longa
louse: homlauso
louse: pediko
man: viro
many: multaj
meat: viando
moon: luno
mother: patrino
mountain: monto
mouth: busho
name: nomo
narrow: mallargha
near: proksime
neck: kolo
new: nova
night: nokto
nose: nazo
not: ne
old: maljuna
one: unu
other: alia
person: homo
play: ludi
pull: tiri
push: pushi
rain: pluvi
red: rugha
right: dekstra
river: rivero
road: vojo
root: radiko
rope: shnuro
rotten: putra
round: ronda
rub: froti
salt: salo
sand: sablo
say: diri
scratch: grati
sea: maro
seed: semo
see: vidi
sew: kudri
sharp: akra
short: mallonga
sing: kanti
sit: sidi
skin: hauto
sky: chielo
sleep: dormi
small: malgranda
smell: flari
smoke: fumo
smooth: glata
snake: serpento
snow: negho
some: iom
spit: krachi
split: fendi
squeeze: premi
stand: stari
star: stelo
stick: bastono
stone: shtono
straight: rekta
suck: suchi
sun: suno
swell: shveli
swim: naghi
tail: vosto
that: tiu
there: tie
they: ili
thick: dika
think: pensi
thin: maldika
this: chi-tiu
this: tiu chi
thou: ci
three: tri
throw: lanchi
tie: ligi
tongue: lango
tooth: dento
tree: arbo
turn: turni
two: du
vomit: vomi
walk: piediri
warm: varma
wash: lavi
water: akvo
we: ni
wet: malseka
what: kio
when: kiam
where: kie
white: blanka
who: kiu
wide: largha
wife: edzino
wind: vento
wing: flugilo
wipe: vishi
with: kun
woman: virino
worm: vermo
year: jaro
yellow: flava
you: vi
