arm: kʌit
ashes: kʌnumboŋ
bark: gifiʔ
bone: saburiʔ
breast: mom
brother: wiak
burn: sɛsɛ
dog: sap
ear: du
eat: na
eye: dʌfur
fingernail: dinaŋ
fire: kʌdep
foot: koroŋ
full: titodo
hair: sesaʔ
head: karagubaŋ
he/she: adi
I: nok
knee: kaŋkariŋ
leaf: ser
leg: koroŋ
long: bʌseraŋ
louse: yim
moon: gimaʔ
mother: mi
mouth: dinimɛ
name: witaŋ
neck: wani
new: kʌyʌk
rain: guri
road: kʌdit
sand: yufuʔ
say: yʌ
sister: dinaißɛʔ
skin: gifiʔ
sleep: fir
smoke: kʌdogɔʔ
spit: iwit
star: windiboʔ
straight: dʌmine
sun: mɛre
thou: gɔk
thou: hi
tie: tikara
tongue: mimbi
tooth: me
warm: kʌdep-gok
water: ʌme
we: ni
wind: yukyuk
wing: fir
