all: tuh
animal: žintaŋ
ashes: žɛtʰ
bark: hop
belly: lɔə
bird: yaq
bite: ɗɔp
black: suːl
blood: ɲif
blow: fulil
bone: yox
breast: ɓip
burn: tam
child: kukɔʲ
cloud: yol
cold: soəːs
come: ʔacʰ
count: kin
die: xul
dig: xacç
dog: ɓox
drink: han
dry: suh
dust: pəndaʔ
ear: nuf
earth: feʲa
eat: ɲam
egg: wax
eye: ʔil
fall: kʲn
father: cçacç
fat (n.): fəžuːm
fear: ɗafas
feather: lam
fingernail: cçigilan
fire: kiːə
fish: ɟʝen
five: ʔip
fly (v.): pun
foot: qɔt
four: ʔini
full: lif
give: žɛt
good: baːx
guts: lil
hair: fɛn
hand: yaʔ
head: ʔaf
hear: kelɔx
heart: kɛɲ
hit: lap
horn: žicʰ
house: faːm
husband: yal
kill: hap
knee: yi
know: žuh
laugh: yɛn
leaf: saf
lie: fanɔx
liver: kɛɲ
long: ʔotʰ
long: ʔotʰ
louse: ɗiɲ
man: yal
many: cçaːq
moon: cʲn
mountain: tagoʔ
mouth: ɓuq
name: tʰiː
navel: kɔsin
neck: lum
new: has
night: ʔɛlɛk
one: žinoʔ
person: ʔɔʷ
play: heːʲoʔ
pull: nɔːqʰ
push: žɛɲ
rain: tɔp
red: lʊːəm
river: xulup
road: waːl
root: nil
rope: nih
round: ndɛrɛŋ
salt: mɪraː
sand: feʲ
say: wan
scratch: xɔcçɔx
seed: tisɔx
see: ʔɔtʰ
short: lux
sing: yɛk
sit: xʌm
skin: hʊnfan
sky: fan
sleep: neʔ
small: yɪn
smoke: dukə
snake: ǯɪnfeʲ
spit: ɓɔf
split: ɓɛs
squeeze: poəc
stand: kɔlɔx
star: xol
stone: laʔ
suck: ɓap
sun: naʔ
swell: lɔtʰ
swim: feːži
tail: luq
take: lɔx
three: ʔežɛʔ
throw: hɛŋ
tongue: pɛrɛm
tooth: sis
tree: kilik
two: ʔanaʔ
vomit: bɔtʰ
walk: til
warm: tam
wash: ɓɔːx
wash: hɔs
water: molop
what: daži
white: naːʔ
who: ɗiwa
wife: ɓɛlɛp
wind: purus
wing: pap
woman: ɓɛlɛp
wood: soqɔɲ
year: kiːl
