ashes: kabuːr
belly: ummɔ̀
big: kubo
bird: wuelli
black: iti
breast: mbaːrí
burn: wuci
come: ʌkɔ̀
cut: ece
dog: bisi
drink: iyà
ear: urrʌ
eat: wúːin
egg: kede
eye: koːm
fire: fodu
fish: kunɟɔ
foot: gʷɔr
give: imbà
hair: fiː
hand: iːli
head: suːbɔ
I: ma(ki)
kill: wuíː
knee: koɟù
meat: iɟʌ
moon: kʷanɟʌ
mouth: taːri
one: kʌllʌ
red: abʌl
sand: naːsi
see: dari
sit: wurɟi
small: kaṭri
stand: aɲ
sun: kaɟʌ
this: ini
thou: iyɛgɛ
thou: yi(ki)
three: muṭra
tongue: nɟelli
tooth: suːli
tree: kʌggʌ
two: roː
walk: ʌbi
warm: uŋa
water: kuɟʌ
we: zey
white: rafa
who: dɛːlɛ
