all: keðe
and: kei
animal: manumanu
ashes: dʳaβusā
back: daku-
bad: ðā
bark: kuli-
because: baleta
belly: daβuibuðo
bird: manumanu-βuka
bite: kata
black: loaloa
blood: drā
blow: uβu-ða
bone: sui
breast: suðu-
breathe: ðeŋu
burn: βā-kama-a
child: ŋone
cloud: ō
cold: batabatā
come: lako mai
correct: donu
count: wili-ka
cut: ðebe-ta
die: mate
dig: keli-a
dirty: duka
dog: kolī
drink: ŋunu-βa
dry: mãmaδa
dull: muðu
dust: ku^βu
ear: daliŋa-
earth: βanua
empty: lala
eye: mata-
fall: kʰoko
far: yawa
father: tama-
fat (n.): uro
fear: rere
few: lailai
fingernail: i-taukuku-ni-liŋa-
fire: kama
fish: ika
five: lima
float: nawa
flow: dʳodʳo
flower: sē-
fly (v.): ßuka
fog: kabu
foot: yaβa-
forest: βei-kau
four: βā
frog: boto
fruit: βua-
full: sĩnai
give: soli-a
good: βinaka
grass: δō
green: dʳokadʳoka
guts: tɔ̄
guts: tɔ̄
hair: dʳau-ni-ulu
hand: liŋa-
head: ulu-
hear: roŋo-ða
heart: uto-
heavy: bībī
he: koya
hit: samu-ta
horn:  -hiβi
how: βāeβei
hunt: βākati
husband: wati-
ice: wai-ðeβata
if: kē
in: loma-
I: yau
kill: βaka-mate-a
knee: duru-
know: kila-a
lake: dʳano
large: leβu
laugh: ďeďe
leaf: drau-
left: mawī
leg: yaβa-
lie: daβo
live: bula
liver: yate-
long: balaβu
louse: kutu
man: taŋane
many: leβu
meat: lewe-
moon: βula
mother: tina-
mountain: delana
mouth: ŋusu-
name: yaða-
narrow: ŋīŋō
near: βōleka
neck: domo-
new: βou
night: boŋi
nose: uðu-
old: ŋase
one: dua
person: tamata
play: ŋito
pull: dʳe-ta
push: bili-ŋa
rain: uða
red: damudamu
right: matau
river: uδiwai
road: ŋau-ni-sala
root: waka-
rope: dali
rotten: δā
round: mokimokiti
rub: masi-a
salt: māsima
sand: nuku
say: kai-a
sea: waitui
sea: waitui
seed: sore-
sew: ðula-a
sharp: ŋata
short: lekaleka
sing: sere
sit: dabe
skin: kuli-
sky: laŋi
sleep: moðe
small: lailai
smell: boi-ða
smoke: kubou
smooth: ďaβia
snake: ŋata
some: so
spit: kāsiβi
split: sei-a
stab: sua-ka
stand: fū
star: kalokalo
stick: i-tītoko
straight: dodonu
suck: domi-ða
sun: siŋa
tail: bui-
they: ira
thick: βāβaku
think: nanu-ma
thin: māmare
thou: iko
thou: kemunĩ
three: tolu
throw: βiri
tie: βesu-ka
tongue: yame-
tooth: bati-
tree: ßū-
turn: βuki
two: rua
vomit: lua
warm: katakata
wet: suasua
what: ðaβa
when: naiða
which: βei
white: βulaβula
who: ðei
why: baleta
wide: raba-i-leβu
wife: wati-
wind: ðaŋi
wing: taba-
woman: yalewa
worm: baða-ni-gele
wrong: ðala
year: yabaki
yellow: dʳomodʳomo
