all: (lɪ˗)˗čáp
animal: lə˗
animal: muyɛ
arm: č˗əla
arm: k˗əla
ashes: ɛwún
back: ɗ˗ə́ŋán
back: t̪˗áŋán
bad: ˗ekki
bad: t̪˗ekki
bark: c˗ijɛ
bark: k˗iyɛ
belly: ču˗
belly: ɛ˗wɪ́ɲ
big: ˗ɓât
big: kə˗
bird: ŋə́˗
bird: ṛúwɛ̂
bite: u˗gát̪˗ɔ t̪ə́n cə́ŋɔ́
black: ˗ʊŋunt̪úʔú
blood: ŋ˗un
blow: kɔ́wr˗úǃ
bone: č˗wɔ́ɲ
bone: k˗wɔ́ɲ
branch: ɗ˗án
branch: t̪˗án
breast: čə˗ú
breast: kə˗ú
breathe: wʊ́ndʒáŋá t̪aliŋa
brother: l˗aŋ
brother: w˗aŋ
burn: t̪˗ɔgɔnɔ́ːṛan
chest: kirim
child: kə́ló
child: tɪ́ó
claw: č˗ɛman
claw: k˗ɛman
cloud: kulɪ́ːlɪ́
cold: ŋ˗ɔ́t̪t̪ó
cold: ˗ɔ́t̪t̪o
come: aṛaǃ
come: u˗pɪ́nu
correct: ˗ɛ́ːṛá
correct: k˗
count: kát̪t̪ɔ́ŋɔṛiǃ
cut: kɔ́aǃ
cut: mɛrrɔ́ǃ
cut: mərt̪ɔ́ǃ
day: l˗úr
day: ŋ˗úr
day: ǹt̪ɛ́ŋə́ná
die: w˗ačč˗ʊ́
dig: kul˗ɔ́ǃ
dirty: ˗aŋart̪ɛ́
dirty: k˗aŋart̪ɛ́
dog: ɲ˗ɪ́n
dog: t̪˗ə́n
drink: íy˗ɔ́ǃ
dry: k˗
dry: ˗ɔ́ɲ
dust: kulɪ́ːlɪ́
ear: č˗ərṛi
ear: k˗əṛi
earth: k˗əɓá
eat: ɛ́ǃ
egg: l˗ɔ́ɲ
egg: ŋ˗ɔ́ɲ
eye: k˗í/č˗
fall: u˗bə́rg˗á
far: k˗
far: ɔ́ṛát̪ɔč
father: tágíɲa
fat (n.): ŋ˗ɛːṛá
fear: u˗luwɛ́
feather: ɗ˗
feather: t̪˗ulɛ́ŋá
few: l˗
few: ˗ɔŋáɗmán
fight: uɣ˗íǃ
finger: l˗ɔman
fingernail: č˗
fingernail: k˗ɛman
finger: ŋ˗
fire: iɣɛ
fire: igɛ
fire: ikɛ
fish: lammʷi
fish: ʊːmi
five: t̪ɔ́t̪t̪úí ~ át̪t̪úí
flower: kʊbiraŋ
flow: ŋ˗ɔ́but̪t̪an
fly (v.): m̀˗bŕl˗ʊ́
fog: kʊlɪ́lɪ́
foot: ɗ˗
foot: t̪˗əmáṛí
forest: wat̪íɲ
four: t̪ɔ́wáṛŋɔ ~ awaṛŋɔ
fruit: kə́lɔ́w
fruit: tíɔ́w
full: ˗ɔt̪t̪áb
give: nd̪˗íǃ
good: t̪˗
good: ˗úmt̪i
grass: k˗aṛú
grass: t̪˗uṛú
green: ɔ́ččíʔit̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̰̩̩̩̰̰̰̰̰̰̰̰̰̩̩
guts: č˗
guts: k˗ú
hair: ṛú
hair: t̪ə˗
hand: ɗ˗
hand: t̪˗ʊ́í
head: l̀˗
head: u˗ṛɛ́
hear: nɛ́ǃ
heart: ɗ˗
heart: t̪˗əgár
heavy: ninníč
he/she: wá
he/she: wá
hit: pʊ́˗aǃ
hole: č˗
hole: k˗əlɔ
hunt: (ndɔ́) ŋgərɛ́ǃ
husband: l˗
husband: u˗ṛaɲa
I: ˗ia
I: iɲi
kill: ɔ́aǃ
knee: č˗
knee: k˗r̀gɛ́
know: w˗áŋə́l˗ɛ́
lake: či˗
lake: kə˗ɗɔ́rɔ́
laugh: áčú ŋ̀gəṛəmɛ́ǃ
leaf: č˗
leaf: k˗əṛi
left: t̪a˗d̪ɛwur
leg: ɗ˗
leg: t̪˗əmáṛí
lie: ndr˗ɔ́wǃ
liver: ɗ˗
liver: t̪˗uíɲ
live: w˗árn˗á
live: w˗úmá˗rʊ́
long: ɗ˗
long: ˗ɔ́ṛátoč
long: t̪˗
louse: ɲí˗
louse: t̪ə́˗giɲ
man: k˗ádágíɲá
man: l˗
many: lɛ́˗ppal
many: ŋ˗pəl
meat: č˗ʊɣɛ
moon: l˗
moon: ui
mother: kálɪ́ɲa
mountain: č˗
mountain: k˗əɗa
mouth: ɗ˗
mouth: t̪˗əmʊ
name: č˗iŕɲ
narrow: k˗
narrow: ˗ʊ́mmɛ́
navel: t̪ugugu
near: ˗ɔppan
near: w˗
neck: l̀˗d̪ám
neck: (w)ʊ˗d̪úm
new: ˗iya
new: k˗
night: gʊlɔːgí
old: k˗
old: ˗ɔːɹan
one: t̪ákkan
person: k˗íó
person: lə˗mí
play: ŋət̪ɔw˗aǃ
pull: kət̪˗ɛːd̪ənúǃ
