all: hepsi
and: hem
animal: hayvan
ashes: kül
at: -de, -da
back: arka
bad: kötü
bark: kab
because: çünkü
belly: ürek
big: büyük
bird: kuş
bite: dalama
black: kara
blood: kan
blow: esmek
bone: kemik
breathe: solumak
burn: yanmak
child: uşak
cloud: bulut
cold: soguk
come: gelmek
correct: doğru
count: saymak
cut: kesmek
day: gün
die: ölmek
dig: kazmak
dirty: kirli
dog: köpek
drink: içmek
dry: kuru
dull: kör
dust: toz
ear: kulak
earth: yer
eat: yemek
egg: yumurta
eye: göz
fall: düşmek
far: uzak
father: baba
fat (n.): yağ
fear: korku
feather: tüy
few: az
fight: kavga
fire: yalin
fish: balık
five: bes
float: yüzmek
flow: akmak
flower: çiçek
fly (v.): uçmak
fog: duman
foot: ayak
forest: dağa
four: dört
freeze: donmak
fruit: meyve
give: vermek
good: iyi
grass: ot
green: yeşil
guts: barsaklar
hair: saç
hand: el
head: baş
hear: işitmek
heart: kalp
heavy: ağar
he: o
here: burada
hit: urmak
hold: tutmak
how: nacil
hunt: aylanmak
husband: koca
I: ben
ice: buz
if: eğer
in: -de,-da
kill: öldürmek av
know: bilmek
lake: göl
laugh: gülmek
leaf: yaprak
left: sol
leg: ayak
lie: yatmak
liver: karaciğer
live: yaşamak
long: uzun
louse: bet
man: adam
many: çok
meat: et
mother: ana
mountain: bair
mouth: ağaz
name: ad
narrow: dar
near: yakın
neck: ense
new: yeni
night: gece
nose: burnu
not: yok
old: eski
one: bir
other: öbür
person: kişi
play: oyun-
pull: çek-
push: it-
rain: yağmur
red: kırmızı
right: sağ
river: dere
road: yol
root: kök
rope: ip
rotten: çürük
rub: uğumak
salt: tuz çeşni
sand: kum
say: söylemek
scratch: kaşımak
sea: deniz
seed: tohum
see: görmek
sew: dikmek
sharp: keskin
short: kısa
sing: çalmak
sit: oturmak
skin: deri
sky: gök
sleep: uyumak
small: küçük
smell: koku
smoke: tütün
smooth: düz
snake: yılan
snow: kar
some: birkaç
spit: tükürmek
split: yarmak
squeeze: sıkmak
stab: bıçaklama
stand: durmak
star: yıldız
stick: sopa
stone: taş
straight: üz doğuru
suck: emmek
sun: güneş
swell: şişmek
swim: yüzmek
tail: kuyruk
that: o
there: orada
they: onnar
thick: koyü
thin: ince
think: düşünmek
this: bu
thou: sen
three: üç
throw: atmak
tie: bağlamak
tongue: dil
tooth: diş
tree: ağaç
turn: çevirmek
two: iki
vomit: kusmak
walk: yürümek
warm: sicak
wash: yıkamak
water: su
we: biz
wet: yaş
what: ne
when: ne zaman
where: nere(de)
white: beyaz
who: kim
wide: geniş
wife: kari eş
wind: lüzgär
wing: kanat
wipe: silmek
with: -nen
woman: kari
worm: kurt solucan
year: yıl
yellow: sarı
you: siz
