all: bugamba
and: bagi
and: maḍa
ankle: daṇn̪i
arm: d̪alu
arm: d̪alu
ashes: d̪ulur
ashes: mungul
ashes: n̪uru
back: ŋulur
bad: balgi
bark: waba
belly: muwa
big: d̪aŋalamba
big: walgura
big: walgura
bird: d̪ulagi
bite: bid̪ba
black: guguḍu
blood: ŋul̪a
blow: waɹ̣mba
boy: baḍaḍa
boy: d̪uga
breast: ŋamuɹ̣u
brother: buwaɲa
burn: daɲɟa
burn: d̪iniramba-
burn: yad̪ba
burn: yad̪ibara-
child: baḍaḍa
child: baya
cloud: ŋalu
come: baḍad̪ba
crocodile: gad̪i
cut: daya
cut: daya
daughter: d̪andan̪i
day: gamba-na
die: d̪an̪ba
dog: bad̪aŋu
drink: ŋaɹ̣aba
drink: ŋaɹ̣aba-
ear: guwaḍa
ear: guwad̪a
earth: d̪amba
earth: yamba
eat: ɟar-
eat: d̪arba
eat: d̪arba-
egg: magulu
emu: gaṇaŋan̪d̪a
eye: mila
eye: miṇmiṇd̪al
eye: yami
eye: yamin
fall: wirba-
father: bugagan̪a
father: buwaga
father: nid̪aŋan̪d̪i
fat (n.): guŋu
feather: n̪ambal
fight: daba
finger: mani
fingernail: yilwil
fire: buyuga
fire: guyuga
fire: walin
fish: gagu
fish: gagun
float: mawaḷ
flower: d̪aḷ
fly (n.): baba
fly (n.): baba
foot: d̪ina
foot: nugami
girl: ŋila
girl: ŋila(n)
girl: waḍu
give: bana-
give: wa-
give: wad̪ba
good: gun̪ba
grass: ganban
hair: n̪uŋgan
hand: mala
hand: maṇi
hand: man̪i(n)
head: gabaɹ̣a
head: gulad̪i
head: guwayin
hear: la-
hear: mangu
hear: mangu
heart: gudulu
heart: gudulu
here: gulani
here: nayi(ba)
here: ŋayiba
he/she: nanama
he/she: nanama
he/she: nanaŋgan̪i
he/she: nanaŋi
he/she: naŋa
he/she: naŋa
he/she: ɲulu
he/she: ɲulu
hit: daba
hit: d̪ani-
hold: marimba
house: baɹ̣awu
I: ŋana
I: ŋan̪i(n)
I: ŋaygu
I: ŋaygu
I: ŋayma
I: ŋayu
kangaroo: walid̪i
kill: daba
kill: d̪aba-
kill: ŋarbara-
know: d̪iŋgid̪ba
lake: wabuḍa walgura
laugh: gagalid̪ba
lie: guluga-
long: wunan̪bala
man: miyat
man: ŋanin̪
man: ŋanin̪i(n)
many: gad̪a
meat: bann̪i
meat: walid̪i(n)
moon: yagal
moon: yagaḷ
morning: gambaliŋid̪u
mother: ŋaḍa
mother: ŋaḍaŋan̪d̪a
mountain: duŋala
mountain: luŋgul
mouth: d̪awayawa
name: mid̪arid̪ba
name: migu
neck: dugagana
new: nanaman̪i
night: muŋa-
not: gud̪ad̪i
not: gud̪ad̪igi
not: migu
not: migu
not: miguguyi
old: malbu
old: maluga
old: maluga miyat
old: maluga yanga
one: yalgan̪i ~ yalgun̪i
one: yalgun̪i
one: yiŋamali
other: yiŋga
play: bad̪a
play: bad̪a
pull: dulaba
rain: d̪an̪d̪a
river: bunda
river: bundal
road: yubaḷ
root: balawala
rub: wuɟud̪ba
salt: ŋarawa
sand: d̪undur
say: yan̪ba
say: yan̪ba-
say: yan̪ba-
see: naɟba
see: nad̪ba
see: nad̪i-
see: nad̪i-
short: guḍaliri
shoulder: ŋabala
sing: bɹ̣id̪ba
sing: birid̪i-
sister: mad̪uŋan̪d̪a
sit: d̪uŋgu
sit: d̪uŋgu-
sit: waḍamba-
sleep: gulu-
small: bayagaḍa
smoke: ginŋa
smoke: guṇŋar
snake: miya
son: d̪andan̪i
star: wariwid̪i
stone: duŋala
stone: luŋgul
sun: buyuga
sun: duɹ̣u
sun: gamba
sun: gamban
sun: ŋaḍaɹ̣a
sweet: wad̪ili
swell: wuguruba
tail: bɹ̣ad̪i
tail: burga
tail: d̪idimbi
take: gud̪u-
take: guyu
that: d̪u-
that: d̪ud̪u-
that: na-
there: nanaba
there: nanaba
there: ŋayiba
they: -ɟalu
they two: bula
they two: bula
they: yalu
they: yalu
thigh: nala
think: mangumangu
this: na-
thou: nari
thou: nari
thou: nariya
thou: ŋaɲ-
thou: ŋaɲ-
thou: niɲɟi
thou: niɲɟi
thou: nimbugamba
thou: nin̪a
thou: nind̪i
thou: niŋa
thou: n̪unbala
three: gud̪ara yalgun̪i
throw: d̪an̪ba-
thunder: ŋurwa
tie: didigi
today: d̪ala
tomorrow: muŋanawa
tooth: mayi
tree: daraŋu
tree: guṇḍa
tree: gundan
turn: biribiri-
turn: ŋirigi-
two: gud̪ara
two: gud̪ara
walk: budbi-
walk: d̪ilad̪ba
walk: d̪ilad̪i-
walk: galawa-
walk: wiḷgu
wallaby: d̪iguwara
wash: wagaḍaba
water: ŋaba ~ ŋawa
water: ŋuwu
water: wabuda
water: wabuḍa
we (excl.): nuriya
we (excl.): nuru
we (excl.): nuru
we (incl.): ŋambala
we (incl.): ŋamba(la)
we: ŋambalaŋi
we two (excl.): ŋali
we two (excl.): ŋali
we two (incl.): niya-
we two (incl.): niya-
we two (incl.): nuŋga
we two (incl.): nuŋgala
what: wan̪i
when: d̪ala
where: wand̪iga
where: wan̪i-na
where: wind̪awa
white: bun̪ala
who: wan̪i
wife: bunuwara
wind: yuṇgur
wing: d̪alu
woman: bunuwara
woman: d̪ibari
woman: d̪ibari
woman: yanga
wood: garaŋun
wood: gundan
wood: guyarud̪i
woomera: ŋaligan
yesterday: walani
yesterday: walani
you two: nimba
you two: nimbala
you two: nimbala
you two: nimbala
