all: d\ahɛn
ashes: tɛrd\at
bark: k\oʔala
belly: karda
big: ɪkʊt
bird: hambɪra
bite: ˗k\anɪn
black: ɨpor
blood: d\iːga
bone: laftɛ
breast: amp\a
burn: ˗dohiyi
claw: k\ubaya
cloud: ura\šɛt
cold: d\amayta
come: ˗d\e
die: ˗toy
dog: hɛra
drink: ˗ʔukʲ
dry: ɪkok
ear: laːpɪt
eat: ˗d\amʲ
egg: b\ub\a
eye: ɪːnda
father: appa
fat (n.): hayd\a
fire: a\bita
fish: k\urtumɛt
fly (n.): haʔasɪla
foot: kuː\mač\a
give: ˗day
good: ɪ\sʊm
grass: ʔoːyh
hair: riyfanta
hand: harka
head: mɛš
hear: ˗d\agay
heart: mut\ura
horn: kasa
I: ana
kill: ˗ygɛj
know: ˗šaːgʲ
leaf: lapita
liver: šɪra
long: ɪč\ɪf
louse: ikirɛt
man: nama
many: hɛ\lɛk
meat: soha
moon: leʔa
mountain: wutɛt
mouth: kapa
name: maha
neck: koʔot
new: awšiːt
night: awɛd\at
one: šoko
other: hɛpɪl
rain: roba
red: ɛrroma
road: pana
root: hɪtina
sand: raːkaka
say: ˗kɪd\i
see: ˗akʲ
seed: hoːta
sit: ˗lad\i
skin: k\ɔla
sleep: ˗pɛʔad\i
small: ˗tɪ\naʔ
smoke: k\aya
snake: maːka
stand: ˗li
star: hɪska
stone: d\aka
sun: lɛša
swim: ˗taki
tail: siːta
thin: ɪ\k\ahɪna
this: sɛːti
thou: atɪ
three: hal\bat
tongue: arraba
tooth: ilit
tree: k\oraya
two: lake
walk: ˗ani
warm: otɔt
water: haka
we: ɪnʷ
wet: č\abɛt
what: maːna
white: (i)pohkid\
who: aːynu
woman: ɪskɔt
you: ɪnna
