all: kʷɨllu
ashes: ħamɛd
bark: lɨhɨs\
belly: ʔɨngɨdɛʔa
big: ʕabiyy
bird: ʕof
bite: nɛkkɛsɛ
black: s\ɛllim
blood: dɛm
bone: ʕas\ɨm
breast: t\ɨbb
burn: ʔawɨʕajɛ
claw: s\ɨfɨr
cloud: dɛmmɛna
cold: bɛrɛd
come: mɛs\ɨʔa
die: motɛ
dog: kɛlb
drink: sɛtɨyɛ
dry: yɛbɨs
ear: ʔɨzɨn
eat: bɛlʕa
eat: tɦm
egg: ʔɨnk\o(n)k\ɨha
eye: ʕɨyn
father: ʔab
fat (n.): sɨbɨħ
fire: ʔɨst
fish: ʕase
five: xammɨstu
fly (n.): zɨnb
foot: ʔɨgɨr
four: ʔarbaʕɨttu
give: mɛt\ɛwɛ
good: sɛnnay
grass: ħamɛlmal
hair: s\ɛgur
hand: ʔɨd
head: rɨʔɨs
hear: sɛmʕa
heart: lɨbb
he/she: wɨʔɨtu
he/she: yɨʔɨti
horn: k\ɛrn
how: ʔiffo
I: ʔɨnɛ
kill: k\ɛtɛlɛ
knee: bɨrk
know: lɛbbɛwɛ
leaf: k\ʷos\ɨl
lip: kɛnfɛr
liver: kɛbd
long: nɛwwix
louse: k\ɨmal
man: sɛʔɨb
many: bɨzux
meat: sɨgɛ
moon: wɛrih
mountain: dɛbɨr
mouth: ʔaf
name: sɨm
neck: kɨsad
new: ħaddis
night: lelit
one: ʔahɨd
other: kalʕɨ
person: ħɨzb
rain: zɨnam
red: k\ɛyyih
road: fɨnot
root: sɨrwu
sand: xos\a
say: bɨhɨlɛ
seed: zɛrʔɨ
see: rɨʔɨyɛ
sit: nɛbbɛrɛ
skin: maʔɨs
sleep: nomɛ
small: nɨʔus
smoke: t\is
snake: ʔarwe mɨdh
stand: k\ɛwim
stand: k\omɛ
star: kokɛb
stone: ʔɨbɨn
sun: s\ɛħaj
swim: tɛ˗wanɛyɛ
tail: zenɛb
they: ʔɨmmantu
thin: k\ɛt\in
this: zɨntu
thou: ʔantɛ
thou: ʔanti
three: sɛlɛstu
today: yom
tongue: lɨsan
tooth: sɨn
tree: ʕɨs\ɛ
two: kɨlɨʔettu
walk: ħorɛ
warm: mɨwuk\
water: may
we: nɨħanɛ
wet: rɨt\ub
what: mɨnt
white: s\ɛʕadɛ
who: mɛnnu
woman: bɨʔɨsɨt
you: ʔantɨmu
you: ʔantɨn
