ashes: ufun
back: ɟʔan
bad: ˗sɛʔɛn
belly: a˗buːn
big: ˗dɛʔɛn
bird: a˗\dadamit
bite: ʔábən
blood: gɔ˗ɟɔb
bone: fiːfí
boy: àddád
breast: kakai
brother: àdə̀mnó
claw: ˗gamaːl
cloud: agud
cold: alumdi
come: kəni
cut: ˗utɛs
die: ˗wɔi
dog: aːw
drink: si
dry: ˗gɔɟ˗
ear: iːgən
earth: gadaːdu
eat: məs
egg: is
eye: yaːn
fall: ˗fai
far: aːssa
fat (n.): bus
fear: seʔeʔen
fire: kəs
five: du˗buɟ
fly (n.): ádɔʔ
foot: suman
four: duk˗
give: kəl
good: kɔrɔ
grass: ʔɟe
green: èyíʔ
hair: ʔif
hand: bit\ɛn
head: gàdé
hear: gìdɛ́s
heavy: aʔeʔ
here: kume
hit: ˗lad˗
horn: iːgà
I: wɔ
kill: ˗tɔs
knee: kukun
know: déːgi
left: aːme
left: eːsiːr
long: aboʔ
louse: ki
man: garrwɔ́ɟ
many: dɛːluk
meat: fum
moon: àyún
mouth: itən
near: agga
neck: beːn
night: kəsəmsi
old: agac
one: didin
person: gəməl
pull: edugeːgin
push: ɟúːsè
rain: rus
rat: mun
red: artʔe
right: ˗emiːn
road: adɔn
root: kúré
rope: si
salt: t\of
sand: tufweːni
say: ˗li
scratch: áʔɔ́lɔ́s
seed: agini
see: kílɛ́š
sew: ragade
sharp: aːk
short: árdɔ̀t
skin: fumun
sleep: muɟʔuk
smoke: ɟurɛd
snake: bə́mbà
stand: kə́gù
star: kèːlú
stone: ɔf
sun: taʔ
sweet: edin
swim: kəyu
tail: sisin
take: kude
that: naːte
there: kitte
thin: ataːs
this: man
thou: aːna
thou: auwa
three: dúnnúme
throw: biligen
throw: tuko
tie: kúfè
tongue: adat\wai
tooth: seːn
tree: wɔt
turn: dokuta
two: dùsùit
vagina: ruːt
walk: ˗reri
walk: tɛs
warm: awɔk
water: aːye
weep: èbèsíːk
we (excl.): ánúːk
we (excl.): ánúːk
wet: rus
what: eédè
when: kəsi
where: kuma
white: ˗kus
who: ɛɛ̀dé
woman: gərim
year: agas
yes: ˗bínì
