ankle: liŋgali
arm: baṇḍi
ashes: gawundu
back: wiɲɟirgi
back: wiḷa
bad: yiɟgawu
belly: munda
belly: ɟulu
belly: ɟuwuḷu
big: ɲamani
bird: ɟiɹ̣igi
bite: wiḍ-
black: guruguru
blood: wɑːri
bone: guɟi
boy: gambayi
breast: gamu
breathe: giniŋi
brother: maṇa
brother: ŋaɟa
burn: murub-
burn: ŋab-
burn: ŋab-
butterfly: malimali
calf: ɟawuḷu
cheek: ŋiriḷi
chest: dumudu
child: buga
child: buga
child: ɟugu
child: ɟugu
chin: limini
cloud: ŋumuru
cold: mɑːdi
correct: ɟudu
crocodile: lalaŋgara
cut: ɲag-
cut: gaɟ-
dark: muŋa
day: laɲgiya
die: gaɲandi
die: giɟali
die: naŋ-
dig: wiriɟ-
dog: d̪ara
dog: maraɲi
drink: ŋuḷug-
dry: buladi
dust: ɟudu
ear: manga
earth: banda
eat: ŋab-
egg: ɟarɟa
egg: gambiɲi
emu: gaṇaŋaɲɟa
eye: mɔːlu
eye: muḷu
face: muwulu
fall: gaḍ-
far: maṇaŋuru
father: ŋabu
fat (n.): gariṇḍi
feather: bingidi
few: ŋaḷudu
fight: d̪iri
finger: ɟigiɲa maḷa
fingernail: miʎaṇḍi
fire: diʎ
fire: dili
fire: wayandi
fire: weandi
fish: gawi
float: lumbaraɲ-
flower: ɟiga
fly (n.): ŋuriɲ
foot: d̪iŋa
forehead: muwulu
girl: galinda
girl: maḷaɹ̣a
give: ŋaŋ-
good: ɟuṇaɲgara
grass: giliṇi
green: wirgali
guts: ɟiʎwiɹ̣i
guts: liri
hair: ŋuruṇḍu
hair: yambara
hand: maḷa
head: mira
head: walu
hear: daɲmili-
heart: dulu
heavy: d̪aɹ̣idi
here: ŋiṇḍaɟi
he/she: niyi
he/she: n̪uwu
hit: gaḍ-
hold: guɹ̣iɟ-
hole: gurgu
house: mayaɹ̣u
house: wiɹ̣iɲi
husband: ŋumbaṇa
I: ŋaɲi
I: ŋaragi
jaw: gaḷi
kangaroo: d̪iru
kangaroo: wanɟiri
kill: gaḍ-
knee: gimani
laugh: galgal
leaf: yimarara
lie: bagi-
lightning: ɟimiluɹ̣u
lip: maḷiwidi
liver: miḷi
long: girabiŋari
louse: ɲaŋgi
many: gaṇḍiwa
many: gaṇḍiwaŋuru
man: yuwulu
meat: mɑː
moon: ɟaːlin
moon: ɟɑːliɲi
mother: ŋaraɲi
mountain: ŋɑːri
mouth: daŋandi
mouth: d̪aŋaṇdi
name: yiŋi
nape: ɟɑːbi
navel: ɟiɲɟili
near: gɹ̣ɑː
near: yalawa
neck: wiliwili
neck: wiṇgari
new: yanuŋgu
new: yanuŋgu
night: maniŋga
not: maŋari
old: baṇḍaɲi
old: bulga
old: ŋamun̪iŋi
one: yuwaṇi
other: yɑːɲa
person: yuwulu
pull: ɹ̣ir-
push: luw-
rain: yiwindi
rat: ɟiɟag
red: biʎɟi
red: d̪iwa
river: ɟaḷaŋga
river: waḷibiri
road: bɑːli
road: gɑːli
root: yirali
rotten: d̪uwuṇḍu
round: ɟulgu
rub: bur-
rub: ɲun-
salt: laŋa
sand: waʎara
say: ɟag-
say: ɟiɟag-
say: miga-
scratch: wiriɟ-
see: mila-
see: mila-
sharp: ɟalgudu
short: d̪igi
shoulder: lawadi
sing: ŋalaɲ-
sister: maṇi
sister: ŋaɟa
sit: waɹ̣aŋ-
sit: yud-
sky: biriɲi
sleep: muyu
small: ɟigiɲa
small: lambaḍi
smoke: wangi
snake: ɟuŋgura
son: ŋaliɲi s\
son: ŋaluwiɲi s\
spit: guŋgudu
split: dumbug
split: lalbag
squeeze: ɟaɲ-
stand: d̪uḷug-
stand: waɹ̣a-
star: waḍa
stone: ŋarali
stone: ŋɑːri
straight: d̪irgiḷi
sun: miri
sweet: ŋaliɲa
swim: bayal-
tail: ɲawa
take: duw-
that: ŋiyi
there: ŋuru
they: bidi
they: biraŋi
they two: bidi
they two: biraŋi
thigh: biḍi
thin: larbi
this: ŋiyaɟi
thou: gidi
thou: giraŋi
thou: ŋiɲɟi
thou: ŋɑːŋi
three: ŋaḷudu
throat: gaṇḍagaṇḍadi
throw: waɟ-
thunder: naya
tie: miḍ-
today: yaniŋi
tomorrow: muŋgayayu
tongue: ɟälän ̪
tongue: d̪alaɲi
tooth: miɲɟu
tree: giɹ̣ili
turn: guṇag-
two: gaṇḍiwiri
vagina: ɲaniɲi
vomit: yuɹ̣ug-
walk: giraɹ̣-
walk: waḍ-
walk: waḍ-
warm: buḍbaɹ̣a
wash: ɲumbuḷ-
water: gamba
water: gaːmba
weep: maḍa-
we (excl.): yaraŋi
we (excl.): yɑːdi
we (incl.): ŋidi
we (incl.): ŋiraŋi
wet: giyi
we two (excl.): ŋidi
we two (excl.): ŋiraŋi
we two (incl.): ŋidi
we two (incl.): ŋiraŋi
what: ɟaɟi
where: ŋuɲu
white: labawu
white: lawagimana
who: ŋuṇḍu
wife: gaɹ̣iŋi
wife: galaɹ̣a
wind: giṇgali
woman: guṇbu
woman: maŋo
wood: giɹ̣iḷi
woomera: ŋawali
yellow: gaṇḍɑːra
yesterday: garwaɹ̣u
you two: gidi
you two: giraŋi
