animal: mâka
arm: dâwa
arrow: mâhaŋw
belly: gûra
bird: tsîrʕi
bite: tluː˗
blood: tseːre
bone: fâra
brother: garmá âma
burn: daːʕ\˗
chest: dá\ʕâwi
child: nâ\ʕay
cloud: tlafi
cold: tsaqwa
come: xaw˗
cut: tlaːq
day: déːlu
die: gwa˗
dig: foːl˗
dust: tlâraŋ
ear: iː\a
earth: ɦápe
eat: ʕay˗
egg: qâni\i
eye: ila
fall: huː˗
father: babu rén
fat (n.): dîʕi
finger: díːtsa
fingernail: fúqûno
fire: aɬa
five: koʔan
fly (v.): tsaʕam˗
forehead: gitséː\ʕa
four: tsiːyaħ
girl: dasi
give: hariːs˗
head: sâga
hear: axaːs˗
he/she: inó
he/she: inoś
he/she: os
house: do
hunt: ɬakat˗
husband: ɦáwâta
I: aní
I: e
kill: gaːs˗
know: xuː˗
laugh: qaseːm˗
leg: yáːʔe
liver: dá\âye
moon: ɬêheːŋw
mother: ayi
mountain: tlôma
mouth: afa
name: ûma
navel: múrûngu
night: amsi
one: wäk
person: heː
rain: tlûway
river: yáː\e
road: úrûwa
rope: wéːli
salt: dîwi
see: ar˗
sit: iwiːt˗
sky: dawri
sleep: qaːt˗
snake: jaʔawaɬi
stand: seɦetiːm˗
star: tsátséː\ʕi
stone: tlá\ʕâno
sun: tséː\âma
swell: mam˗
tail: ɦâyso
they: in
they: inín
they: inoʔín
thou: ki
thou: kiŋ
three: tam
throw: kwaɦ˗
today: bîli
tomorrow: mâtlo
tongue: tsífîraŋw
tooth: síɦino
tree: xá\âno
two: tsaː
vagina: golay
walk: daqaw˗
walk: ti\iːm˗
water: ma\ay
we: at
we: atén
we: eŋ
white: awaːk
wind: fúrâ\a
woman: ɦare
yesterday: îsaʕ
you: huŋ
you: kingá
you: kungá
