arm: kʌyer
ashes: kot
bark: gupi
bone: kodzar
breast: mom
brother: towa
burn: se
dog: sap
ear: dzu
eat: na
eye: dapur
fingernail: pedzʌm
fire: kʌdʌp
foot: koloŋ
full: toye
hair: pudzi
head: kʌrumʌn
he/she: in
I: naŋ
knee: munmembʌn
leaf: sa
leg: koloŋ
long: kʌroŋi
louse: sʌwʌn
moon: ema
mother: meŋ
mouth: dzinʌm
name: wɔp
neck: kunkun
new: kayʌk
rain: iwʌn
road: kʌdet
sand: efoŋ
say: yʌ
sister: mɔk
skin: gupi
sleep: kpa
smoke: gupe
spit: dze\ep
star: gok
straight: dʌmdʌmni
sun: sedap
thou: gʌk
thou: si
tie: pado
tongue: mambɛm
tooth: mʌye
tree: kʌdʌp
warm: kʌdʌpi
water: ame
we: ni
wind: gupik
wing: pir
