all: badha
animal: janawar
belly: pét
big: motu
bird: panchi
blood: loi
child: chokro (m), chokri (f)
dog: kutro
ear: kaan
egg: indoo
eye: aakh
father: pita
fat (n.): jado
few: thoda
fingernail: nakh
fish: macchi
five: panch
flower: phool
foot: pav
forest: van
four: chaar
fruit: phal
grass: ghas
hair: vaal
hand: haath
head: mathu
heart: dil
here: ahiyan
he: tay
how: kem or kevi ritay
husband: pati
I: hun
leg: pug
long: laambu
louse: joo
man: manas
many: ghana
meat: maas
mother: ma
mouth: modhu
neck: gardan
nose: naak
not: nahin
one: ek
other: beeja
person: jan
rope: rassi
seed: beej
short: batku
small: nanu
snake: saap
stick: dando
tail: poochdi
that: pelu
there: tyan
thick: jaadu
thin: paatlu
this: aa
thou: tamay
three: tran
tooth: daant
tree: ped
two: bay
we: amay
what: shun
when: kyare
where: kyan
who: kaun
wife: patni
woman: bairi
you: tu
