animal: engiti
ashes: ribu
back: magega
because: igoro ya
belly: egetore
big: ekenene, enene, omonene
bird: enyoni
bite: roma
black: emwamu, ekemwamu, omomwamu
blood: amanyinga
blow: uta
bone: riuga
breast: orobere
breathe: eyana
burn: samba
child: omwana
cloud: rire
cold: obokendu
come: inchwo
count: bara
cut: nacha
day: rituko
die: gakwe
dig: rema
dog: esese
drink: kanywe
dry: oma
dust: ebuse
ear: ogoto
earth: ense
eat: karie
egg: rigena rie ngonko
eye: eriso
fall: kagwe
far: are
father: tata
fear: obwoba
feather: ririonya
few: ebike
fight: rwana
fingernail: orochara
fire: omorero
fish: enswe
five: isano
float: chengenena
flower: egesicha
fly (v.): iruruka
fog: ritaturi
foot: okogoro
forest: orosana
four: obosie
fruit: ritunda
full: ichora
give: kae
good: buya
grass: obonyansi
green: machani
hair: etuki
hand: okoboko
head: omotwe
hear: igwa
heart: enkoro
heavy: ekerito
here: aa
hit: aka, basana, kongonta
hold: bwata
horn: orongunchara
how: naki
hunt: twara
husband: omogaka
if: onye
I: inche
in: ime
kill: ita
knee: riru
know: manya
lake: enyacha
laugh: seka
leaf: rito
