all: hʊnda
ashes: daːra
bark: k\ʊnč\e
belly: gaː\ra
big: guːdaʔ
bird: šɨmbɨrro
bite: č\iːnini
black: gurrača
blood: d\iːga
bone: lɛfe(ʔ)
breast: harma
burn: guːbi
claw: k\eːnsa
cloud: duːmeːsa
cold: k\ɛbɛna
come: kɔttʷ
die: duʔa
dog: sare
drink: d\uːgi
dry: gogo\gaʔ
ear: gurra
eat: nyaːd\u
egg: kɨːleʔ˗
eye: iːya
father: aːb\a
fat (n.): č\oːma
fire: ibɨda
fish: k\ur\t\uːmi
fly (n.): ti\tiːča
foot: miːla
give: xɛːni
good: deːmi
grass: č\iːta
hair: rifɛːnsa
hand: harka
head: mɛta(ʔ)
hear: d\agey
heart: ɔːneʔ
horn: gaːffa
I: ana
kill: ɛ\ǯeːsʲ
knee: ǯɨːlba
know: beːxi
leaf: baːlla
liver: tɨru
long: d\eːra
louse: ɨnǯɨ\reʔ
man: naːma
many: hɛ\du
meat: fɔːn
moon: ǯiʔa
mother: gaːra
mountain: gaːra
mouth: aːfaːn
name: mɛ\k\aː
neck: mɔrma
new: haː\reːya
night: hal\kan
one: tɛːka
other: kab\iraː
rain: roːba
red: diː\ma
road: ka\ra
root: hida
sand: aː\šɛwa
say: ǯiʔi
seed: šɛːɲi
see: laːlʲ
sit: taːʔi
skin: goːga
sleep: rɛːfʲ
small: t\ɨk\a
smoke: aːra
snake: ǯoːwe
stand: d\aː\bɛd\ʷ
star: ur\ǯiʔ
stone: d\ɛgaː
sun: aːdu
swim: daːxi
tail: eːge
thin: k\ɛlla
this: kana
thou: attʲ
three: sɛddiː
tongue: ar\rɛba
tooth: ɨlke
tree: muːxa
two: lɛma
walk: deːmi
warm: oːʔwa
water: biʻšaːn
we: nuhi
wet: ǯiː\d\a
what: maːlʲ
white: aːdi
who: eːɲu
woman: ǯalti
you: issin
