all: kol, kulam, hakol
and: wə
arm: ʔezroːa
arm: zəroːa
arrow: ħeʂ
ashes: efer,udim, gehalim, remetz
back: gbb
bark: Neviha
belly: beten
belly: gaɦon
bird: ʂippoːr
bite: nkš
bite: nšk
blood: daːm
blow: našap
breast: dadd˗
breast: šad̪
burn: yk\d
child: t̪ap(p)
claw: ʂipporen
come: mʂɔ
come: ɔty
cut: gaːzar
daughter: baθ
day: nhr
day: yom
die: maːweθ
die: moːθ
die: mwt
dig: hapar
dig: kaːraːʁnaqar
dog: keleß
dog: zəʔeːß
drink: rawa(h)
drink: sbɔ
dry: siɦe(h)
ear: ʔoːzen
eat: tɦm
eye: ʔajin
fall: našar
far: hwy
father: ʔaːß
fat (n.): šemen
finger: ʔeʂbaʔ
fingernail: ʂippoːren
fish: nuːn
five: ħameːš
flow: maːʔas
flow: naːßaʔ
fly (n.): zebub
fly (v.): ɦwp
four: ʔarbaʔ
fruit: pry
give: jhb
good: toːß
guts: kilya
guts: meʔim
hair: seʔar
hair: seɦarseɦar
head: gulgolet
head: roːš
he/she: ˗aːh
he/she: ˗haː
he/she: hiː
he/she: ˗(h)uː
he/she: huː
he/she: ˗oː(ʁ)
house: bayiθ
house: beːθ
how: ʔaykannaː
I: ʔaniː
I: ʔaːnoːχi
if: ʔim
I: ˗iː
I: ˗niː
kill: qaːt\aːl
laugh: ʂaːħaq
lip: sapa
liver: kaːßeːð
louse: parɦoš
mother: ʔeːm
mouth: peʁ
name: šeːm
navel: tibbuːr
night: laylaʁ
one: ʔaħaθ
one: ʔeħað
right: yaːmiːn
road: dereχ
say: dibbeːr
shoulder: šəkem
sit: yaːšaß
small: ʂaːʔiːr
son: beːn
stand: qaːm
star: koːχaːß
suck: yaːnaq
sun: šemeš
sweet: dəßaš
that: hay
there: šaːm
they: ˗hem
they: (h)eːm(maːʁ)
they: ˗hen
they: (h)eːn(maːʁ)
thigh: paGad
thigh: šwq
this: huʔ
this: zeʁ
thou: ʔatt
thou: ʔattaːh
thou: ʔatt(iː)
thou: ˗χ
thou: ˗χaː
three: šaːloːš
three: šəloːšaːʁ
throat: gargəro(w)t
throat: garo(w)n
tie: ʔaːsar
today: hay˗yoːm
tomorrow: maːħaːr
tongue: laːšoːn
tooth: šeːn
two: šənayim
two: štayim
walk: ɔaːraɦ
warm: ʔal
warm: loː
wash: kibbeːš
we: ʔahaħnaː
weep: ʋ
weep: baːχaːʁ
we: ˗nuː
what: maːʁ
when: maːθay
where: ʔayyeːʁ
who: miː
you: ʔattem
you: ʔatteːn(aʁ)
you: ˗χem
you: ˗χen(aːʁ)
