all: tanán
and: kag
animal: sapat
ashes: abó
at: sa
back: likód
bad: mala-in
bark: taghol
because: kay
belly: tiyán
big: dakô
bird: pispis
bite: kagát
black: itóm
blood: dugô
blow: huyóp
bone: tul-an
breast: dughan
breathe: ginhawa
burn: sunog
child: batà
cloud: panganod
cold: tugnaw
come: kari
correct: tamà
count: isip
cut: kihad
day: adlaw
die: mapatáy
dig: kutkut
dirty: mahigkò
dog: idô, ayam
drink: inóm
dry: malá
dull: mahabul
dust: yab-ok
ear: dulunggan
earth: dutà
eat: ka-on
egg: itlog
eye: matá
fall: hulog
far: malayô
father: amáy
fat (n.): tambok
fear: hadluk, kulba
feather: bulbul
few: diutay
fight: away
fingernail: kukó
fire: kalayo
fish: isdà
five: limá
float: lutáw
flower: bulak
flow: ilig
fly (v.): lupád
fog: ambon
foot: ti-íl
forest: talon
four: apat
freeze: mayelo
fruit: bunga
full: punô
give: hatag
good: ma-ayo
grass: hilamón
green: hiláw
guts: tina-i
hair: buhok
hand: kamót
head: ulo
hear: pamatì
heart: tagipuso-on
heavy: mabug-at
here: dirí
he: siyá
hit: igò
hold: uyat
horn: sungay
how: paano
hunt: pangayám
husband: bana
I: akó
ice: yelo
if: kon
in: sa
kill: pagpatáy
knee: tuhod
know: hibaló
lake: danáw
laugh: kadlaw
leaf: dahon
left: walá
leg: bati-is
lie: butíg
live: buhì
live: buhî
liver: atáy
long: malabà
louse: kuto
man: tawo
many: madamò
meat: unód
moon: bulan
mother: ilóy
mountain: bukid
mouth: bâ-bâ
name: ngalan
narrow: makitíd
near: malapít
neck: li-og
new: bag-o
night: gab-i
nose: ilóng
not: indì
old: tigulang
one: isa
other: ibán, la-ín
person: tawo
play: hampang
pull: butong
push: dusô
rain: ulán
red: pulá
right: tu-ó
river: subâ
road: dalan
root: gamót
rope: lubid, pisì
rotten: dunót
round: timbolog
rub: haplas
salt: asín
sand: balás
say: hambal
scratch: kalot
sea: lawód
seed: liso, binhì
see: tan-aw, kità
sew: tahî
sharp: matalóm
short: malip-ot
sing: amba
sit: pungkò
skin: panit
sky: langit
sleep: tulog
small: magamáy
smell: bahò
smoke: asó
smooth: mahining
snake: man-og
some: tagpilá
spit: duplà
split: bis-ak
squeeze: pisgà
stab: bunô
stand: tindog
star: bito-on
stick: lipák
stone: bato
stone: bató
straight: matadlung
suck: supsup
sun: adlaw
swell: habok
swim: langóy
tail: ikog
that: inâ
there: dirâ
they: silá
thick: madamol
think: panumdum
thin: manipís
this: iní
thou: ikaw
thou: ikáw
three: tatlo
throw: habóy
tie: higót
tongue: dilà
tooth: ngipon
tree: kahoy
turn: lisò, tiyog, likô
two: duwá
vomit: suka
walk: lakát
warm: mainit
wash: hugas
water: tubig
we: kitá
wet: basâ
what: anó
when: san-o
where: di-ín
white: putî
who: sin-o
wide: malapad
wife: asawa
wind: hangin
wing: pakpak
wipe: pahid
with: upód kay
woman: babaye
worm: ulod
year: tu-ig
yellow: bulagáw
you: ikáw
you: kamó
