all: sab
ashes: rakh
belly: pet
big: bada
big: bara
bird: chidiya
bird: panchhi
bite: kat
black: kala
black: काला
black: काला
blood: khoon
blood: khun
bone: haddi
breast: chathi
burn: jal
cloud: badal
cold: thanda
come: a
die: mar
dog: kutta
dog: kutya
dog: कुत्ता
drink: pee
drink: pi
dry: sukha
ear: kan
earth: dharthi
earth: zamin
eat: kha
egg: anda
eye: ankh
fat (n.): mota
feather: pankh
fingernail: nakhun
fire: aag
fire: ag
fish: machali
fly (v.): ud
foot: panv
full: bhara
full: pura
give: de
good: achcha
green: hara
hair: baal
hair: bal
hand: hath
head: sar
hear: sun
heart: dil
horn: seeng
horn: sing
I: मैं
kill: maarna
kill: mar
knee: edi
knee: ghutna
know: jan
leaf: pata
leaf: patta
lie: let
liver: kaleja
long: lamba
louse: ju
man: aadmi
man: admi
many: bahut
meat: maas
meat: mas
moon: chand
mountain: pahad
mouth: muh
name: nam
neck: gala
neck: gardan
new: naya
night: rath
nose: nak
not: nahi
one: ek
person: log
rain: barish
rain: barsat
red: lal
road: rastha
round: gol
sand: balu
sand: reth
say: bol
seed: bij
see: dekh
sit: baith
skin: sharir
skin: twacha
sleep: so
small: chota
smoke: dhua
stand: khada
star: tara
stone: pathar
sun: suraj
swim: nind
swim: tair (to rhyme with English \lair\)
tail: puch
that: wah
this: yah
thou: tum
tongue: jibh
tooth: danth
tree: darakht
tree: daraxt
tree: ped
tree: peDa
two: do
walk: chal
warm: garam
water: pani
we: हम
what: kya
white: safedh
white: sufed
who: kaun
woman: aurat
woman: urat
yellow: pila
