all: Minden
and: és
animal: állat
ashes:  Hamu
at: -nàl, nél
back: hát
bad: rossz
bark:  Kéreg
because: mert
belly:  Has
big:  Nagy
bird:  Madár
bite: (Csípés)
bite: (Falat)
bite: harap
black: fekete
blood:  Vér
blow: fúj
bone:  Csont
breast:  Mell
breathe: lélegzik
burn:  Ég
child: gyerek
cloud:  Felhő
cold: hideg
come:  Jön
correct: helyes (adjective)
correct: javìt (verb)
count: szàmol
cut: vág
day: nap
die:  Meghal
dig: ás
dirty: piszkos
dog:  Kutya
drink:  Inni
drink:  Iszik
drink: ital
drink:  Ivás
dry: száraz
ear:  Fül
earth:  Föld
eat: Enni
eat:  Eszik
eat: Evés
egg:  Tojás
eye:  Szem
fall: esik
far: messze, tàvol
father: apa
fat (n.):  Zsír
fear: fél
feather:  Toll
few: néhàny, kevés
fight: harcol
fingernail: köröm
fire:  Tűz
fish:  Hal
five: öt
flower: virág
fly (v.):  Repül
foot:  Láb
forest: erdő
four: négy
fruit: gyümölcs
full: tele
give: Ad
good: jó
grass: fű
green:  Zöld
guts: belek
hair:  Haj
hand:  Kéz
head:  Fej
hear:  Hall
heart:  Szív
heavy: nehéz
he: ő
here: itt
hit: üt
hold: tart
horn:  Kürt
horn: Szarv
how: hogy(an)
hunt: vadászik
husband: férj
ice: jég
I:  Én
if: ha
in: -ban, -ben
kill:  Öl
knee:  Térd
know:  Tud
lake: tó
laugh: nevet
leaf:  Levél
left: bal
leg: láb
lie:  Fekszik
lie:  Hazudik
live: él
live: lakik
liver:  Máj
long:  Hosszú
louse:  Tetű
man:  Férfi
many:  Sok
meat: (Hús)
moon:  Hold
mother: anya
mountain: hegy
mountain: hegy
mountain:  Hegység
mouth:  Száj
name:  Név
narrow: keskeny
neck:  Nyak
new: új
night: éjszaka
nose:  Orr
not:  Nem
old: öreg (people)
one:  Egy
other: más
person:  Személy
play: darab (substantive)
play: jàtszik (verb)
pull: hùz
push: nyom
rain:  Eső
red:  Piros
red:  Vörös
right: jobb
river: folyó
road:  Út
root:  Gyökér
rope: kötél
round: gömbölyű
round: kerek
salt: só
sand:  Homok
say: mond
say: Mondd
scratch: karcol
scratch: vakar
sea: tenger
seed:  Mag
see: Lát
sew: varr
sharp: éles
short: alacsony
short: rövid
sing: énekel
sit:  Ül
skin:  Bőr
sky: ég
sleep: Alszik
small:  Kicsi
smell: szagol
smoke:  Füst
snake: kígyó
snow: hó
some: egy kis
some: néhány
spit: köp
split: hasít
squeeze: szorít
stab: szúr
stand:  Áll
star:  Csillag
stick: bot
stone:  Kő
stone:  Szikla
straight: egyenes
suck: szopik
sun:  Nap
swim:  Úszik
tail:  Farok
that: az
that:  Azt
there: ott
they: ők
thick: sűrű
thick: vastag
think: gondol
think: gondolkozik
thin: sovány
thin: vékony
this:  Ez
thou:  Te
three: három
throw: dob
tongue:  Nyelv
tooth:  Fog
tree:  Fa
turn: fordít
turn: fordul
two:  Kettő
vomit: hány
walk: Sétál
warm: meleg
wash: mos
water:  Víz
we:  Mi
wet: nedves, vizes
what:  Mi
when: mikor
where: hol
where: honnan
where: hova
white:  Fehér
who:  Ki
wide: széles
wife: feleség
wind: szél
wing: szárny
with: -val, -vel
woman:  Nő
worm: kukac
year: év
yellow:  Sárga
you: ti
