Translation to The 300 Languages Project

Swadesh list in Hungarian
by Timea Rajtik


I - én
you (singular) - te
he - õ
we - mi
you (plural) - ti
they - õk
this - ez
that - az
here - itt
there - ott
who - ki
what - mi
where - hol
when - mikor
how - hogyan
not – ne / tagadás (not means „negative” (= tagadás) in Hungarian in the Grammatical sense)
all - mind
many - sok
some - néhány
few - pár
other - más
one - egy
two - kettõ
three - három
four - négy
five - öt
big - nagy
long - hosszú
wide - széles
thick - vastag
heavy - nehéz
small - kis
short - alacsony
narrow - keskeny
thin - vékony
woman - nõ
man (adult male) - férfi
Man (human being) - ember
child - gyerek
wife - feleség
husband - férj
mother - anya
father – apa
animal - állat
fish - hal
bird - madár
dog - kutya
louse - tetû
snake - kígyó
worm - féreg
tree - fa
forest - erdõ
stick - fadarab
fruit - gyümölcs
seed - mag
leaf - levél
root - gyökér
bark - kéreg
flower - virág
grass - fû
rope - kötél
skin - bõr
meat - hús
blood - vér
bone - csont
fat (n.) - zsír
egg - tojás
horn - szarv
tail - farok
feather - toll
hair - haj
head - fej
ear - fül
eye - szem
nose - orr
mouth - száj
tooth - fog
tongue - nyelv
fingernail - köröm
foot - lábfej
leg - láb
knee - térd
hand - kéz
wing - kar
belly - has
guts - has
neck - nyak
back - hát
breast - mell
heart - szív
liver - máj
drink - inni
eat - enni
bite - harap
suck - szív
spit - köp
vomit - hány
blow - fúj
breathe - lélegzik
laugh - nevet
see - lát
hear - hall
know - tud
think - gondol
smell - szagol
fear – fél
sleep - alszik
live - él
die - meghal
kill - megöl
fight - harcol
hunt - vadászik
hit - megüt
cut - levág
split - feloszt
stab - szúr
scratch - megkarcol
dig - ás
swim - úszik
fly (v.) - repül
walk - menni
come - jönni
lie - hazudik
sit - ül
stand - áll
turn - fordul
fall - leesik
give - ad
hold - tart
squeeze - megszorít
rub - dörzsöl
wash - mos
wipe - töröl
pull - húz
push - tol
throw - dob
tie - megköt
sew - varr
count - számol
say - mond
sing - énekel
play - játszik
float - lebeg
flow - áramlik
freeze - megfagy
swell - megduzzad
sun - nap
moon - hold
star - csillag
water - víz
rain - esõ
river - folyó
lake - tó
sea - tenger
salt - só
stone - kõ
sand - homok
dust - por
earth - föld
cloud - felhõ
fog - köd
sky - égbolt
wind - szél
snow - hó
ice - jég
smoke - füst
fire - tûz
ashes - hamu
burn – ég (v) égés (n)
road - út
mountain - hegy
red - piros
green - zöld
yellow - sárga
white - fehér
black - fekete
night - éjszaka
day - nappal
year - év
warm - meleg
cold - hideg
full - teli
new - új
old - régi
good - jó
bad - rossz
rotten - rothadt
dirty - piszkos
straight - egyenes
round – kör alakú
sharp - éles
dull - tompa
smooth - sima
wet - vizes
dry - száraz
correct - hibátlan
near - közel
far - messze
right - jobb
left - bal
at, in, with = Hungarian is an inflective language, so we do not have separate words for these. What I wrote next to them are suffix, these ones we „merge” with the words. 
eg. with mother = anya+val=anyával; at grandmother’s = nagymama+nál=nagymamánál; in school = iskola+ban=iskolában.
at - -nál, -nél
in - -ban, -ben
with - -val, -vel
and - és
if - ha
because - mert
name - név
