arm: tang
ashes: iu-dar
belly: komo
bird: pa
blood: mama
bone: kute
branch: tarku
breast: nama
breast: ngomo
butterfly: kwendere
cassowary: auwia
child: gaka
crocodile: koji
dog: borongo
ear: rant
earth: iakakala
egg: pa-kop
elbow: tango-kwimbu
eye: yinto-kop
face: yingor
father: iaia
feather: sibu
finger: monda
finger: roputi
finger: tupi
fire: iu
fish: gulihu
five: belam
flower: lu-kopo
fly (n.): aloko
foot: guabo
forest: worung
four: kumbo-kumbo
hair: bin-kwam
hand: tang-pute
head: bin-kut
house: mai
I: ginunga
leaf: lutem
leg: bule
lip: bordo
liver: totoma
louse: monda
man: ra
moon: kwiti
mosquito: iongon
mother: nana
mountain: didu
mouth: umegopo
navel: kumba
night: kutewiwira
nose: wide
one: jinbi
rain: ugala
rat: mokat
river: alatakwor
river: bobo
road: ngungu
root: wunda
sea: bauwa
shoulder: puda
skin: toii
smoke: iu-ting
snake: diben
snake: tume
spit: kok
star: kwita-minung
stone: wagudi
sun: iebodo
thou: bagud
three: kumleji
tongue: dungamara
tooth: lingu
tree: lu
two: kumbile
wallaby: tal
water: alu
wife: titikura
wind: busiagud
woman: mulema
