all: tsiɗ
ashes: kau
bark: bɔɗɔka
belly: bubu
big: zeha
bird: gwah
bite: k\edz
black: buɗam
blood: seh
bone: ɔka
breast: ida
claw: kɔrɔk
cloud: giɗa
cold: eaba
come: ats
die: bad
dog: ŋoka
drink: wɛt
dry: tsa
ear: bos
eat: nk\
egg: ɓiɓa
eye: ekwa
fat (n.): čeim
fat (n.): ɛfa
feather: tuka
fingernail: kɔrɔk
fire: ts\aɗa
fish: ŋkolea
fly (v.): bɔr˗ɔn
foot: dɛa
give: mɛ
good: da
grass: kua
hair: siːtsa
hand: kwɛta
head: ika
hear: nɛs
heart: gura
horn: ɛba
I: nka
kill: čɛ
knee: kutuŋ
know: iyes
leaf: kaka
liver: sakam
long: zikib
louse: ts\an
man: eakwa
man: ɳɔta
many: komat
meat: ɛm
moon: asan
mountain: kuɓa
mountain: kwar
mouth: aka
name: ɛda
nape: luk\um
neck: ɬo\gum
new: ɛrut
new: ɛruts
night: moku
one: kɔna
other: sa
person: am
person: roɓa
rain: didi
red: ɗiua
road: muiče
root: dakusɔk
round: ɗukuɗa
sand: ǯomo\ǯomas
say: kut
seed: ekweɗ
see: ɛn
see: gon
sit: zɛk\wa
skin: ts\ɛ
sleep: ɛp
small: kwats
smoke: ts\uda
snake: idem
stand: was
star: ɗoɬeat
straight: gwas
sun: fet
swim: ilulum
tail: timoe
thin: ɪkar
this: anɛ
this: ani
thou: bi
thou: bita
three: aɗat
tongue: nak\af
tooth: kwa
tree: ats\a
tree: dakwa
two: lebets˗at
walk: k\ai
warm: haɓ
water: čuɛ
we (excl.): ŋgwa
we (excl.): ŋgwa
we (incl.): nǯina
we (incl.): nǯina
wet: ɗɔk\a
what: is
white: ʙets\a
who: ndo
woman: čekam
woman: gwasat
