all: (to)mɔd
arm: eŋgla
arm: φax-l
arrow: φal
ashes: s-mop
at: -m
back: mäs
bad: saxa
belly: e
belly: e
belly: pendil
big: iɒmbɒ
big: yambol
bird: kʷʉmb
bird: tetoad
bird: tetuad
bird: totwan
black: kɒmbu-l
black: kombul
blood: tobo-l
blood: tõf
blood: tõfo-l
blood: tɒφ
bone: kəl
bone: quel
boy: ɒbo-l
branch: kəla
branch: këla(-l)
breast: tot
breast: tots
brother: di-l
brother: di-l
brother: ete-l
burn: la
burn: suwe-mde
butterfly: andba
butterfly: tui
chin: kaʷ
claw: mɔl
cloud: tekwa
cold: nitipaŋ
come: a-pio-we
come: -pia-
come: -puhõ
come: sɒx
crocodile: uisafõ
crocodile: uisaφɒ
cut: he
cut: hi-
cut: kʷɒφɒ
cut: puis
cut: se
daughter: mo-l
die: iaca
die: yaxe
dig: pos
dig: seŋgφi
dog: unde
drink: embapiluphai
dry: atsahephona
ear: aŋgu
ear: popanap
earth: patsxa
earth: φətxe
eat: mnde
eat: ne
eat: ne
egg: ale-l
egg: embsu
emu: koi
excrement: ekukõ
eye: ndowxele
eye: noφ
face: lɒ mɒs
fall: feha-
fall: pe
fall: pəpexa
father: aia-l
fat (n.): embel
fear: pe
feather: ta
feather: tetoad-na ta-l
feather: tota-n-ta-l
fingernail: weske
fire: sue
fire: suwe
fish: lːɒ
fish: tɒmbtɒ
fly (n.): ambop
fly (n.): amboφ
fly (v.): paixa
forehead: mələŋg
forest: saŋgɔt
fruit: mɒφo
full: banap
give: baihowa
good: ebes-l
good: embes-l
good: mbese-l
good: snopo-l-m
grass: i
guts: ekeukɒ-l
guts: ekukõ-l
guts: imu-l
hair: ta
hair: ta
hair: tse
hand: enggla
head: ku
head: ta
hear: ang
heart: ɔd
hear: xeulɒ
here: ɒh
here: iauõ
he/she: ehe-na
he/she: exe
he/she: nyeme
hit: hetxa
hit: xəlφe
hold: kaφli
hold: panda
hold: ula
hole: mel
house: yɛφ
hunt: isi
husband: təla
husband: tëla(-l)
I: ka
I: ka
I: ka-na
knee: molom
know: tau φe
know: titφi
laugh: tutxɔ
leaf: lop
leg: monggla
leg: muŋglɒ
lie: li-
lip: membtɒ
long: kuiː-l
long: kuiː-l
long: tokol
louse: ke
louse: ku
man: ind
man: yenjeni
many: mòd
many: nimbnam
many: numbulam
meat: nih-l
meat: nix-l
meat: tëta
meat: təta
moon: səŋgaφɒ uɔs
moon: uɔs
moon: wes
morning: bəsexa
morning: səmeia
mosquito: kles
mosquito: kles
mother: afa
mother: afa-l
mother: aφa-l
mountain: ɒlɒ
mountain: oli
mouth: meŋg
mouth: nggau
name: ane
name: nama
near: mu
near: mɒx
neck: enemon
neck: uaŋg
new: neme-l
new: nëme-l
new: nəme-l
night: nɔn
night: si
night: sye
nose: mo:s
not: auaia
not: auaia
not: -me
not: së
not: xoi
old: kulɒ-l
old: kulõ-l
one: mag
one: manggowa
one: mugõ
one: muŋgas-l
person: endel
person: yima
rain: po
rain: po-kesbop
red: ambu-l
red: sawot
red: sue-l
ripe: abu-l
ripe: ambu
ripe: fõku-l
ripe: φɒku-l
road: mëna
road: məna
road: mna
root: pəla
root: pla:r
root: ue
rope: ue
rotten: nɔŋgu
round: waiswiyo
sand: enggel
sand: eŋgl
say: ɒ
say: õ-
seed: le-l
seed: nɒ-l
seed: nõ-l
see: naŋglɛ
see: nop
sharp: së-l
sharp: sə-l
short: hute-l
short: xute-l
shoulder: luxi
sister: ete-l
sister: uew-l
sit: ka-
sit: nensxap
skin: nɨx
skin: tobo-l
skin: tõf
skin: tõfo-l
skin: tɒφo-l
sleep: li
sleep: uweb
small: ambka
small: pete
small: tuande
smoke: su-l
snake: saixola
snake: xa
spit: kuaksɒ
stand: lõh-
stand: lɒx
stand: pau
star: pai
star: pɛi
stone: paφeia
stone: wune
straight: pɒs-l
sun: akomba
sun: ɒkɒmba
swell: kəls
swim: wendamongglanka
tail: nail
that: ä
that: ten
there: ä
they: nangglu
think: nəŋg
this: ɒh
this: ox nggaalip
thou: be-f
thou: ne
thou: yem
three: sambiye mong
throw: api
tie: aŋgaφe
tie: nɨs
tomorrow: u-ni-si
tongue: ba:l
tongue: mənde
tooth: lɒ
tooth: lu
tree: ce
tree: mɒ-l
tree: ti
tree: ti
tree: ti he-l
tree: ti-l
two: sabla
two: sambiye
two: sambla
unripe: puende-l
vagina: ɒmɒ
vagina: ɒmʷe
vagina: ome(-l)
vagina: omo
vomit: nuxɒ
walk: uagl(-f)
walk: wanggilbe
walk: φɒxɒ
water: po
water: po
water: pu
weep: nangglep
we: pə-l
we: pip
we: yetha
what: ax-
what: bəsɛi
what: maŋga
what: mbsei
where: ax-ia
white: gege-l
white: ndangge-l
white: ŋgeŋge-l
who: an
who: ani
wife: ago-l
wind: bubui
woman: ago
woman: aŋgʷɒ
woman: anggowa
wood: ine
wood: lʉ
wood: tëh
wood: təx mul
wood: tiaŋga
yellow: tambem
yesterday: ɒm
yesterday: õm
you: plip
