all: yabasia
arm: ma-da
arm: mahe\
arm: maheʔa
arm: maheʔa
arm: mahe-ka
ashes: umia
ashes: umia
ashes: umië
back: erna-ra
bad: batiara
bark: or-hura
belly: oho\era
big: a\ora
big: aʔora
big: aʔora
big: yegura
bird: gedë
bird: gedə
bird: gedə
bitter: akewara
black: a\ara
black: aʔara
black: aʔara
blood: eʔa
blood: eʔa
blood: o\a
bone: eʔera
bone: eʔera
bone: e\erë
branch: aga
breast: avorë
brother: -apodara
brother: -apodara
brother: awodara
butterfly: buri
butterfly: buri
butterfly: hahe\ara
cassowary: buri
cheek: gepu-era
chest: bira
child: gevurë
chin: esira-hara
cloud: apu\irë
cold: isi\a
come: anawa-ra
come: nawa
come: nawa
come: nawa
day: asi-rë
dog: iba
dog: iva
dog: iva
drink: erenara
dry: sosota
dry: sosota
dry: tatyara
ear: ehua
ear: fada
earth: e\a
earth: eʔa
ear: yaha
ear: yaha
ear: yaha
eat: erenera
eat: nara
eat: nara
egg: boru-sërë
egg: borusra
egg: borusra
egg: sa
egg: sa
egg: sa
elbow: mafe-fera
elbow: mane fora
elbow: mane fore
elbow: mane pura
emu: buri
excrement: hara
eye: mana
eye: mana
eye: manë
face: mi\përë
far: auara
father: yaira
fat (n.): hueda
feather: hia
finger: mahe-\e-\era
fingernail: tegeria
fingernail: tekera
fire: usa(-ra)
fire: usea
fire: usera
fish: noa
five: maiba
fly (n.): ohobua
foot: mavura
foot: mavura
foot: movura
forehead: mana-purë
four: benemesidawa
fruit: eke-re
fruit: or-e\e-ra
give: gama
give: gema
give: gemara
good: baera
good: baera
green: nesira
guts: uaroaraka
hair: hië
hair: hiə
hand: mahe-\a
hand: maheʔa
head: yanyara (?)
head: yebiə
hear: yanyara (?)
heavy: idoroa
heavy: idoroa
he/she: ara
hole: aha-rë
house: yahara
house: yaha-ra
how: ededa
husband: amodaka
I: noa
I: noa
knee: ini-\a
leaf: ehe-ra
leg: mavura
leg: movura
leg: movura
lightning: mënenera
lip: ivu-fura
lip: i(vu)-hura
live: manama
long: gwarura
louse: oa
man: bəvura
man: uedë-bevura
many: ubura
meat: asi-rë
moon: burë-rë
morning: besiko
mosquito: isis-rë
mother: yawara
mountain: biawë
mouth: ivu-fura
name: u-ra
name: u-ra
navel: umabe
near: nomora
neck: homa-ra
neck: homa-ra
neck: homë-rë
new: ai-ra
new: ai-ra
new: obia
night: iewa-\a
night: yewaʔa
nose: mi-\a
old: garu-ra
old: garu-ra
old: goru-ra
old: ubo-\a
one: abana
one: abana
one: abaua
person: gisirë
rain: gi\a
rat: ba
rat: mugira
red: e\a
right: ausuroa
ripe: aka
river: yogë-ra
river: yogə-ra
river: yogë-rë
road: ma\ë
root: mumu-rua
rope: uaraka
sand: sia
say: aga-
sea: uvërë
see: bora-
see: borara
see: borara
seed: ekera
shoulder: aupa-ra
sit: avara
sit: awara
skin: hura
skin: hura
sky: uanawa
sleep: esara
sleep: esara
small: ivura
smoke: amuni
smoke: amunia
snake: bimë-rë
sour: akewara
spit: masa-ka
spit: masa-ka
stand: emetara
star: omawurë
stone: etërë
stone: etərə
sun: asi-rë
sun: asirə
sweet: mira
swim: esara
tail: ehe-\era
tail: eheʔera
that: ia
there: inara
they: ari\a
thigh: a\a
this: e\ea
thorn: igi-ra
thorn: igi-ra
thou: eria
thou: ora
thou: oroa
three: abomdawa
three: abomdawa
thunder: gurie
tie: *yik-
today: asire\a
tomorrow: bos\ura
tongue: amada
tongue: amada
tongue: moë
tooth: si-\a
tooth: siʔa
tree: ora
tree: ora
two: aboma
two: aboma
two: aboma
vagina: bea
walk: ameragumaga
walk: marara
walk: meruma!
warm: amwa
warm: amwa
water: moda
water: moda
water: moda
weep: medara
we: na
we: naya
white: nobura
white: nobura
who: emani
wife: ayawa
wind: aherë
wing: hahura
woman: uedë-gabovërë
wood: ora
yellow: tawara
yesterday: asadë
you: eria
