all: ŋāmin
and: se
animal: ulolag
ashes: abu
back: addag
bad: nadakeʔ
bark: kapsit
because: ta
belly: sinay
bird: anʔanuʔ
bite: kagāt
black: ŋīsit
blood: dāga
blow: mag-sup
bone: tulāŋ
breast: gātat
breathe: āŋat
burn: siʔdug
child: ababbiŋ
cloud: aŋap
cold: nasanāŋ
come: umbet
correct: [kustu]
count: mag-bīlāŋ
cut: puʔdan
die: natay
dig: mag-korob
dirty: naragit
dog: ātu
drink: um-inum
dry: namaga
dull: nakaʔdul
dust: tāpuʔ
ear: talīŋa
earth: lusaʔ
egg: iʔlug
egg: iʔlug
empty: āwanmayān
eye: mata
fall: mebinaʔ
far: adayyu
father: ama
fat (n.): taba
fear: aggansiŋ
few: bittiʔ
fingernail: kuku
fire: apuy
fish: sissida
five: limma
float: mag-lattāt
flow: āyus
flower: būta
fly (v.): kumāyab
fog: aŋap
foot: dapān
forest: sirāt
four: appāt
frog: tukaʔ
fruit: būŋa
full: napnu
give: idde
good: napiya
grass: kaddat
green: mannāw
guts: lābad sinay
guts: lābad sinay
hair: abuʔ
hand: labunugān
head: ūlu
he: aggīna
hear: magiʔna
heart: bukal
heavy: nadammat
hit: tappit
horn: saʔgud
how: mapānna
hunt: maŋanup
husband: atāwa
if: nu
I: iyaʔ
in: unag
kill: pumatay
knee: utud
know: ammuwan
lake: abay ya pisuŋ
large: abay
laugh: makagalaʔ
leaf: adon
left: pane kasīgid
leg: sīkil
lie: mag-idda
liver: agtay
live: sibbiyāg
long: adaddu
louse: kūtu
man: lalāki
many: adu
meat: tabbit
moon: būlān
mother: ina
mountain: bantay
mouth: buguŋ
name: ŋāgan
narrow: nagipit
near: adanni
neck: buʔlaw
new: baru
night: gabi
nose: iguŋ
old: nanākam
one: isa
person: tolay
play: mag-aŋrād
pull: gamnīdan
push: maŋ-isuʔlin
rain: udān
red: daggāŋ
right: panediwanān
river: wāŋag
road: [kalsāda]
root: gamut
rope: lūbid
rotten: narupsaʔ
round: libbutu
rub: liʔgesān
salt: asin
sand: ginat
say: kagiyan
sea: bebay
sea: bebay
seed: bukal
sew: managet
sharp: natadam
short: abibbaʔ
sing: mag-kansiyon
sit: mag-tugaw
skin: lublub
sky: lāŋit
sleep: tūdug
small: bittiʔ
smell: lāban
smoke: atuʔ
smooth: nenār
snake: idaw
some: atānda
spit: lūtab
split: nasiʔlāt
stab: bagkuŋ
stand: magsīkād
star: bittuwan
stick: taʔdukud
suck: susu-wan
sun: mata
tail: īput
they: ag̣gīda
thick: naʔnag
think: naknakmən
thin: niŋpit
thou: dakayu
thou: ikaw
three: tallu
throw: baʔbaʔ
tie: gālut
tongue: dīla
tooth: ŋīpan
tree: kāyu
turn: mag-balintag
two: duwa
vomit: ota
warm: napāsu
we: daʔtada
wet: nabasa
what: inna
when: nūŋay na
which: inna kadayãn
white: pusaʔ
who: inna
why: tanna
wide: nalawāg
wife: atāwa
wind: balbāli
wing: payaʔ
woman: babay
worm: aluki
wrong: sābag
year: dagun
yellow: ŋila
