and: baru
arm: n-omboro
arm: n-omboro
arm: obora
arm: ombori
arm: ómboro
arm: y-obora
arm: y-obora
arrow: kepena
arrow: kepena
ashes: botanomo
ashes: botanomo
ashes: botáno(-mo)
ashes: udebi
ashes: udebi
ashes: u-debi
ashes: u-debi
back: natipam
back: natipam
back: na-tipám
back: natipam toke
bad: wakori
bad: wakori
bad: wákori
belly: akotena
belly: kotena
belly: kotena
belly: kotena
belly: nakotene
belly: nakotene
belly: na-koténe
big: atarae
big: atarae
big: ataráe
big: tinania
big: tinania
big: tinania
big: tinania
bird: durewo
bird: kaneno
bird: kaneno
bird: kanéno
bird: kanenumo
bird: kenenu
bird: maniko
bird: maniko
bird: maniko
black: ibiti
black: ibiti
black: ibiti
black: kibetia
black: kibetia
black: kibetia
black: kibita
black: ribi-
black: ribi-
black: ribí-
blood: amata
blood: apata
blood: apato
blood: apato
blood: apáto damir
blood: apatomo
blood: apatomo
blood: apato-mo
blood: damir
blood: damir
blow: depu-
blow: depu-
blow: depu-
bone: kota
bone: toka
bone: toka
bone: toka
bone: tokaya
bone: tokaya
bone: toka(ya)
bone: toke
bone: toke
bone: tokeige
bone: tokeige
bone: toké(ige)
boy: akot rabin
boy: akot rabin
boy: akót rabín
branch: metange
branch: metange
branch: metánge
breast: didu
breast: didu
breast: didu
breast: didu
breast: dudo
breast: dudo
breast: dudó
brother: kombir
brother: kombír
brother: nani rabin
brother: náni rabín
burn: bobe-
burn: bobe-
burn: bubuelea
burn: kei-
burn: kei-
burn: tarai
burn: tarai
butterfly: mokakalo
butterfly: mokakaro
butterfly: mokakaro
butterfly: mokakaro
butterfly: mumuo
butterfly: mumuo
butterfly: múmuo
calf: notor imban
calf: notor imban
calf: notór imbán
cassowary: woríbo
chest: kambete
chest: kambete
chest: kámbete
cloud: amana
cloud: amana
cloud: amana
cloud: amanabo kaite
cloud: amanabo kaite
cloud: amanábo káite
cloud: amana-kate
cold: lobokobaia
cold: tiga-
cold: tiga-
cold: tiga(-tigáe)
cold: tigatigaia
cold: tigatigaia
cold: tigatigaya
cold: tiga-tigaya
come: amia
come: amia
come: amia (?)
come: ma-kabe
come: mo-
come: mo-
come: mo-
come: mo-e
come: momae
come: momae
crocodile: tayade
crocodile: tayade
crocodile: tayáde
day: ambintano
day: ambintáno
die: dimea
die: dimea
die: dimea
die: tau-
die: tau-
die: tau-
dog: dabore
dog: dabore
dog: dabóre
drink: u-
drink: u-
drink: u-
drink: u-
drink: u-
drink: u-
drink: u-
dry: melea
dry: raraga-
dry: welea
dry: werea
dry: werea
ear: e-kelo
ear: e-kola
ear: nakera
ear: nakera
ear: na-kerá
earth: boð
earth: boð
earth: bodh
earth: kabilo
earth: kedhú
earth: keðu
earth: keðu
earth: kereia
earth: kereia
earth: kereia
earth: kereka
earth: kereya
earth: kereya
earth: wíririé
earth: wo
earth: wo
ear: yakera
ear: yakera
ear: ya-kera
eat: naru-
eat: naru-
eat: ni-
eat: ni-
eat: ni-
eat: ni-
eat: ni-
eat: ni-
eat: ni-
egg: ku
egg: ku
egg: kúo
egg: ukomo
egg: ukomo
egg: uku-mo
egg: uku(-mo)
elbow: netugedo
elbow: ne-túgedo
emu: woribo
excrement: káyto
eye: amaga
eye: emage
eye: emagho
eye: emago
eye: emago
eye: emago
eye: imekan
eye: i-mekan
eye: na-emágho
eye: naemago
father: áet
fat (n.): gewa
fat (n.): kota
fat (n.): taboka
feather: kalalo-kaneno
feather: karara-maniko-mo
feather: kararo
feather: kararó
finger: memeŋgo
fingernail: nekepatiko
fingernail: nekeponiku
fingernail: no-mbometi
fingernail: obalaniku
fingernail: ombo-m-eti
fingernail: yekepa
fingernail: yekepa
finger: nombo
finger: no-mbo me-menggó
fire: ineta
fire: ineta
fire: ineta
fire: inete
fire: inete
fire: ineti
fire: inéti
fire: udebi
fish: konaminia
fish: konaminia
fish: kunamini
fish: taembake
fish: taembáke
fish: uto
five: radi
five: rádi
fly (n.): aleda
fly (n.): bowrae
fly (n.): kalalenu
fly (n.): karareno
fly (n.): kararéno
fly (n.): kararenu
fly (n.): kararenu
fly (v.): diae
fly (v.): iao
fly (v.): ye-
fly (v.): ye-
fly (v.): ye-
fly (v.): ye-
fly (v.): ye-
foot: notor aŋgane
foot: notoru
foot: otola
foot: otora
foot: otora
foot: ótor anggáne
foot: otore
foot: otóru
four: idati
four: idáti
fruit: buko
fruit: bukó
give: hamema
give: me-
give: me-
give: mebe
give: nabe
give: nameme
give: yabe
give: yabe
good: ininggei
good: iniŋgei
good: nigei
good: nigei
good: nigeia
good: niŋge
good: ninggé
green: ididilia
green: ididiria
hair: atunu
hair: karar
hair: karár
hair: n-ákab-atúno
hair: -tuno
hair: warar
hair: watunu(-mo)
hair: watunu(mo)
hand: n-omboro
hand: obola
hand: obora
hand: ombori
hand: ómboro
hand: y-obora
head: akab
head: akaba
head: akáb(e)
head: akaboya
head: akabo(ya)
head: naːkabe
head: nakabo
hear: tobo-
hear: tobo-
hear: tobu
heavy: aramani
heavy: aramáni
here: miro
here: ʔmiro
here: ugeage
here: ugéage (?)
he/she: igela
he/she: maniago
he/she: mani-ágo
he/she: naiti
he/she: uma
house: keine
house: keine
house: titar
house: títar
I: neiga
I: ne-iga
I: ne-iga
I: nendi
I: ne-ndi
I: neŋtigo
I: neygo
I: n-éygo
kill: taupu-
kill: taupu-
knee: nopine kap
knee: notora kawa
knee: obenika
knee: omi
knee: omiani
knee: opania
knee: opianu
knee: opíne kap
knee: otora-kawa
laugh: aratia-
laugh: arátia-
leaf: bánggo
leaf: baŋgo
leaf: nonia
leaf: otirero
leaf: otirero
leg: n-otoru
leg: otora
leg: otora
leg: otore
leg: otóru
long: ekaboi
long: ekaboi
long: ekaboia
long: ekambe
long: ekámbe
louse: kono
louse: kono
louse: kono
