and: təɟət̪əft
ashes: igəd
bark: tiləmit
belly: tiddist
bird: ažot̪it̪
bite: ədrəm
breast: bibbiš
breast: ifəf
chest: idmarən
claw: iššər
dig: akz
dig: ənt̪əl
dog: indi
dust: təɣɣa
ear: təmədǯit
earth: židi
eat: əč
fall: ut̪a
father: baba
feather: təbulbulət
few: ašar
few: druːs
fingernail: aššər
finger: tucod̪
finger: tukod̪ azzuar
fly (n.): uzu
fly (v.): far
fog: tagut
foot: inərz
foot: t̪ar
forehead: ɑruɟi
four: occoz
full: əččar
full: itəččar
grass: tiɟa
green: aurak
hand: dummišt
head: ikf
hit: ut
horn: aššɑo
how: mamməc
laugh: əd̪ṣ
leaf: tafrit
left: afusai
left: zəlmat
lip: anbuːr
louse: tiššit
man: ərɟaz
meat: iasm
meat: usum
moon: uyər
mother: əmm
navel: təmit̪
neck: tacrumt
night: əns
night: yət̪
one: uǯun
one: uǯut
other: tidi~tiət
rain: anzər
rat: aɟərdi
rat: giul
river: usəf
root: azur
rub: aməs
salt: tisənt
say: əml
say: siwəl
see: zər
sew: əzmi
short: ǯəzzəl
shoulder: takrut
sing: əzli
skin: uɟlim
small: məšəc
son: məmmi
star: itri
stone: acərra
sun: tufut
sweet: taməmt
tail: affətal
three: šarəd
throw: ənt̪ər
thunder: iǯaɟ
tie: aɣɣən
today: assu
tooth: sinn
turn: ənnət̪
walk: ugur
wash: sira
weep: kərrət
where: s˗mani
wind: at̪u
wind: təɟɟrəst
wing: afriu
wood: taburɑit
wood: takrit
worm: təccičča
yesterday: sənnat̪
