animal: pá˗rugu
arm: ŋ́gwɪ̂
ashes: w˗ɛ́ːgá
back: k˗úsu
bad: ɪ́ččɪ́lu
bark: kíṛi
bark: wúṛi
belly: s˗ərəⁿ
big: ˗bɛ́nɛ́ːmbe
bird: ŋ˗érɛ́bi
bite: kʊsʊǃ
black: ˗uɲ(ɲ)i
blood: nɛ́ru
blow: kʊːðɪǃ
bone: m˗
bone: s˗úmmɛ
branch: ŋ˗ɛ́ːṛú
breast: s˗immi
breathe: huhaŋɔǃ
brother: lɔbɔnɛ
burn: ka˗lə̯gɔ
child: ŋ˗ɛmɛ
claw: xɛ́nǯɛ
cloud: ɗ˗ít̪t̪ɛ
cold: ˗it̪t̪î
cold: ŋ˗
come: áŋgʊǃ
correct: ˗ɔ́tti
count: táŋándu
cut: hɔ́ː˗mɛ́
cut: hɔ˗ŋá
cut: mɛ́ǃ
cut: ŋaǃ
day: siŋgi
die: ŋɔ́˗nnɔ
dig: kɔ˗sikku
dirty: əṛeččá
dog: t̪ɛ́kɛ́ːlʊ́
drink: ágʊǃ
dry: áːnd̪aŋa
dust: d̪˗ɒ́ːṛú
ear: k˗ɛ́ːnú
earth: ɗ˗éːsu
eat: lɒgʊǃ
egg: sɪ̂mwî
eye: s˗ɪ́gi
fall: hɔ́ːbɔ
far: t̪ánd̪áːu
father: appa
father: ˗mbi
fat (n.): ŋ̀˗ŋâ
fear: bɔ́˗kɔ́˗nɛ́ːrʷ
feather: kɛ́le
few: ittɛ́ːlɔ
fight: hɔ˗kkɔ́ðɔ́gi
fingernail: x˗ɛ́nǯɛ
finger: s˗ánd̪ri
fire: t̪˗ɪ́
fish: aːbɛ
five: sú siːli
flow: bɔ́˗təməlakkú
flower: t̪˗ʊːṛɛ
fly (n.): kú˗bullu
fog: pəsullɛ
foot: ŋ́˗gê
forest: d̪i˗hɪ́ːra
four: yawuṛándɔ́
fruit: t̪˗ʊːṛɛ
full: t̪ábat̪t̪ɛ
good: ˗ɔ́tti
green: ˗ɔ́ːi
guts: n˗úu
hair: ɗəŋe
hand: ŋ˗gwî
head: s˗â
head: s˗âm
hear: písiǃ
heart: ɗáːga
heavy: ɪ́rrə
hit: kɔbɔǃ
hole: d̪˗ʊ́ːbu
horn: t̪ʊːbi
hunt: hɔ́˗ŋɛɗɛ́
husband: ɔ́ːbə̺lɛ
I: ɔŋŋi̪
kill: kʊßɔ́ːðɛǃ
knee: h˗ʊŋgʊ
know: h˗ʊ˗nnʊ
lake: d/ɗ˗áːṛə́bə́
laugh: laːluǃ
leaf: d̪˗aːt̪á
left: kúːlɛ
leg: ŋ˗gɛ̂
lie: saːdqɛ́
live: hɔ˗kʊt̪t̪é
liver: t̪˗ʊŋgi
live: wɛniːðɛ
long: ɔwwi
man: g̥ʊlʊßáːɪ
many: ˗ʊmmu˗ɔd̪ʊ́ːßɔk
meat: w˗áːbɪ
moon: k˗ɪ́ːnak
mother: pɛnɛ
mountain: ɲ˗aɗa
mountain: x˗a
