all: zʊtəmbasse
ashes: bɛd\nə
bark: goŋa
belly: kəta
big: iɲɲa
bird: kassa
bite: s\aːrʲ
black: kara
blood: (h)anna
bone: me\gɛː
breast: tama
burn: kiːčuti
claw: difna
cloud: šaːru
cold: kɔːčo
come: iyɔːwa
die: kiːtu
dog: kaːna
drink: ʊššuwa
dry: iššʷa
ear: ɔːdɔ
eat: muːwwa
egg: keːwa
eye: aːfa
father: aːba
fat (n.): č\omma
fire: geːya
fish: k\urtumi
fly (n.): kuːra
foot: waː\čo
give: ɪmma
good: maʔar
grass: šaːʔa
hair: som\ma
hand: kʊːššu
head: teːta
hear: ɔ\doːwa
heart: niːbba
horn: kəlla
I: taː
kill: wɔːrɔ\wa
knee: keʔa
know: aroː\wa
leaf: toːšša
liver: zogara
long: diːča
louse: tuːʔa
man: assu
many: šoː
meat: aːšša
moon: aːssa
mountain: kum\ma
mouth: noːno
name: suːnna
neck: suːta
new: gɛd\do
night: waːl\la
one: isson
other: ɔːmma
rain: iːro
red: šeːʔa
road: oːgʲa
root: tassa
sand: fuːtu
say: uːwwa
see: biːwwa
seed: zaːlla
sit: duːwa
skin: goːgo
sleep: kunʷa
small: gaːro
smoke: čuːwa
snake: zaːwa
stand: yɛ\roːwa
star: baːkura
stone: šuːʔ(w)a
sun: aːwa
swim: ˗\čewa
tail: ʊɲu
thin: buːʔisa
this: hann˗
thou: ne
three: keːʲz
tongue: tɛrʲma
tooth: aːʔya
tree: iːʔyɔ
two: hɛp
walk: hamma
warm: gʊːmu
water: aː\ka
we: ɪnno
wet: (h)aːʔra
what: aːmba
white: fɔro
who: ɔːmbe
woman: məš\kaːr
you: nɪt\to
