ashes: はい
big: おおきい
bird: とり
black: くろ
blood: ち
bone: ほね
breast: むね
cloud: くも
cold: さむい
die: しぬ
dog: いぬ
drink: のむ
ear: みみ
eat: たべる
egg: たまご
eye: め
feather: はね
fingernail: つめ
fire: ひ
fish: さかな
fly (v.): とぶ
foot: あし
good: よい
green: みどり
hair: かみ
hand: て
head: あたま
hear: きく
heart: こころ
kill: ころす
knee: ひざ
leaf: はっぱ
long: ながい
man: おとこ
meat: にく
moon: つき
mountain: やま
mouth: くち
neck: くび
new: あたらしい
night: よる
nose: はな
one: ひとつ
person: ひと
rain: あめ
red: あか
road: みち
root: ね
round: まるい
sand: すな
say: いう
see: みる
seed: たね
sit: すわる
skin: はだ
sleep: ねむる
small: ちいさい
smoke: けむり
stand: たつ
star: ほし
stone: いし
sun: ひ
swim: およぐ
tail: お
that: あれ
this: これ
tongue: した
tooth: は
tree: き
two: ふたつ
walk: あるく
warm: あたたかい
water: みず
what: なに
white: しろ
who: だれ
woman: おんな
yellow: き
