all: sabroi
ashes: akob
bark: kalob
belly: itib
big: kuba
bird: konteD
black: kaLia
blood: iйam
bone: aDo
breast: nunu
claw: noko
cloud: gima
come: Den
die: goӡ
dog: selog
drink: ur
ear: lutuD
earth: moйco
eat: ӡim
egg: susuteD
eye: omoD
fat (n.): boso
feather: beleD
fire: lalaӡ
fish: karoŋ
fly (v.): uDi
foot: padoi=ӡiй
full: pura
give: Diй
green: boronlag
hair: ӡuNTa
hand: iti
head: bokob
hear: oŋ-
horn: siŋo
I: aй
kill: bar-
knee: aNTu
know: koŋ-
leaf: olag
liver: atan
long: ӡiloD
louse: ese
man: kamulog
many: bisi
meat: aeLa
moon: leraŋ
mountain: porboto
mouth: tomoD
name: noa
neck: koŋko
new: noa
night: endaro
nose: motej
one: muйTo
person: luko
rain: gima
red: sunduru
road: goToŋ
sand: bali
say: gata
seed: eӡaŋ
see: ӡo-
sit: Doko
skin: calo
sleep: lebeD
small: soru
smoke: kuaLesoŋ
stand: toŋon-
star: kuйimDig
stone: egeD
sun: beLo
swim: põõre-
tail: aTaD
that: ere
this: ni
thou: am
tongue: aclaŋ
tooth: danto
tree: semu=siŋ
tree: sumu=siŋ
two: ombaTo
walk: Daiŋ
water: Dag
we: niй
what: biri
white: aNdra
who: aDi
woman: ӡuaŋ=Dae
yellow: salaŋ=saŋ
yellow: salaŋ=saŋ
