all: ella
ashes: nīr̲u
belly: poṭṭe
big: daṭṭa
big: per
bite: kaccu
black: karidu
blood: nettar
breast: mār
claw: ugur
cloud: mugil
cold: ār̲-
come: bar-
die: sāy-
dog: nāy
drink: uṇ
dry: oṇa
ear: kivi
eat: tin
egg: guḍḍu
egg: moṭṭe
eye: kaṇ
fat: korvu
feather: tippuž
fire: kiccu
fish: mīn
fly (v.): par̲i
foot: kāl
full(ness): ner̲e
give: ī
good: ಒಳ್ಳೆಯ
green: pasi
hand: kay
head: tale
hear: kēḷ
horn: kombu
I: ān
I: nanu
I: nanu
I: nānu
I: nānu
kill: kol
knee: maṇḍi
know: ar̲i
leaf: āku
leaf: ele
lie: keḍe
long: nīḷ
louse: pēn
man: āḷ
man: gaṇḍu
mountain: male
mouth: bāy
name: pesar
near: aḍ-
new: posa
nose: mūgu
not: al-
one: ondu
one: or
red: ke-
root: bēr
salt: uppu
say: en
seed: bittu
seed: gor̲aṭe
seed: koṭṭe
see: kāṇ
short: giḍḍu
short: guḍḍu
short: kur̲u
skin: tōl
sleep: kana
sleep: sundu
small: kir̲i
smoke: poge
snake: pāvu
stand: nil
star: cukke
stone: kal
sun: nēsar̲
sun: požtu
swim: īsu
tail: tōke
that: a-
thin: asi
this: i-
thou: nīṃ
tongue: nālage
tooth: pal
tree: mara
two: eraḍu
two: iru
walk: naḍe
water: nīr
we (excl.): ām
we (incl.): nāvu
what: yā-/e-
white: beḷ
who: yāvanu
wind: gāḷi
wind: garu-vali
woman: āḍaŋgi
worm: pužu
year: ēḍu
