all: pso
ashes: jāzˊa
bark: pχā-fa
belly: nǝba
big: jǝn
bird: q:wāla-bzu
bite: -ӡa-q:a-n
black: f̣ǝċa
blood: λǝ
bone: q:wǝpsˊħa
breast: bǝӡ
burn tr.: ʁa-sǝ-n
claw (nail: @a-bzˊāna
cloud: pša
cold: ṣˊǝ@a
come: q:a-ḳwa-n
die: Ļa-n
dog: ħa
drink: ja-fa-n
dry: ʁwǝ-r
ear: tħaḳwǝma
earth: ṣˊǝ
eat: šxǝ-n
egg: ǯˊadǝ-ḉa
eye: na
far: žǝzˊa
fat n.: sˊa
feather: q:ābzij
fire: māf\a
fish: bӡazˊej
fly v.: λata-n
foot: λāq:wa
full: jǝz
give: tǝ-n
good: f̣ǝ
green: sˊχwānṭa
hair: cǝ
hand: @a
head: sˊħa
heart: gwǝ
hear: za-xa-xǝ-n
heavy: wandaʁw
horn: bzˊā-q:wa
I: sa
kill: Ļǝ-n
kill: wǝḉˊǝ-n
knee: λa-gwāzˊa
know: ṣˊa-n
leaf: tħampa
lie: s.ˊǝ-λǝ-n
liver: tħamṣˊǝʁw
long: ḉˊǝħ
louse: ċa
man: Ļǝ
many: kwad
meat: lǝ
moon: māza
mountain: bɣǝ
mouth: zˊa
name: ċa
near: blāʁa
neck: psˊa
new: ṣˊa
night: žasˊ
nose: pa
not: -(q:ǝ-)m-
one: zǝ
person: ċǝxw
rain: wašx
red: pλǝzˊ
road: ʁwa-gw
root: q:wa-ps
root: λā-(bzˊa)
round: χwǝrej
salt: šǝʁw
sand: pšāχwa
say: žǝ-@a-n
seed: žǝla
see: λāʁwǝ-n
short: ḉˊaṣˊ
sit: sˊǝ-sǝ-n
skin: fa
sleep: žejǝ-n
small: ċǝḳw
smoke: @wǝʁwa
snake: bla
stand: sˊǝ-tǝ-n
star: vāʁwa
stone: mǝva
sun: dǝʁa
swim: jasǝ-n
tail: ḉˊa
that: ā
that: -bǝ
thin: ṗās.ˊa
this: mǝ
thou: wa
tongue: bza-gw
tooth: ӡa
tree: žǝɣ
two: ṭwǝ
walk (go): ḳwa-n
warm: xwā-ba
water: psǝ
we: da
what: sǝt
white: xwǝzˊ
who: xat
wind: zˊǝ
woman: fǝz
worm: ħambǝlǝw
year: jǝλas
yellow: ʁwazˊ
