all: ˗čo
arrow: kərnɪ́gi
back: kárɛ
back: ogau
bad: diφi
belly: čirɔ
belly: čurɔ
bitter: kʷtu
black: čúlum
blow: φuni
breast: ndam
brother: yaː
chest: ŋgánči
child: nɛnɛ
cold: ámsu
count: isanníː
day: kau
dog: kiri
ear: súma
eat: búki
eat: d\iφi
egg: ngûːl
eye: sum
far: kindu
far: kintu
fear: dáči
fear: dáuniː
few: šúošúo
fingernail: ŋgúḍi
fire: kannú
fish: bini
five: (ß)ûː
fly (n.): čugu
foot: doː
foot: duː
four: d\éu
fruit: bur
good: yɛi
grass: kǽyu͂
hair: kundili
hand: ndɔkɔ́
head: kəlá
heart: kagúrgu
he/she: ˗ŋgeː
he/she: ˗ŋgeː
he/she: ti
he/she: ti
hit: φadi
house: nəm
I: ˗ni
I: ßu
lake: bágu (ar ʟw}
lake: burum
long: kùrûː
man: koá
many: ngúφuju
moon: kumbal
mother: yaː
mother: yíːa
mouth: kəǯi
navel: dʷr
neck: dawu
new: biḷim
night: bíne
not: baː
old: ǯul
one: tullɔ́
other: ŋgɛdé
play: d\ániː
pull: gəɪči
pull: gə́rniː
push: kɔlɔníː
red: kime
river: búrum
road: dúal
rotten: ndúskum
say: nukči
say: núni
scratch: gandiː
see: ßui
see: ßúːni
short: kàφu
shoulder: ŋgamama
skin: katéːgi
sleep: bʷní
sleep: bʷzén
small: kɛtɛ́
spit: d\ulúː
star: súlou
straight: sakkəro
sun: kángal
sweet: kəmàùn
that: dɔ
they: ˗ŋgɛ́di
they: tandi
thou: ˗ndʷ
thou: ni
thou: nɔndi
thou: ˗num
three: yaːkú
tongue: də́lam
tooth: ndimi
tree: čəká
two: yindi
vagina: bádi
walk: káki
walk: tədi
walk: təki
walk: tìdi
warm: kánnaː
water: inǯi
water: nd\i
water: ŋk\i
we: andí
we: ˗nd\e
where: saφi
who: ndɔto
wife: káu͂
wood: âːr
worm: kuḷi
year: kə́rbu
year: sá
