all: bull(i)
ashes: naːto
back: gubb˗o
bark: goːro
belly: t\iːfo
big: oːgɛto
bird: kaːfo
bite: šaːče
black: aːʔo
blood: dɛmmo
bone: šaː\wʊšo
breast: t\aːno
burn: miččibe
claw: goːmo
cloud: kuːfo
cold: aːko
come: wɔːbe
die: k\itiːbe
dog: kunaːno
drink: wiːje
dry: šuːʔo
ear: waːmo
eat: mamme
egg: ga\bɛto
eye: aːfo
father: niːho
fat (n.): aʷɪyyo
fire: k\aːk\o
fish: aːšo
fly (n.): yaːmo
foot: baːto
forehead: bar˗o
give: ɪmbe
good: gaːbɛto
grass: mɔːčo
hair: iːk\ɛ
hand: kiːšo
head: k\ɛllo
heart: muːllo
hear: waːy\yɛbe
horn: k\aːro
I: ta
kill: wʊttɪbe
know: aːrribe
leaf: waːmo
liver: k\ammo
long: gɛːndʒo
louse: č\uːč\o
man: aːšo
many: wəddo
meat: meːno
moon: aːg\gɛːne
mountain: gɛːpo
mouth: noːno
name: šoːgo
neck: k\ɛːto
new: aːn\dɪro
night: t\uːmo
one: ɪkko
other: baro
rain: amiho
rain: dup
red: č\eːlo
road: goːmmo
root: č\aːmmo
sand: k\aːčo
say: gɛːtte
see: čiːne
seed: yaːro
sit: kɔttɛːbe
skin: goːko
sleep: k\ɛbe
small: giːšɛːčo
smoke: č\uːfo
snake: dɪn\gaːro
stand: neːt\ɛbbe
star: t\ɔ\ǯǯɛːno
stone: t\aːk\o
sun: aːbe
swim: waːko
tail: č\eːro
thin: dɛːllo
this: hɪni
thou: ne
three: keːymo
tongue: ɛːč\io
tooth: gaːšo
tree: miːt\o
two: guːto
walk: haːmbe
warm: gaːmo
water: aːč\o
we: no
wet: gaːro
what: aːmo
white: nɛːč\o
who: k\ɔːni
woman: maːče
you: iː\toši
