all: arʊo
animal: məkʰəre
ashes: waukʰayantʰama
ashes: waukaya-ntama
bad: jhue
bad: ǯʊe
bark: moëng
bark: moəŋ
bird: auën
bird: auən
bird: awan
bird: awan
blood: sï-nduma
blood: sɪnduma
bone: wamo
bone: wamo
boy: bembogo
boy: bembogo
child: bebuam
child: bebuam
chin: makaŋ
cloud: banëban
cloud: banəban
cold: kʰobo
come: mise
come: mise
dog: lʊndəmʌ
dog: lu-ndëma
dog: worəntʰəmətʰ
dog: wor nt m t
dust: mʊiŋ
ear: kombe
ear: kʰombe
earth: bïn
earth: bɪn
earth: bɪn
eat: sɛmʌ
eat: sëma
egg: mbwi
egg: mbwi
eye: iəmbən
eye: yëmbën
father: ape
father: ape
fat (n.): ambaiyo
fat (n.): ambaiyo
feather: ang-gop
feather: angopʰ
finger: iandən
finger: iokʰotonam
fingernail: yandën
finger: yokotonam
fire: pəndəmʌ
fire: pë-ndëma
fire: pë-ndëma
fire: pʰəndəma
fish: məgare
fish: mëgëre
foot: spëng
foot: spəŋ
girl: lengkan
girl: leŋkʰan
good: yolaimen
good: yolaimen
hair: wai
hair: wái
hand: yabau
hand: yəbau
head: tʰongam
head: tonggam
heavy: dënat
heavy: dənatʰ
he/she: ga
he/she: maɲ
he/she: ma/ga
he/she: many
house: pandama
house: pandama
I: ape
I: ape
I: ɲi
I: nyï
knee: ambwanpwëndama
knee: ambwanpwəndama
leaf: baiëben
leaf: baiəbɛn
lip: punëmp
long: iolkʰonətʰ
long: yolkonët
louse: mabawaya
louse: makëntë
man: wʊlʊk
man: wuluk
man: yol
man: yol
meat: məkʰəre
moon: mambo
mother: niam
mother: niam
mountain: iəmbwan
mountain: yëmbwan
mouth: pʰʊnəmpʰ
name: ïnduma
name: ɪnduma
night: bandan
night: bándan
nose: pam
nose: pam
not: ap
not: ap
old: mɔm
old: uau
one: bwa
one: bwa
rain: yandama
rain: ya-ndama
rat: yaka
rat: yakʰa
road: da
road: da
see: manasatakoia
short: te
short: tʰe
shoulder: namboŋ
skin: ʊntʰ
skin: unt
small: kërënës
small: kʰərənəs
smoke: pʊs
smoke: pus
snake: kʰəndɪndama
snake: kundï-ndama
star: yanggë-ndëma
star: yaŋgəndəma
sun: aim
sun: aim
that: -guma
they: le
this: -dama
thou: wïn
thou: wʊm
thou: wun
thou: yolëngga
thou: yoləŋga
tomorrow: bʊn
tomorrow: bun
tongue: menyo
tongue: mɛnyo
tooth: vaiwa
tooth: vaiwa
tree: mwop
tree: mwɔp
tree: wïntyet
tree: wɪntyɛtʰ
two: nʊngʊə
two: nungguë
warm: ʊisanarakʰop
water: məndəmʌ
water: më-ndëma
water: ya´më-ndama
water: yaməndama
we: ne
we two (incl.): wuni
we two: nëve
wing: pa
wing: pʰa
woman: beng
woman: bɛŋ
woman: naing
woman: naiŋ
yes: na
yes: na
yesterday: naiëndën
yesterday: naiəndən
you: nun
you: wun
