ashes: bítí
belly: keme
big: ˗kúru
bird: sili
black: tällä
breast: mváː
burn: nána
come: ˗íi
cut: kägä
dog: bisi
drink: áya
ear: nvi
eat: ˗äsä
egg: kábi
eye: kám
fire: haɗa
fish: kánza
foot: kànzà
give: idi
hair: vɛlɛ
head: djú
he/she: (w)ú
he/she: (w)ú
I: ma
kill: tɛle
meat: handa
moon: lihi
mouth: tá
one: kál
red: ˗kac
sand: háya
see: ˗aka
sit: nɟì
small: ngɛte
stand: ˗iɲi
sun: káɟa
that: nädä
they: tiː
they: yɛ
this: ni
thou: si
thou: yi
three: mokpá
tongue: hɟeː
tooth: ngángá
tree: kága
two: ɟuː
walk: ˗aɓa
warm: käma
water: mana
we: zi ~ ze
white: kími
who: dɛwa
