arm: holip
ashes: kau
bark: hala
bone: hiwit
breast: namu
brother: tatan
dog: wa
ear: kedzap
eat: ne
eye: dzilan
fire: konop
foot: kei
full: pike
hair: dzup
head: mam
he/she: yogo
hole: rom
I: no
knee: hat
leaf: heo
left: kana
leg: kei
lip: bun
long: korep
louse: yomɛn
moon: kombom
mother: naŋ
mouth: aŋo
name: kpot
neck: eme
new: poyo
rain: oŋgat
road: halap
sand: nupi
say: dzo
sister: nawen
skin: hala
sleep: eko
smoke: ŋauŋ
spit: nepa
star: isa
straight: tororogo
sun: paŋgat
thou: e
thou: goŋo
tie: dzoko
tongue: nembalam
tooth: dzɛt
warm: konopkonop
water: naŋge
we: ne
wind: pateŋ
wing: kpiŋgalap
