all: ɓáʔyá
arm: išínɛ
arm: niːsʊ́
ashes: fuɗo gumbaːbasá
bark: tufu
bark: ɒ́˗tufu
belly: aːd̪í
belly: níŋíd̪i̪
big: aːɓukkɛ́
big: gʊ́ːgʊ́ʔŋe
bird: nd̪˗ɔːi
bite: afákká
black: gaː˗ɗúɗɗú
black: gun˗ɗúɗɗú
blood: r̀ɗʊ
bone: kuɓa
bone: kuɓɔːni
breast: nd̪ʊ˗nʊgʊ
burn: yi˗fánɛ
cloud: t̪iːfúɗɔ́
cold: leʔmɛ́
come: áyú
come: yiɗɛ
day: ?albʊ́ːrni
die: yaːi
dog: ɪːra
dog: t̪iːni
drink: owɛ
dry: romɛ
ear: íšinɛ
ear: nɛːsɔ́
earth: ɓɔːɲɔ́
earth: fuɗɔ
eat: ʊːri
egg: t̪in˗sulɛ
eye: ɛː
eye: iyyɛ
fat (n.): ɔːɓa
feather: m̀d̪ala
feather: t̪i˗md̪ala
fingernail: ku˗šɔŋgɔ́rɔ́
fingernail: mu˗šɔŋgɔ́rɔ́
fire: išší
fish: kilɛ́ːgɔ́
fish: md̪i˗gilɛ́ːgɔ́
fly (v.): yi˗fíːrí
full: ziliŋɛ
give: náː
good: (gu˗m˗)állú
green: rikkírí
hair: nd̪ul˗uː
head: ŋud̪u
head: nu˗ŋud̪u
hear: fuɲɔ́
heart: t̪o˗nugu
he/she: aːgu
he/she: aːgu
he/she: iʔi
he/she: iʔi
horn: nd̪il˗iːɗʊ́
I: aʔa
knee: m̀mi
knee: nʊ́ŋgi
know: yʊssu
leaf: ndáːrú
leaf: t̪igi˗táːrú
leg: ŋʊnɛ
leg: owwa
lie: íyyú
lie: ufúŋŋɔ́l
liver: náːɲɛ́ɲi
liver: t̪iɲɛɲi
long: g˗íšíkka
long: išígaʔla
louse: kid̪ígíd̪i
louse: t̪igid̪ígíd̪i
man: mid̪ɛ
man: nigíd̪ɛ
many: g˗at̪t̪u
meat: uːɗá
moon: t̪arɛ́
mountain: ɲa
mountain: ɲa
mountain: náːɲá
mountain: náːɲá
mouth: niːnɔ
mouth: nitti
name: ɛːrɛ
name: nigirɛːnɛ
neck: iː
neck: níŋgíː
night: albɔ́ːsíni
one: ŋɔ́ttɔ́
person: kud̪u
person: m̀d̪i
play: yi˗ɓala
rain: t̪iːfúðɔ́
red: oɓɓɛ́
root: árrɛ́
root: ɓarrɛ́
round: ɗuguːlu
sand: nd̪omogú
say: gi˗d̪ímáːga
say: ki
seed: t̪i˗mɔːla
see: u
sit: mmí
sit: yimmí
skin: m̀tʊŋa
sky: ɗɔːmɛ
sleep: yaːrd̪ɛ
small: gíːɗáɗɗa
small: (ši)šíʔɲá
smoke: tiːgɔ
stand: yiɗigiɗɔ
star: t̪i˗mid̪iŋɛ
stone: miši
stone: nɪ́ːgíši
sun: nd̪alaːya
tail: nɒ́ːtú
tail: tú
they: iːgi
thou: aːga
thou: ɔʔɔ
tongue: ŋɔɗɔ
tongue: ní˗ŋɔɗɔ
tooth: nd̪iŋiní
tooth: ŋiːni
tree: fáːd̪ánɛ́
tree: ffa
two: (nd̪)ɛ́ːrá
walk: yú˗wáːnɛ
water: ɓeːši
we (excl.): ɔŋŋɔ
we (excl.): ɔŋŋɔ
we (incl.): aŋna
we (incl.): aŋna
what: m̀na
white: aːɓassá
who: m̀d̪á
wind: t̪iɲa
woman: iyya
woman: liɲá
