arrow: ndzikar
back: kupik
back: kupik
bad: ŋgorɛaʔ
bad: ngorea\
bark: -nanziŋ
bark: -nanzing/-naziu
belly: mimong
belly: mimoŋ
belly: ni:k
belly: niːk
big: anea\
big: anɛaʔ
bird: nggora\
bird: ŋgoraʔ
bone: gaɣar
bone: gaghar
breast: mur
breast: mur
brother: yakai
brother: yakai
brother: yakay
brother: yap
brother: yap
cassowary: mbunong
child: ŋandamuŋ
child: ngandamung/ngadabur
chin: kamuning
chin: kamuniŋ
dance: ueta
dog: pirang
dog: piraŋ
ear: koar
ear: koar
earth: waɣapaʔ
earth: waghapa\
egg: yor
egg: yor
elbow: -digin
elbow: -digin
emu: mbunoŋ
eye: rameak
eye: ramɛak
father: ais
father: ʌis
fat (n.): waipak
fat (n.): waipak
feather: rarau
feather: rarau
fingernail: -amboum
fingernail: -amboum
fire: sa:k
fire: saːk
fish: sing
fish: siŋ
five: rapaung
five: rapauŋ
fly (n.): numket
fly (n.): numkɛ-t
fog: wau
fog: wau
foot: tagir
foot: tagir
forehead: rambanggut
forehead: rambaŋgut
forest: rang
forest: raŋ
four: paureik
four: paureik
good: yaung
good: yauŋ
grass: ndain
hair: dibrat
hair: dibra-t
hair: -tsaprit
hair: -tsapri-t
hand: par
hand: par
hand: -ukut
hand: -ukut
head: pangan
head: paŋan
heart: rukut
heart: rukut
heavy: makuk
heavy: makuk
he/she: ma
he/she: ma
he/she: ma-na
house: endau
house: ɛndau
husband: kanggait
husband: kaŋgait
I: a\-na
knee: -tutup
knee: -tutup
leaf: -rapar
leaf: -rapar
leg: or
leg: or/op-air
liver: bebek
liver: bɛbɛk
man: namot
man: namot
moon: ka:re
moon: kaːre
mosquito: nanggit
mosquito: naŋgi-t
mother: aim
mother: aim
mother: avo
mother: ʌßo
mountain: sakur
mountain: sakur
mouth: up
mouth: up
name: wi
name: wi
navel: rɛn
navel: ten
new: ngam/ngaip
new: ŋgam
nose: i:ndup
old: bagar
old: bagar
one: kaku
one: kaku
red: yaup
red: yaup
river: ok
river: ok
road: raup
road: raup
rope: mɛndzai
rope: naŋtik
rope: nang-tik/nang-air
salt: serem
salt: sɛrɛm
sharp: wiwir
sharp: wiwir
short: ait
short: ait
shoulder: nakep
shoulder: nakep
sister: mbi
sister: mbi
skin: si:k
skin: siːk
small: ino\
small: inoʔ
smoke: sakor
smoke: sak-or
snake: mindop
snake: mindop
star: goai
star: goai
stone: ŋaut
stone: ngaut/wat-ur
sun: ra
sun: ra
tail: -bugon
tail: -bugon
they: mi
they: mi
they: mi-na/maning-na/minpa\-na
they two: maning
they two: minpa\
thigh: bis
thigh: -bis
thou: go-na
thou: ne
three: geramaut
three: gɛramaut
throat: yokot
throat: yopkot
tongue: memrang
tongue: mɛmraŋ
tooth: nadaghai
tooth: nandaɣai
tree: -arik
tree: -muniŋ
two: mbuning
two: mbuniŋ
water: ngarum
water: ŋarum
we: ai
we: ai
we: e-na/ang-na/apea\-na
we two: a-ng
we two: apea\
white: gogouk
white: gogouk
wing: auk
wing: auk
woman: mɛaz
woman: meaz/mik
wood: ait
wood: -ait
yellow: ngor-ngor
yellow: ŋorŋor
you: ne
you: ne-na/ong-na/nepa\-na
you two: apea\
you two: ong
