all: ellā
big: perɨ-
black: kari
blood: netta
breast: mārɨ
burn: eri-
claw: oy
cold: ār-
come: bar-
die: cāḷ-
dog: nāy
drink: uṇṇ-
dry: oṇ-
ear: kevi
eat: tinn-
egg: muṭṭe
eye: kaṇṇɨ
feather: toppɨṭa
fire: tittɨ
fish: mīnɨ
fly (v.): pār-
foot: kālɨ
full(ness): nere-
green: pacce
hand: kay
head: tale
hear: kɛḷ
horn: kombɨ
I: nānɨ
kill: koll-
know: ari-
leaf: ela-kaṇḍa
lie: kaḍake
long: nӯḷa
louse: pēnɨ
man: āḷɨ
man: kaṇḍɛ
moon: nelaci
mountain: male
mouth: bāy
name: peda
near: aḍɨ-
new: pudume
nose: mūkɨ
not: al-
one: ondɨ
one: orɨ
red: kem-
root: bērɨ
salt: uppɨ
say: enn-
seed: bittɨ
seed: koraṇḍi
see: kāṇ-
short: koru
short: kuṭṭi
skin: tōlɨ
sleep: kenaci
small: kɨrkɛ
smoke: poge
snake: pāmbɨ
stand: nill-
stone: kallɨ
sun: poḷɨdɨ
swim: mīnd
that: a-
this: i-
thou: nīnɨ
tongue: nāvu
tooth: pallɨ
tree: mara
two: iru-
walk: naḍa-
water: nīrɨ
we (excl.): eŋga
what: ennɨ
white: boḷ-
who: ārɨ
who: ēva
wind: baḷi
wind: gāḷi
worm: puḷu
year: āṇḍɨ
