ashes: nīr̲u
belly: poṭa
big: ḍaṭ-
big: per
bird: poṭi
blood: neter
burn: er-
claw: gōru
cold: ār̲-
come: vā-
die: sā-
dog: nukuṛi
drink: uṇ-
dry: ōṛ-
ear: gibi
earth: nēle
eat: tin-
egg: guḍu
egg: gurḍu
eye: kaṇ
fat: koṛvu
fire: sisu
fish: mīn
foot: kāl
full(ness): ninr̲i-
give: sī-
good: negi
green: pasi
hand: kiyu
head: tala
horn: koma
I: nān
knee: meṇḍa
leaf: āku
liver: taṛki
long: nil-
louse: pēni
moon: nela
mouth: veyu
name: pēr
new: pūṇi
night: nāṛa
one: oren
one: unr̲i
root: vela
say: in-
seed: vitu
short: kur̲i
skin: tōl
sleep: kala
sleep: sus-
smoke: pogo
snake: saras(u)
stand: nil-
star: suka
stone: kalu
sun: podu
swim: iyba-
tail: tōka
that: avi
this: ivi
thou: nīn
tongue: nālika
tooth: pal
tree: maran
two: riʔ-
two: runḍi
walk: naṛi-
water: nīr
we (excl.): māṭ
what: aye
who: ayen
wind: gāli
woman: āṇḍu
worm: piṛvu
year: iyoṇḍ
