all: par
ashes: hob
bark: isli ??
belly: laӡ
big: khad
bite: kab
black: hende
blood: majam
bone: haRge
breast: buci
burn: ӡuluʔ
cold: raban
come: hiӡ
die: gojoʔ
dog: sita
drink: nu
dry: lok(h)or
ear: lutur
earth: kasa
eat: ӡom
egg: atkom
eye: med
fat (n.): carbi
feather: katha
fire: siŋgel
fish: ka=ku
fly (v.): aphir
foot: naŋga
give: i
give: o
good: ajn
green: nila
hair: hub
hand: ti:
head: kapar
hear: aйӡum
horn: siŋgi
I: aй
kill: goӡ
knee: topare
know: malum
lie: luriӡ
liver: koleйӡa
long: ghiliŋ
louse: si=ku
man: koro
many: ghoneӡ
meat: ӡiluʔ
mountain: balla
mouth: cabu
name: ӡimu
night: rato
nose: mu:
one: mijaʔ
person: koro
rain: ghamaʔ
red: rata
road: kora
root: ӡaRi
sand: bitil
say: men
see: doʔ
sit: suban
sleep: kitiӡ
small: sani
smoke: dhua
stand: teŋgin(e)
stone: gota
swim: veer
tail: cud
that: dee
thou: am
tongue: lan
tongue: laŋ
tooth: tiRiŋ
tree: siŋ
two: bar
walk: sen
warm: cata
water: daʔ
we: ale
what: cuttha
white: pulum
who: ӡe:
yellow: pevari
