all: mokdzong
and: wangu
and: waŋu
animal: yaŋ
arm: mʌri
ashes: homa
ashes: homa
back: gemagi-
back: gemagl-
bark: sʌbʌl
belly: tomeng-
belly: tomeŋ-
big: kuneng
big: kuneŋ
bird: nei
bird: nei
bite: ki-
bite: ki-
black: dzapera
black: dzapera
blood: sawa
blood: sawa
blow: fi-
blow: fi-
bone: sigl-
bone: sigl-
bone: sir
breast: namu-
breast: namu-
breathe: weses-
breathe: wesese
brother: dar
brother: dar-
brother: dar-
burn: dze-
burn: dze-
claw: bongsewe-
claw: boŋsewe-
cloud: hosesu
cloud: hosesu
cold: sagenga
cold: sageŋa
come: ere-
come: ere-
count: oron-
count: oron-
cut: heri-
cut: heri-
die: humu-
die: humu-
dig: oro-
dig: oro-
dog: kadzu
dog: kadzu
dog: katsu
dry: irege-
dry: irege-
dust: iwai
dust: iwai
ear: gedza-
ear: gedza-
ear: getsaw
earth: baek
earth: baek
eat: ne-
eat: ne-
eye: kiw
eye: kiwa-
eye: kiwa-
fall: ma-
fall: ma-
father: manggi-
father: maŋgi-
fat (n.): harek
fat (n.): harek-
fingernail: bopoʔ
fire: geriʔ
flower: dzuri-
flower: dzuri-
foot: heni-
foot: heni-
foot: kifu
fruit: fer-
fruit: fer-
full: koia kpe-
full: koia kpe-
give: nen-
give: nen-
good: fia
good: gia
green: gerik meria
green: gerik meria
hair: dzu-
hair: dzu-
hand: meri-
hand: merip
head: ogu-
head: ogu-
head: oruh
heart: webogokme-
heart: webogokme-
he/she: i
he/she: i
he/she: i
hit: kpe-
hit: kpe-
hold: me-
hold: me-
how: deik
how: deik
I: ni
I: ni
knee: siming-
knee: simiŋ-
know: nin-
know: nin-
lake: dzekeng
lake: dzekeŋ
laugh: desi-
laugh: desi-
leaf: hareng-
leaf: hareŋ-
left: kana
left: kana
leg: kifu
long: horua
long: horua
louse: imin
louse: imin
man: ik
man: ik
many: sasara
many: sasara
meat: busi-
meat: busi-
moon: komong
moon: komoŋ
mother: nengge-
mother: neŋge-
mother: neŋgia
mountain: bonga
mountain: boŋa
mouth: koa
name: kiwa
name: kiwa
name: kpar
neck: ebasigla
neck: ebasigla-
neck: ebi
new: gbeli
new: gberia
new: gberia
night: singi
night: siŋi
nose: sere-
not: munda
not: munda
old: wahara
old: wahara
one: momakgu
one: momakgu
play: agliak
play: agliak-
pull: fegle-
pull: fegle-
push: igokge-
push: igokpe-
rain: kia
rain: kia
red: pesia
red: pesia
right: foi
right: foi
road: hena
road: hena
road: hɨna
root: gete-
root: gete-
rope: hisa
rope: hisa
round: rerek rerek
round: rerek rerek
sand: sakesa
sand: sakesa
sand: sakesaʔ
say: dze-
say: dze-
say: dzɛ
seed: gokme-
seed: gokme-
see: ni-
see: ni-
sew: kpewi-
short: hotong
short: hotoŋ
sister: naong-
sister: naoŋ-
sister: naɔŋ
sit: tak-
sit: tak-
skin: sʌbʌl
skin: sewira-
skin: sewira-
sky: kuglumeng
sky: kuglumeŋ
sleep: fe-
sleep: fe-
small: komoga
small: komoga
smoke: hofaʔ
smoke: hofak
smoke: hofak
snake: mokoreng
snake: mokoreŋ
some: tose-
spit: sɨfɛʔ
spit: sofok-
stand: nan-
stand: nan-
star: sikilu
star: sikiru
star: sikiru
stick: gbaru
stone: gokmea
stone: gokmea
straight: dindiŋa
suck: bitsi-
suck: bitsi-
sun: kaiwe
sun: kaiwe
swell: bongge-
swell: boŋge-
tail: dzi-
tail: dzi-
that: yo
that: yo
there: eri
there: eri
they: ingang
they: iŋeŋ
this: i
this: i
thou: gi
thou: gi
thou: i
thou: ini
throw: wai-
throw: wai-
tie: dziki
tongue: edzerang-
tongue: edzeraŋ-
tongue: etselaŋ
tooth: dzegl-
tooth: dzegl-
tooth: dzɪr
tree: ik
tree: ik
turn: meren-
turn: meren-
two: rehek
two: rehek
vomit: ron-
warm: fokngea
warm: fokŋea
warm: foʔnia
warm: gerik
warm: gerik
wash: dzuak-
wash: dzuak-
water: doku
water: doku
weep: siak-
weep: siak-
we: ni
we: nini
we: nini
what: nemak
what: nemak
where: dimia
where: dimia
white: rarak
white: rarak
who: mong
who: moŋ
wind: lufuʔ
wind: rufuk
wind: rufuk
wing: kpegan-
wing: kpegan-
wing: kpeŋgaŋ
woman: embak
woman: embak
wood: gbaru
worm: gbosu
yellow: gbaok gbaok
yellow: gbaok gbaok
you: ini
