all: guru
animal: yuṛi
arm: duru
ashes: budaṛa
back: buṛgu
bad: gaɟa
bark: bidal
belly: banɟur
belly: banɟur
belly: binɟi
big: baɲari
bird: dibiɲ
bird: winɟaṛu
bite: bada-
black: gubuṛ gubuṛ
black: mida mida
blood: guma
blow: buya-
bone: ŋagu
boy: gandu
breast: ŋamun
breathe: wuyu
brother: dabunila
burn: gubama-
burn: gubanda-
chest: mindi
chest: wanga
child: gandu
child: wamban
child: wuṛa
cloud: dariŋara
come: manda-
come: waɟa-
day: duṛu
die: wula-
dig: baga-
dog: mura
dog: ŋura
drink: yuga-
dust: biṛin
dust: durga
ear: maŋa
earth: dandi
earth: dandi
earth: nanti
earth: nanti
ear: walu
eat: yuga-
egg: gabuɲ
emu: gulbari
emu: ŋuṛuɲ
eye: dili
face: guː
fall: banbu-
fall: waṛa-
far: gundu
father: yabu
fear: yidi-
fight: biɟumia-
finger: maṛa
fire: buṛi
fish: guyu
fish: waguɲ
fish: wina
flow: wagali-
fly (n.): mimuru
fly (n.): nimun
fly (v.): buṛa-
fly (v.): buṛali-
fly (v.): dila-
foot: dina(ŋ)
forehead: balga
girl: gandu
girl: mara baɟa baɟa
give: gumba-
good: duri
grass: bugan
hair: dungu
hair: gada
hand: maṛa
head: bangun
head: dungu
hear: maŋadana-
heart: mindi
heart: yulgu
hear: yimba-
hear: yimba-
heavy: wuɟabari
he/she: nula
he/she: nuŋu
he/she: nuŋuna
hit: diŋga-
hit: guni-
hole: yuna
house: gundi
hunt: waba-
I: ŋaɟu
I: ŋaɟuna
I: ŋaya
kangaroo: baura
kangaroo: gugura
kangaroo: naṛgu
kangaroo: wuṛu
kill: guni-
knee: mugu
laugh: yadi-
leaf: dala
left: ŋamara
leg: bala
lie: wugali-
lightning: madanara
long: gurgan
man: maṛi
many: baɲa baɲa
many: yaŋgaṛa yaŋgaṛa
meat: yuṛi
moon: gagaṛa
morning: duṛu wagaɲ
mosquito: buduɲ
mother: yaŋa
mountain: bangugu
mountain: muŋgu
mountain: muŋgu
mouth: daː
mouth: dagal
name: ŋaṛi
name: ŋaṛima-
night: gundaŋ
not: gaṛa
old: manigan
one: waŋgar4a
other: baɟa
play: wara-
pull: daŋgu
push: daba-
rain: gamu
red: gudi gudi
right: wŋguɲ
river: balbaṛa
river: balbaṛa
river: baru
river: baru
road: yurun
root: daran
rope: gulgun
round: bidurun
salt: ɟaral
sand: dandi
say: gulba-
say: ŋalga-
scratch: baṛa-
see: naga-
see: naga-
sew: dara-
sharp: damba
short: dungabaṛaɲ
sing: banɟa-
sit: binda-
sit: yina-
skin: ŋuman
sky: banda
sky: bandaṛu
sleep: wuga-
small: gaimbara
small: guila
smell: baɟuri-
smoke: duga
snake: dambal
snake: gabul
snake: munda
spit: ganda
star: danduṛ
stone: bangugu
sun: duṛu
sweet: gaba
sweet: guɟa
tail: bingi
take: baŋgi-
take: gunta-
take: mana-
take: maṛa
that: aba
that: abuda
that: abuda
there: aba
they: dana
they: danana
they: danaŋu
they two: bula
they two: bulaŋu
they two: bulaŋuna
thick: malgaɟa
thick: wuɟabari
think: waṛi-
this: yina
this: yina
thou: jinuna
thou: yinda
thou: yinu
thou: yinuŋa
thou: yunu
thou: yura
thou: yuraŋu
thou: yuraŋuna
throw: baba-
throw: banba-
throw: biɟu-
tie: maga-
tomorrow: mugaṛa
tongue: dalaɲ
tooth: yiṛa
tree: baga
tree: baŋga
tree: dula
tree: gubaṛu
tree: wubuṛu
tree: wuṛgi
turn: gambi
turn: gambiṛi-
two: bulari
vagina: dimban ~ dimbaɲ
walk: badi-
walk: duŋgali-
walk: manda-
walk: waɟa-
walk: waɟa-
wallaby: waya
warm: buŋgayi-
water: gamu
weep: bari-
we: ŋana
we: ŋanana
we: ŋanaŋu
we two (incl.): ŋali
we two (incl.): ŋaliŋu
we two (incl.): ŋaliŋuna
what: ŋani
where: yinɟaɲa
where: yindia
white: guda
who: ŋunduru
wind: yarga
wing: duru
woman: gambi
woman: gayu
wood: baga
wood: bambaḍu
wood: buṛi
wood: dangar
wood: dulgaṛa
wood: wiː
wood: wiṛgi
yellow: yala
yesterday: balgaṛu
you two: yubalu
you two: yubaluna
you two: yubaluŋu
