all: rauri
arm: mana
arm: mapare
arm: maːre
arm: maːre
arrow: apoko
arrow: apoko
ashes: yaw
ashes: yaw
ashes: yaw
at: tone
back: atae
bark: pikiri
bark: pikiri
big: atoa
big: atoa
big: atoa
bird: paturu
bird: paturu
black: tat
black: tate
black: tate
blood: ere
blood: ere
bone: emae
bone: emae
boy: airu
breast: ao mare
breast: ao mare
breast: so
breast: so
brother: -poka
brother: -poka ; -waoka
brother: -waoka
burn: pu-
burn: puma otomo
butterfly: uri
butterfly: uri
butterfly: uri
butterfly: wiri
butterfly: wiri
butterfly: wiri
calf: kimi
calf: kimi
child: airu-a
chin: kepare
chin: kepare
chin: kepare
come: (i)nao-
come: nao-
come: nao-
cut: ki-
cut: ki-
dance: ni-
dark: iiki
dark: iwiti
dark: liki
dark: liki
day: maake
day: máoro
day: mara-tya
day: mara-tya
die: ko ai-r
dig: hi-
dig: ti-
dig: ti-
dig: ti-
dirty: panawa
dirty: panawa
dirty: panawa
dog: uːri
dog: uːri
dry: toto-ko
dry: toto-ko
ear: ifini
ear: ifini
ear: ifini
ear: ihani
ear: ihani
ear: ihani
ear: ihini
ear: i\ini
ear: i\ini
earth: tapare
ear: yawana
ear: yawana
ear: yawana
eat: ne-
eat: ne-
egg: ta
egg: ta
egg: ta
egg: tama
egg: tama
egg: tir-apu
elbow: tora-po
elbow: tora-po
eye: mame
fall: nao-
fall: nao-
fall: utu-
father: -iku
father: -iku
father: -wiko
father: -wito
fear: honae
fear: tono
fear: tono
fire: uta
fire: uta
fish: ereka
foot: imiri
foot: maw
foot: maw
forest: wao
forest: wao
fruit: eke
full: enakopea
give: kema-
give: keme-
give: keme-
good: yoko
guts: atoare
guts: atoare
hair: wiri
hand: mana
hand: mapare
head: iti
head: ufu
head: ufu
head: uhu
head: uhu
head: upao
head: uwu
head: uwu
heart: toke
he/she: a-
he/she: ara-tia
he/she: are
he/she: a-re/a/a-ma
hit: ka(f)o-
hit: ka(f)o-
hit: kao-
hit: kao-
hit: muku-
hit: tafo-
hold: ke-
hole: ipa
hole: ipa
house: kamé
husband: miwihi
I: n-
I: noa-tia
I: noro
I: noro/noa/noma
jaw: kepare
jaw: kepare
kill: tanao
kill: tanao imi-
knee: iripo
knee: iripo
know: mahamo
know: matamo
laugh: oko ko-
laugh: oko ko-
leaf: e\e
leg: imiri
leg: imiri
leg: maw
leg: maw
lightning: maaro
lip: i\iri
lip: ii-ri
liver: wao
liver: wao
long: maiku
louse: mamo
louse: namo
man: upuka
meat: naha
meat: nata
meat: nata
moon: pura
morning: tameha
mother: enea
mother: enea
mother: ote
mother: ote
mouth: me
mouth: me
mouth: mwe
name: u-nata
name: u-nata
narrow: kekere
narrow: kekere
navel: mopere
navel: mopere
neck: ema
neck: ema
neck: ikiki
neck: imak
neck: imak
neck: umeke
neck: umi
neck: umi
new: ayku
night: iri
night: iri-
not: mina
not: mina
not: -mina
not: muna
not: -tiane
old: akarawte
old: akarawte
one: enakoa
one: enakoa
other: weni
person: we
person: we
pull: i\imi-
pull: iimi-
pull: imi-
push: komo-
rain: ke\e
river: yo
river: yo
road: mako
road: mako
road: mawtawe
root: mumu
root: mumu
salt: yame
salt: yame
sand: tiri
sand: tiri
say: i-
sea: puru
sea: wao
seed: apeke
seed: apoko
see: mam i-
see: pora-
see: poro
sharp: feroko
shoulder: tairi
shoulder: tairi
sister: upuha
sit: ep-
sit: epe-
skin: pikiri
sleep: ete kai
smoke: utimini
spit: maha-pi
spit: matao
spit: matao
spit: otay
split: ipi-
split: tau
stand: ame-
stand: ko-
star: ma\ako
stone: omani
straight: iare
straight: oro oromo-
sun: yaw
sun: yaw
tail: mipi
tail: mipi
take: kewa
take: kewa-
take: ohomo-
take: otomo-
take: otomo-
they: a-
they: ara-tia
they: are/a/ama
they two: kimane/kaukamane
thigh: ae
thigh: ae
thigh: ahini
thigh: atiri
thigh: atiri
think: mipi
think: mipi popo-
think: mipi popo-
think: mipo
think: mipo popom-
this: aro
this: aro
thorn: iki
thorn: iki
thou: e-
thou: kare
thou: o-
thou: ora-tia
thou: oro
thou: oro/oa/oma
thou: u-
throat: ema
throat: ema
throat: imak
throat: imak
throat: umeke
throat: umi
throat: umi
thunder: uraki
thunder: uraki
tie: eka-
tie: moke-
tie: moker
today: wawa
today: wawa
tongue: mare
tongue: mare
tooth: titi
tree: mapare
tree: ote
tree: ote
turn: pay-
turn: pay-
two: mane
two: yamane
two: ya-mane
vagina: pere
vagina: pere
vomit: mao-
walk: ere-
warm: amamuru
warm: amamuru
warm: amamuru
wash: koraimi-
water: mi
we: nare
we: nare/naa/nama
wet: moko
wet: moko
where: okare
where: oka(re)
white: puu
white: tako
white: tako
wife: -eamo
wife: -eámo
wind: kimiri
wing: yaru
with: kiri
woman: kauka
yesterday: koa
yesterday: koá
you: k-
you: kaa-tia
you: kare/kaa/kama
you two: kimane/kaukamane
