and: waw
ankle: duluː
arm: ɟaːlbar
arm: yalbarn
ashes: nigi
ashes: ɟulaːr
back: iba
back: ɟiːba
bad: yaːwir
bad: yuːŋgu
bark: baːgu
belly: ɟalaːgir
belly: buluːɲ
belly: yaraːgir
belly: yuːluɲ
big: barway
big: wilaːra
bird: ɟiːbiɲ
bird: ɟiːbin
bite: iɲɟa
bite: yiːɲɟa
black: guːṛu
black: ŋagu
blood: mulur
blood: ŋamuːlur
bone: guluːra
bone: warɟuːri
boy: buɟuːr
boy: giːbar
branch: ɟalban
breast: ŋudu
breast: ŋuduːm
breathe: muya
breathe: muyagirwa
brother: ɲaba
brother: gagu
brother: guyu
burn: bagiː
calf: ɟaŋgaːr
cheek: ŋaraːr
chest: nagar
chest: nagaːr
child: buwaːr
child: ɟunuy
child: warngar
cloud: gaːṛa
cloud: ŋunar
cold: niːṛum
cold: nir̥um
come: baːna
come: yandaːra
come: yaraːna
cut: alga
cut: algi
cut: aygi
cut: gaygi
dark: ŋagu
die: waːli
dig: bira
dig: bira
dirty: bugaː
dirty: ɟulaːr
dog: daːbay
drink: ŋaːbi
drink: ŋambi
dust: ɟulaːr
ear: ŋalgan
ear: ŋaːlgan
earth: ɟulaːr
earth: waɟar
eat: ɟala
eat: biyamba
eat: yaːyi
egg: miṛubay
egg: mir̥uːbay
elbow: guriː
emu: gugaːmgan
eye: ɟirmir
eye: miːl
eye: miːl
face: waːn
face: waːn
far: muluːr
father: ɲaligan
father: awaːga
father: baːba
fear: waːmbi
fear: wayi
fight: buːlmay
fingernail: daːŋgi
fire: waːgay
fire: waːgay
fish: buluːŋgal
fly (n.): muli
fly (v.): baŋgi
fog: guːwa
foot: ina
foot: ɟiːna
forehead: waːn
forehead: waːn
full: ŋadaːl
full: ŋandal
girl: buɟurganda
give: ŋur̥a
give: ŋuraː
good: daruy
good: daːruy
grass: bugawur
grass: waɟaːr
guts: ɟalaːgir
hair: maːṛa
hair: mar̥a
hand: maːla
hand: yambaɲ
head: digi
head: gaːli
hear: ŋaraː(ŋ)
hear: ŋaraŋi
heart: miŋgi
here: (ŋ)aɟɪ
here: yaːm
here: (y)ila
he/she: gulaːna
he/she: malana
he/she: ŋangula
he/she: ŋangulaːŋu
he/she: ŋangulaːwan
he/she: ŋari
he/she: ŋilina
hit: alga
hit: algi
hit: bariŋgi
hit: bawga
hit: bindayma
hole: guygar
house: ŋuːṛa
husband: ɟaːɲbar
husband: yawar
I: ŋaɲa
I: ŋaːɲa
I: ŋaya
I: ŋaya
kangaroo: buːɟi
kangaroo: nuŋu
kill: alga
kill: algi
kill: bagulwa
knee: baga
laugh: dulunmi
leaf: ɟaŋguːr
left: warguɲ
leg: ŋaːṛi
lie: baguːli
lightning: marawgay
lightning: maṛawŋgal
lip: ɟalaːɲ barway
live: ŋayiŋgi
liver: ganaːŋgir
long: yuruːn
long: yuruːn
louse: muɲu
louse: muːɲu
man: ɟaːɲbar
man: yawar
meat: bulaŋ
meat: bulaŋ
meat: wiɟiːr
meat: wiɟiːr
moon: giːdaɲ
moon: iːdaɲ
mosquito: dimilawan
mosquito: guṛa
mother: miːmi
mother: ɲuːgaː
mother: ɲuːgaŋ
mountain: ɟuluːm
mountain: ɟuluːm
mouth: ɟalaːɲ
mouth: yaːlaɲ
name: biɟaːr
nape: ŋama
nape: ŋaːma
navel: niːmbir
navel: niːmbir
near: daːli
near: dulbuy
neck: ugur
neck: ur̥u
night: ŋagwan
night: ŋuːnmar
not: biːway
not: biyagay
not: waɟi
not: wanaː
old: guluŋgiɲ
one: arugurum
one: galugun
other: galugun
play: ŋaːri
play: ŋaːri
pull: budiː
rain: guluːn
rain: (w)uːlun
rat: badaɲ
rat: badaɲ
rat: bir̥nibaŋ
rat: gayban
rat: yumu
red: magay
red: mulur
river: ŋaːlu
river: ŋaːlu
river: ŋaːlu
sand: giduːr
sand: yudur
say: aŋwiri
say: gayi
sea: aːgal
sea: gaːgal
