all: doniwaubes
arm: tan
arm: tan
arm: tan
ashes: koweb
ashes: koweb
ashes: koweb
ashes: kwep
back: shol
bad: ten
bark: kodun
belly: kabor
big: temun
bird: kasamin
bird: kesamin
bird: kesamin
bird: kesamin
bitter: man
black: koskap
black: koskap
black: koskap
black: kusxap
blood: karya
blood: karya
blood: karya
bone: kangbe
bone: kaŋbe
bone: kaŋbe
branch: karok
breast: aam
butterfly: pulpul
cheek: kolyep
chest: aknar
child: tumtumtiakinkin
chin: kanggus
cold: nggolu
come: mei
come: mei
come: mei
crocodile: pramua
day: nggojore
dog: bal
dog: bal
dog: bal
drink: nanet
dry: kararet
ear: kolkam
earth: naun
earth: naun
eat: nan-
eat: nan-
eat: nan-
egg: marun
egg: marun
egg: narun
elbow: tanggu
eye: kanggir
eye: kaŋgir
far: kasen
fat (n.): muluntemun
feather: nenenun
finger: korparois parok
fingernail: tanggalib
fingernail: taŋgalib
finger: tan-parpar
fire: din
fire: din
fish: sor
five: ap
fly (n.): bubualit
foot: koor
forehead: kimbang
forest: kuak
four: kansyor
fruit: te-wun
give: mare
give: mare
good: bes
good: bes
hair: kadenenen
hair: westen
hair: wes-ten
hand: tan
hand: tan
head: makal
head: nakal
head: ?nakal
hear: angrani
heavy: tanggir
here: mandapjuwa
he/she: ma-me
he/she: ma-me
house: kewe
house: kowe
I: an
I: an
knee: korpa
leaf: olun
leg: kor
leg: kor
lightning: badelet
live: -besten
louse: mun
louse: mun
man: teija
man: tia(nam)
man: tia(nam)
many: reidak
meat: dagim
meat: kunoi
moon: pop
morning: naulpaar
mosquito: kolkolep
mountain: nggowin
mouth: boon
name: in
name: in
near: paransip
neck: komang
new: ndjar
new: tawara
night: nggosawo
night: ŋgosawo
nose: busten
old: senen
old: tik
one: ko
one: kon
one: kon
person: somtum
rain: kalas
rat: sou
red: kerkap
ripe: irienden
river: arepner
root: kjebe
sand: oos
say: eware!
say: taruk!
see: amkometme
see: amkometme
seed: te-wun
short: tabuksep
sing: mirokse!
sit: melilun
sit: melinun
skin: kulpen
skin: kulpen
sky: langit
sleep: anminit
sleep: anminit
small: titiaun
smoke: digwa
snake: kip
sour: mor
spit: palon
star: maser
stone: yar
stone: yar
sun: youn
sun: youn
sweet: pen
swim: järe
tail: orum
tail: orum
tail: orun
they two: mjair
thigh: kolkiem
thou: kame
thou: kame
thou: kiumene
three: karoewok
three: karuwok
thunder: budarun
today: juljuwane
tomorrow: kasur
tongue: belen
tooth: ngier
tooth: ŋier
tree: ror
tree: ror
two: ir
two: ir
walk: bore!
warm: lalng
water: per
water: per
we: antemu
we: antemu
weep: pertan
we (incl.): piridok
wet: kamen
we two: inier
white: iriskup
wind: wur
wing: parun
woman: poblis
you: kiyumene
you two: ke-ir
