all: xolfunè
ashes: anom
back: banun
bad: letél
bad: xén
belly: xondul
big: xonggél
bird: dél
bite: ü-
black: xofi-lun
blood: büngga
blow: fu-mo
bone: xolol
boy: xofé
branch: letép
breast: am
breathe: fené-mo
cassowary: küal
cassowary: sandum
cassowary: sanip
child: mbam
cloud: dép
cold: xagil
come: lai
count: lamo
cut: dil-mo
day: lefül
die: xomilo
dig: mélai-mexo
dig: yaxü
dirty: banggelèkh
dog: méan
dog: muman
drink: mi
dry: gololfobo
dust: bulanom
earth: mé
ear: xoto-xal
eat: lé
egg: loxesux
elbow: bonggup
eye: lul
fall: feli
far: lexingga
father: até
fat (n.): yabén
fear: golo
few: mamap
finger: mé-lol
fingernail: me-singga
fire: alun
fire: mèlil
fish: xelé
five: wayo
flow: xaimbo
fly (n.): lotup
fly (v.): bedifo
fog: dép-temül
foot: bél
forest: lop
four: wayo-fül
fruit: du-op
full: botèlfo
give: fédo
good: manop
grass: goglén-talé
hair: xabéan-mux
hair: xal-mux
hand: mél
head: xabéan
hear: daé
heart: debop
heavy: lüp-telo
he/she: yu-p
he/she: yV-
hold: ati
house: op
house: xaim
husband: um
I: nu-p
I: nV-
in: xaup
kill: ü-
knee: gabüm
know: xelép
lake: difon
leaf: mux
lie: é-bo
lightning: faxbéax
liver: üm
live: xafén-telo
long: nggolo-lalé
louse: meli
man: wafil
many: dèmal
meat: nop
meat: nop
moon: waxol
mosquito: letün
mother: (ne)ni
mountain: fanip
mouth: bonggol
mouth: bontebil
name: fi
narrow: déx-telo
near: xalu
neck: xomo (fexolol)
new: sol
night: gülnanggaup
nose: gelip
not: be...da
old: mülexa
one: lidop
one: sènan
other: yani
person: yanop
play: kelèx-mo
push: gali-mexo
rain: maun-beol
rat: duo
red: xafümengga
river: akh
river: maél
river: maun
road: dobülop
rope: nan
rope: yebun
rotten: nén-telo
rub: béal-mo
sand: dofu
sand: nenim
say: u-ma
scratch: gelil-mo
sea: méan-maél
see: i-mo
sharp: fül
short: gembenul
sing: èpo
sit: ba
skin: xal
sky: dalibün
sleep: é-lo
small: yèn-tena
smoke: lemül
spit: mexesimpüx-mo
split: bamol-mo
stand: alo
stick: donggop
stone: ilol
stone: xandun
straight: godax
sun: lup
sun: mamün
swell: xaxé-bo
tail: xendép
that: wap
they: yexené-
they: yèxené-p
thick: fanip-telo
thin: dalap-telo
this: ip
thorn: aün
thou: gu-p
thou: gV-
three: pinggèlup
throw: püx-mo
thunder: xul
tie: lamé
tongue: lép
tooth: lebil
tree: du
two: pol
two: sènan-afül
walk: xai
warm: alü
warm: mamün
wash: dadü
wash: sux-mo
water: ax
water: maun
weep: ya-mo
we: noxu-
we: noxu-p
wet: féx-telo
what: mbaxa
white: xoxo-lun
who: yaxo
wife: defol
wife: lebaxop
wind: fup
wing: baul
woman: lal
wood: du
you: gexené-
you: gexené-p
