all: komʷaidona
and: deli
animal: mauna
ashes: íubʷaga
back: tapʷa-
bad: gaga
bark: kanaβina
because: paila
belly: lula
bird: maunana-youyowa
bite:  -gadi
black: bʷabʷau
blood: buyaβi
blow:  -yuβi
bone: tutune-
breast: nunu-
breathe: numla
burn: -gabu
child: gʷadi
cloud: lowalowa
cold: tula
come:  -ma
correct: duwosisia
count: -kalau
cut:   -bobu
die:  -mata
dig:  -keli
dirty: pupagatu
dog: kaukwa
drink:  -mom
dry: lubulabu
dull: bebutu
dust: tubumyou
ear: taigila
earth: βalu
empty:  -wokuβa
eye: matila
fall: paʔu
far: kaduwonaku
father: tama-
fat (n.): posa
fear: koukola
few: sitana
fingernail: sikʷeidunela yamila
fire: koβa
fish: yena
five:  -lima
float:  -beu
flower: lala
flow: -tayelu
fly (v.):  -yowa
fog: guugʷau
foot: kʷai
forest: lawodila
four:  -βasi
frog: kumeu
fruit: kawailuwa
full:  -kasewa
give:  -saiki
good: bʷaina
grass: mnumonu
green: semitamata
guts: sileu-
guts: sileu-
hair: kulukulu
hand: yamila
head: daba-
hear:  -lagi
heart: kapuwe
heavy: mʷau
he: ma- -na
hit:   -waia
horn: doga
how: am-makawala
hunt:  -waiga
husband: mʷala
if: kidamʷa
in: olumoule-la
I: yeigu
kill:  -mati
knee: kʷaitutu-
know:  -nikoli
lake: milaβeta
large:  -βeka
laugh:  -gigila
leaf: yekʷesi
left: o-lakikiwama
leg: kʷai
lie:  -kenu
live:  -moβa
liver: kate-
long:  -wonaku
louse: kutu
man: tau
many:  -βeka
meat: βiliona
moon: tubukona
mother: ina-
mountain: koya
mouth: wodila
name: yegila
narrow:  -patata
near: katitaikina
neck: kaiyo-
new:  -βau
night: bogi
nose: kabulu-
old:   -bogʷa
one:  -tala
person: tomota
play:  -mʷasawa
pull: -bia
push:  -tupi
rain: kuna
red: marakana
right: o-lakakata
river: waya
road: keda
root: kainawari
rope: yuwoyoula
rotten:  -pʷasa
rub:  -youli
salt: yona
sand: kanakenuβa
say: -luki
sea: bolita
sea: bolita
seed: yagogu
sew:  -basi
sharp: kakata
short:  -kekita
sing: -wosi
sit:  -sili
skin: kanuβine-
sky: labuma
sleep:  -masisi
small:  -kekita
smell: sikoni
smoke: mseu
smooth: dudubuna
snake: keiyuna
some: mimilisi
spit:  -giu
split:  -taβisi
stab:  -basi
stand:  -totu
star: utuyam
stick: kaitukʷa
straight: duwosisia
suck:  -nunu
sun: kalasia
tail: yeyuna
they: ma- -si-na
thick:  -bidubadu
thin:  -ikieki
think:  -nanamsa
thou: yokomi
thou: yoku
three:  -tolu
throw:  -laβi
tie:  -sipu
tongue: melia
tree: kai
turn: -kanu-
two:  -yu
vomit: lagoba
warm: yuβiyaβi
wet: pʷatutu
what: aβaka
when: aβai tuta
which: am-ma- (classifier)-na
white: pʷaka
who: aβaila
why: aβaka paila
wide:  -beiyaya
wife: kʷaβa
wind: yagila
wing: pinupane-
woman: βiβila
worm: moteta
wrong: sula
year: taitu
yellow: tauβau
