all: bitin
ashes: zӓḳ
bark: q:obuʁ
belly: šax
big: čχi
bird: ċimir
bite: ḳaḳakwi
black: miḉӓ
blood: p\i
bone: inḳ
breast: maχar
burn tr.: j-ek:-kwi
claw (nail: čimi
cloud: unḳ
cold: q:i
come: kaʁi
die: ḳi
dog: pχra
drink: cuvi
dry: ʠi
earth: inč:i
ear: ṭop
eat: ʠɨni
egg: ḳaz
eye: pil
far: uzaχ
fat n.: mi
feather: lӓlӓg
fire: ḉӓ
fish: balɨʁ
fly v.: učmušʠi
foot: ank:
full: ċi
give: lӓḳwi
good: ksan
green: sɨb
hair: ḉar
hand: kul
head: miḳir
hear: ki
heart: ung
heavy: gran
horn: vӓč
I: zɨ
kill: jibi
knee: nik
know: muxwi
leaf: jarpaʁ
lie: ant:ɨrʠi
liver: bijar
long: viχӓ
louse: nimċ
man: lɨgɨld
many: iχer
meat: lɨk:a
moon: vaċ
mountain: mɨda
mouth: aʁzɨ
name: ċu
near: miʠil
neck: gardan
new: taza
night: san
nose: ḳɨtɨr
not: -i-
one: sa
person: ħӓdmi
rain: ʠula
red: c:ɨma
road: ḳwar
root: kok
round: gongwazlɨ
salt: ʠӓ
sand: q:um
say: li
seed: tum
see: zaʁi
short: gižӓ
sit: č:uvi
skin: ṭӓsi
sleep: ӓč:uvi
small: misi
smoke: ximi
snake: ḳaz
stand: t:oχuni
star: pxunċ
stone: rɨċɨn
sun: ɨnʠ
swim: fczm\fcšʠi
tail: ʠaž
that: hu
thin: loḳ
this: du
thou: vɨ
tongue: miċ
tooth: culoz
tree: višӓ
two: ḳu
walk (go): kaʁi
warm: fara
water: xu
we: jir
we: kin
what: ja
white: xɨrɨċ
who: kla
wind: kulak
woman: χinimḳur
worm: mok
year: fcs
yellow: ḳušḳula
