all: roßara
arrow: naunua
ashes: kaßu(-taka)
back: otame-ano
bad: φuakxa
bark: nakariakxa
belly: komu-ano
big: bageka
bird: φutaleoka
black: φuφurua
blood: lɛßasi-ano
bone: aitu-ano
boy: kakataka
breast: nonoʔ-ano
brother: aroga
burn: bapɛabeapa
child: kakataka
chin: kɛnaota-ano
claw: kaitabɛ-ano
cloud: bukiaga
cold: musimusɪakxa
come: uniupai
day: aomupara
die: obio
dog: kɛːtuka
drink: aitɛpapai
dry: agarɛrɛki
ear: mari-ano
earth: pitoːka
eat: iragaiopa
egg: taumonakɑ
elbow: paitoputubu-ano
eye: otsiri-ano
fall: putu
father: atekaʔa
fat (n.): togataka
feather: baun-ano
finger: kaito-ano
fire: itakxa
fish: oißanukxa
five: maßai
fly (v.): putapa
foot: auiabawaua
forehead: namase-ano
forest: aba
four: monɪsiuka
full: agagasi
girl: maːsearea
give: rakitario
good: nemoa
green: kiraikoa
hair: baun-ano
hand: aße-ano
head: tanat-ano
hear: agumanane
heart: bubu-ano
heavy: kuneakxa
here: ege
he/she: iraka
he/she: iraka
he/she: nɛga
he/she: nɛga
he/she: nɛka
he/she: nɛka
hit: toinɛ
house: atoakxa
I: ndaʔa
kill: obißiobiɛne
knee: kotuφi-ano
know: nɛmanɛka
laugh: kokoßai
leaf: tuakɑ
leg: poy-ano
lie: pɛrɛki
liver: ateate-ano
long: iruekxa
louse: irua
man: irabika
many: upwesiwaka
meat: siobuiga
moon: kɛkinaka
morning: panoʔay
mother: aoanoa
mountain: bɛːsiakxa
mouth: isipalo
name: maisi-ano
neck: napi-ano
new: anumeapara
night: nupara
not: ama ama
not: osia
old: aßuka
old: aßukʰakʰa
old: aßukaːka
one: loßoßɛsi
person: iraßika
rain: kokea
rat: usikɛkxa
red: mataria
road: oßaːkxa
root: akarakɑ
round: mobukuika
sand: ararakxa
say: osipiɛnɛ
seed: ɛmomanaka
see: ratabɛ
short: tagurukxa
shoulder: tume-ano
sister: ßaßuatayanoa
sit: taluʔui
skin: banunu-ano
sleep: pɛrɛki
small: buriota
smoke: (itagi-)okʰa
snake: koßuɛya
spit: totoφai
stand: turui
star: pisiunaia
stone: aʊφoia
sun: naßɪnioka
swim: tutuφuφai
tail: kokuki-ano
that: beyo
they: nenokɔ
they two: nɛgari
they two: nɛgari
this: naka
thou: iʔa
thou: misɪa
three: bubinika
tomorrow: panoay
tongue: nobe-ano
tooth: rera-wano
tree: ɛmomakɑ
two: pɛnuma
walk: ʔauʔo
walk: posiposipa
warm: itataupa
water: aitɛka
we (excl.): biʔa
we (excl.): biʔa
wet: akaɛruki
we two (excl.): bɛʔa
we two (excl.): bɛʔa
what: iroko
when: amamapara
where: aßa
white: kakarea
who: irokea
wind: kʊisika
wing: puto-ano
woman: niakoya
wood: tokonoakxa
yellow: kokayaka
yes: ilokea
yesterday: anumɛa
you two: mɛari
you two: mɛari
