all: wulbu
and: galmba
and: gura
animal: min̪a
ankle: buyiːbuyiːɟinu
ankle: d̪uŋgan
ankle: nugal
arm: ŋaːguːl
ashes: wambu
back: mugu
bad: ɟirun
bad: wara
belly: d̪amba
belly: d̪amba
belly: gambul
belly: gambul
belly: ganbin
belly: ganbin
big: d̪alga
big: warga
bird: ɟidɟir
bite: ɟindal
black: mun̪i
black: muyŋguːl
blood: bin̪d̪aːṛ
blood: ganbi
blood: gargun
blood: garmbi
blow: wuɲɟur
bone: bad̪ibay
boy: balŋu
boy: yarga
branch: magiːl
breast: guyuː
breast: muɲiːl
breast: muna
breast: yimun
breathe: walŋga
breathe: wawu
brother: gaːrga
brother: yaba
burn: baːwal
burn: mind̪a-
burn: yaːɟil
butterfly: walbuːlbul
calf: balŋgir
calf: balŋgir
calf: d̪amal
calf: d̪uŋgan
calf: ɟinu
calf: ŋari
cheek: gaman
cheek: n̪umbul
chest: ɲanbaːr
chest: dumu
child: duːla
child: gaŋgal
child: yumur
chin: baːṛi
chin: ɟinu
claw: birin
claw: gulgi
cloud: ŋuːlbaːn
cold: mugan̪mugan̪
come: gadaː
come: madal
crocodile: d̪and̪id̪ir
crocodile: gan̪aːr
crocodile: wayin
cut: bandil
cut: n̪inil
cut: wagil
cut: wumar
cut: yaɲil
daughter: ŋud̪ur
day: gandaganda
day: ŋalan
die: biːniː
die: d̪uyu
die: n̪ar-bad̪i
die: n̪ar-bal
dig: bagal
dig: bun̪d̪ar
dig: duːgal
dig: waŋgar
dog: gudaː
dog: ŋaːd̪aːr
drink: buɲɟal
drink: bula-
drink: ɟiɟal
drink: ɲuɲɟal
dry: baɲɟil
dust: bulbuːr
dust: wuːriː
ear: d̪uba
ear: milga
earth: bubu
eat: bamba-ŋal
eat: budal
egg: digir
egg: gundil
egg: wuruːn
elbow: d̪inbaːr
elbow: ɟinu
elbow: yurŋgal
emu: buriway
eye: miːl
eye: walgul
face: bud̪iːl
face: bun̪abun̪a
fall: buliː
fall: gulŋgal
far: d̪aːlbur
far: gad̪iː
father: biːba
father: ŋagjmad̪ar
fat (n.): mamba
fat (n.): milguːl
fat (n.): munaːl
fear: dumba-
fear: yinil
feather: buɟuːr
few: gaguwar
finger: d̪algumu
finger: guluːr
fingernail: birin
fingernail: gulgi
fire: gun̪d̪in
fire: wuluŋgur
fire: wuluŋgur
fire: yugu
fish: guːɟu
fish: guyu
fish: muɲiːl
five: gaguwar
float: d̪aːrmbil
flower: ŋan ga
fly (n.): d̪abaga
fly (n.): gun̪d̪in
fly (v.): guːrbal
fly (v.): waːril
fog: giray
fog: wurbal
foot: buyiːbuyiː
foot: d̪amal
foot: d̪uŋgan
foot: ɟinu
foot: n̪uru
forehead: bidi
forehead: gaman
forest: gun gun
four: guːnduː
full: gambuːl-ɟir
girl: gabiːr
girl: maṛal
girl: munamuna
give: maybal
give: wu-maː
good: buːd̪an
good: dabaːṛ
good: d̪ulŋgal
grass: buːn̪d̪i
grass: gad̪aː
grass: ɟigan
grass: mun̪u
guts: d̪uːl
guts: d̪uːlnul
hair: gaygan
hair: ɟiril
hair: muːri
hair: muːṛi
hair: wulmul
hair: wulmul
hand: d̪algumu
hand: mangal
hand: maŋal
head: gambuːgo
head: guɟiːr
head: ŋaːbaːy
heart: burguːl
heart: dad̪ali
heart: walŋga
heavy: gulŋgul
heavy: ŋunaːrŋunaːr
here: yiː
here: yiyi
he/she: n̪aŋu
he/she: n̪in̪aːn
he/she: ɲulu
hit: gundal
hit: muŋgil
hit: ŋulŋgal
hold: garbal
hold: nandaːr-ŋal
hole: burigan
hole: diyar
hole: warigan
house: bayan
house: gaymba
how: wan̪d̪ara
hunt: -d̪adaː wad̪in
I: ŋad̪u
I: ŋan̪i
I: ŋayu
kangaroo: bibal
kangaroo: daːraːlŋan
kangaroo: gaŋuru
kangaroo: n̪argali
kill: gundal
kill: ŋulŋgal
knee: buŋgu
knee: ɟinu
know: binaːl
laugh: diːŋal
leaf: bira
leaf: yid̪ulid̪ul
leg: balŋgir
leg: guman
leg: wulu
lie: wad̪ar
lie: wu-naː
lightning: buduːnbina
lightning: wuluŋgur
lip: ɲabiːl
lip: yimbi
liver: d̪iba
liver: malgaːrga
long: galbay
long: galbay
long: wuɲaːn
long: wuɲaːn
louse: wuːgul
louse: wuːgul
man: ɟiːraːn̪
man: ɟiːraːn̪
meat: balŋgar
meat: balŋgar
meat: min̪a
moon: giːd̪a
moon: gin gin
moon: waːṛigan
morning: wun guːn̪
mosquito: gudiːr
mosquito: muwu
mother: ŋamu
mother: ŋulmbur
mountain: maɲɟal
mountain: yiŋa
mouth: bargaːṛ
mouth: ɲuruːmu
name: gadil
name: naŋginaŋgi
nape: d̪ud̪ur
nape: ɲuːɲɟu
nape: yaŋay
narrow: d̪ubu
narrow: d̪ud̪un
navel: d̪uːlbur
navel: muːd̪iːl
near: n̪ira
near: yuba
neck: manu
neck: ŋandaːl
neck: ɲuːɲɟu
new: dirgaː
new: n̪ilaː
night: budubudu
night: wud̪ur
not: gaːri
old: gambagamba
old: ɟiːraːyŋgur
old: ɟirun
old: mugul
old: wugulugul
one: nubuːn
other: yindu
person: bama
person: yambaːl
play: wuːṛiː ~ wuːṛil
pull: buːɲɟaːl
pull: bulŋal
pull: yalmbuːr-ŋal
push: d̪uːrŋal
rain: duːlbun
rain: maɟi
rat: ɟaɟu
rat: guguːr
rat: guguːrdurgin
red: diːni
red: d̪ulŋgaaal
ripe: ŋalmbu
river: biri
road: d̪udaːn
road: yimbulimbul
root: balŋgir
root: d̪arand̪aran
root: guman
root: gun̪d̪in
root: wulu
rotten: gad̪a
rotten: gunay
rub: buyur
rub: d̪ulŋgal
sand: ɲiɲiːr
sand: ɟuːgaːr
say: gural
say: waːdal
say: yirgaː
scratch: d̪aŋgur
scratch: waŋgar
sea: d̪alun
seed: mugu
see: midu-ŋal
see: n̪aː-maː
sharp: balbaːyn̪balbaːyŋgu
sharp: diːril
sharp: d̪ulŋgal
sharp: galbun galbun
short: muru
short: yigal
shoulder: d̪away
shoulder: ŋagu
shoulder: yaŋay
sister: gaːn̪aːl
sister: ɟin gur
sit: ɲargal
sit: daga-
sit: n̪il gal
skin: ɟiṛiwan
skin: ŋaraː
sky: ɟiːṛi
sky: waŋun̪
sleep: waːrŋgu
small: bid̪a
small: yigal
smell: galmur
smell: ŋuwal
smoke: buluːr
smoke: ŋalgal
snake: ɟaːṛba
snake: d̪ama
snake: d̪uŋgul
son: ɟuway
sour: gaga
sour: ɟirun
spit: n̪umba
split: ŋulŋgal
split: yiːgaːḍamal
squeeze: ɟiɲɟal
star: dabaɹ̣
star: dawaːṛ
stone: nambal
stone: wambugan
straight: d̪ulŋgal
straight: d̪umbuːr-gu
sun: gandaganda
sun: ŋalan
sweet: mula
swell: yima-
swim: d̪aːnuːr
swim: maːriːl
tail: bulgad̪ir
tail: gun̪d̪in
tail: yawurin̪
take: dawiːŋ-gayil
take: gayil
take: maː-naː
take: maːndiː
take: ŋalbil
that: n̪aː
that: n̪an̪arin
that: n̪aːyun
there: n̪aː
there: n̪aːyun
they: d̪ana
they: d̪anaːn
they: d̪anaːn
they: d̪anaŋan
they: d̪anaŋan
they two: bula
they two: bulaːn
they two: bulaːn
they two: bulaŋan
they two: bulaŋan
thigh: balŋgir
thigh: guman
thigh: wulu
thin: barban
thin: daːrgaːy
thin: ɟirun
this: yiː
this: yin̪arin
this: yiyi
thorn: d̪umul
thou: n̪anu
thou: ŋanaŋan
thou: n̪ina
thou: ɲundu
thou: yura
thou: yuraːn
thou: yuraŋan
thou: yuraŋan
three: guːnduː
throat: manu
throat: murgul
throat: ŋandaːl
throat: ɲuːɲɟu
throw: d̪ambar
throw: gala-budal
thunder: buduːnbina
thunder: d̪aramali
tie: gad̪al
tie: mudil
today: n̪ila
tomorrow: munaːl
tomorrow: wun guːn̪
tongue: ɲabiːl
tongue: ŋan̪d̪aːr
tooth: baːbuːl
tooth: muliːṛ
tree: gun̪d̪in
tree: yugu
turn: yirŋal
two: gud̪iːra
unripe: ɟiga
vagina: baːbuːl
vagina: ɟinal
vomit: gaːmar
vomit: gayɟil
walk: balil
walk: d̪adaː
walk: dudaː
walk: wanal
wallaby: bawur
wallaby: gadaːr
warm: min̪d̪il
warm: wulŋgan
wash: ɟaɲɟil
wash: gubu-ragal
water: buːrawaːy
water: buṛay
water: wabir
weep: baːɟil
weep: ɟiraːy-mal
we: ŋana
we: ŋan̪d̪aːn
we: ŋan̪d̪anun
we: ŋan̪d̪anun
wet: duna
we two (excl.): ŋalin̪
we two (excl.): ŋalin̪un
we two (excl.): ŋalin̪un
we two (incl.): ŋali
we two (incl.): ŋaliːn
we two (incl.): ŋaliːn
we two (incl.): ŋalinin
where: wan̪d̪a
where: wanḍalbi
white: d̪uːlŋgaːl-gu
white: ɟiŋgaː
who: wan̪u
wide: d̪alga
wide: waːlaːl
wife: ɟiːṛal
wind: daːn gaːy
woman: ŋaːn̪d̪u
woman: wugulugul
wood: d̪aba
wood: gun̪d̪in
wood: ɟiːgu
wood: yugu
woomera: milbiːr
worm: d̪abulin
worm: ɟinu
yesterday: duṛay
yesterday: ŋulgu
you two: yubaːl
you two: yubalin
you two: yubalin
