all: āmin
and: kan
animal: āyam
ashes: gabu
back: bonog
bad: laweŋ
bark: upik di kāyu
because: gapu ta
belly: botak
bird: sissīwit
bite: kunit
black: ŋīsit
blood: dāla
blow: sapʔuy
bone: tulʔaŋ
breast: sūsu
breathe: āŋos
burn: sogob
child: abeŋ
cloud: būnot
cold: kūmog
come: datoŋ
correct: [kustu]
count: bīlaŋ
cut: īwa
die: natoy
dig: kulūban
dirty: īsaw
dog: āsu
drink: inum
dry: maga
dull: ŋudol
dust: gabu
ear: īŋa
earth: pĩta
egg: iplug
egg: iplug
empty: lũkaw
eye: ata
fall: otdag
far: adayu
father: ama
fat (n.): lānit
fear: ogyat
few: akit
fingernail: kuku
fire: apūy
fish: ikan
five: lima
float: taplak
flow: āyus
flower: sāboŋ
fly (v.): tāʔud
fog: būnot
foot: dapan
forest: ginūbat
four: opat
frog: tũkak
fruit: būŋa
full: napnu
give: itdon
good: piya
grass: bollat
green: āta
guts: bāgis
guts: bāgis
hair: buʔūk
hand: īma
head: ūlu
hear: doŋol
heart: pūsu
heavy: dāgson
he: siya
hit: kabkab
horn: sakgud
how: kamaʔān
hunt: anup
husband: asāwa
ice: dulālu
if: nu
in: dālom
I: sākon
kill: potoyon
knee: pūwog
know: tigammu
lake: banānaw
large: dakōl
laugh: āmaŋ
leaf: tūbu
left: kawigi
leg: iki
lie: umbog
liver: agtoy
live: tāgu
long: andu
louse: kūtu
man: lalāki
many: adu
meat: bogas
moon: būlan
mother: īna
mountain: batēled
mouth: sāŋi
name: ŋādan
narrow: sūpit
near: adani
neck: bagaŋ
new: bagu
night: labi
nose: oŋol
old: lākay
one: osa
person: tāgu
play: alimok
pull: butbut
push: dūlud
rain: udan
red: dokot
right: diwanan
river: sūluŋ
road: [kālsa]
root: lamut
rope: sīlu
rotten: nalbog
round: bukol
rub: pūnas
salt: asin
sand: lagan
say: ūgud
sea: baybay
sea: baybay
seed: bukol
sew: dāʔit
sharp: todom
short: aboba
sing: [kānta ]
sit: tūpak
skin: kupsīt
sky: laŋit
sleep: sūyop
small: baŋ\og
smell: suŋsuŋon
smoke: asūk
smooth: imlun
snake: ūlog
snow: dulālu
some: sat udum
spit: lugpa
split: bīʔik
stab: duspak
stand: sīkad
star: bitūwon
stick: sūlkud
suck: supsup
sun: īnit
tail: īpus
they: dida
thick: poʔōŋ
think: mag-lamlammat
thin: kupit
thou: dikayu
thou: sĩka
three: tulu
throw: dawat
tie: takod
tongue: dīla
tooth: ŋīpon
tree: kāyu
turn: balisa
two: duwa
vomit: ūta
warm: īnit
we: (dl) dita
wet: basa
what: ŋādan nat
when: kapiga
which: ŋādan nat
white: pūkaw
who: ŋādan
why: āpay
wide: nāwag
wife: asāwa
wind: bayogbōg
wing: payak
woman: babāʔi
worm: kolāŋ
wrong: bokon
year: dagun
yellow: komat kūnig
