all: bagh
ashes: ɲaφ
ashes: ʔɲaφ
ashes: ʔɲaφ
ashes: ʔɲaφ
ashes: kiɲaφ
ashes: kiɲaφ
ashes: kinyaf
ashes: nyaf
ashes: nyaf
back: dob
back: dob
back: dob
back: dob
back: dob
back: dobuhi
back: dobuhi
back: gori
back: gori
back: gori
back: gori
back: gori
back: gori
back: gori
belly: umbo
belly: umbo
belly: umbo
belly: umbo
belly: umbo
belly: umbo
belly: umbo
belly: ʔumbo
belly: ʔumbo
belly: ʔumbo
big: ïmbede
big: ʔɨmbede
big: umbete
big: umbete
big: yimbwi
big: yumbwi
big: yumbwi
big: yumbwi
big: yumbwi
big: yumbwi
big: yumbwi
bird: wafi
bird: wafi
bird: wafi
bird: waφi
bird: waφi
bird: waφi
bird: waφi
bird: waφi
bird: waφi
bird: waφi
bite: rič
bite: rič
bite: rič
bite: rich
bite: rich
bite: riri
bite: riri
bite: rit
bite: rit
black: wari
black: wari
black: ʔwari
black: ʔwari
black: ʔwari
black: ʔwari
black: wariye
black: ʔwariye
black: ʔwariye
blood: wunande
blood: wunande
blood: yaßɨ
blood: yaßɨ
blood: yaßɨ
blood: yaßi
blood: yaßi
blood: yaßu
blood: yavi
blood: yavï
blood: yavu
bone: diage
bone: diage
bone: ngafe
bone: ngafe
bone: ngape
bone: ŋape
bone: ŋaφe
bone: ŋaφe
bone: ŋaφe
bone: ŋaφe
bone: ŋaφe
breast: mɨɲ
breast: miɲ
breast: miɲ
breast: miɲ
breast: miɲ
breast: miɲ
breast: miɲ
breast: miny
breast: miny
breast: miny
breast: mïny
brother: chech(e)
brother: jhajhe
brother: jhejhe
brother: kiseyu
calf: micu
calf: mihu
calf: mihu
calf: mitu
calf: mitu
calf: mitu
calf: mitu
calf: mityu
calf: rimtu
calf: rimtu
cassowary: dagi
cassowary: dagwi
cassowary: dwajhi
cheek: rongg
cheek: roŋk
chest: mand
chest: mand
chin: kowičambe
chin: kowičambe
chin: kowichambe
chin: kowihambe
chin: kowihambe
chin: kowisambe
chin: kowisambe
chin: kowisambe
chin: kowisambe
cloud: ngeri
cloud: ŋeri
cloud: ŋiɲ
cloud: ŋiɲ
cloud: ŋiɲ
cloud: ŋiɲ hu
cloud: ŋiɲ hu
cloud: nginy
cloud: nginy hu
cloud: nginy (tu)
cloud: ŋiɲ tu
cold: uwi
cold: uwi
cold: ʔuwi
cold: ʔuwi
cold: ʔuwi
cold: ʔuwi
cold: wem
cold: wem
cold: wum
come: -adi/-andi
come: -andi
come: -andi
come: mandi
come: mandi
come: mandi
come: mandi
come: mandi
come: mandi
come: mandi
count: maŋi
cut: fend
die: ahi
die: ati
die: at(y)i
die: n-aci
die: n-ahi
die: n-ati
die: n-ati
die: n-ati
die: n-ati
dog: ʔec
dog: ety
dog: nyombwi
dog: nyombwi
dog: ɲombwi
dog: ɲombwi
dog: ɲombwi
dog: ɲombwi
dog: ɲombwi
dog: yet
dog: yet
drink: na
drink: na
drink: na
drink: na
drink: na
drink: ne
drink: ne
drink: ne
drink: ne
drink: ne
ear: aŋgʌ
ear: angga
ear: angge
ear: angge
ear: aŋge
ear: aŋge
ear: aŋge
ear: aŋge
ear: mangge
ear: maŋge
ear: maŋge
earth: ɨ
earth: ʔɨ
earth: ɣɨ
earth: ʔɨ
earth: ʔɨ
earth: ʔɨ
earth: ghï
earth: ghï
earth: ï
earth: ï
earth: ï
earth: ï
earth: ï
eat: ke
eat: na
eat: na
eat: na
eat: na
eat: na
eat: na\
eat: na\
eat: naʔ
eat: naʔ
eat: naʔ
egg: fangg
egg: no
egg: no
egg: nyo
egg: nyo\
egg: ɲo
egg: ɲo
egg: ɲoʔ
egg: ɲoʔ
egg: uye
egg: ʔuye
egg: wiye
egg: wiye
egg: φaŋk
emu: dagi
emu: dagi
emu: dagi
emu: dagwi
emu: dwaǯi
emu: dwaǯi
eye: ra\
eye: raʔ
eye: raʔ
eye: rar
eye: rar
eye: rar
eye: rar
eye: rar
eye: rar
eye: rar
far: wonjhi
far: wonjhi
far: wonjhi
far: wonǯi
far: wonǯi
far: wonǯi
far: wonǯi
far: wonǯi
far: wonǯi
father: kiyi
father: kiyi
father: kiyi
father: kiyi
father: kiyi
father: kiyi
father: kiyi
father: nuyi
father: nuyi
fat (n.): ghiye
fat (n.): ɣiye
fat (n.): mi¼an
fat (n.): minyang
fat (n.): nyong
fat (n.): ɲoŋg
fat (n.): ɲoŋg
fat (n.): uye
fat (n.): uye
fat (n.): ʔuye
fat (n.): ʔuye
fat (n.): ʔuye
fight: yɛŋg¼
finger: humbo\
fingernail: cu
fingernail: cu
fingernail: hu\
fingernail: huʔ
fingernail: su\
fingernail: suʔ
fingernail: suʔ
fingernail: suʔ
fingernail: tyu
finger: tumbo
finger: tumbo\
fire: wace
fire: wace
fire: waha
fire: waha
fire: waha
fire: wase
fire: wase
fire: wase
fire: wase
fire: watye
fish: umo
fish: umo
fish: umo
fish: umo
fish: umo
fish: umo
fish: ʔumo
fish: ʔumo
fish: ʔumo
fly (n.): niŋgraiʔ
fly (n.): niŋgraiʔ
fly (n.): niŋgraiʔ
fly (n.): yiwanjh
fly (n.): φrik
fly (n.): φrik
fly (n.): φuro
fly (v.): frik
fly (v.): furo
fly (v.): ninggrai\
fly (v.): ninggrai\
forest: čar
forest: čar
forest: čar
forest: čar
forest: char
forest: char
forest: jhar
forest: ǯar
forest: ǯar
full: -at
full: bire
full: bire
full: bire
full: bire
full: bire
full: bire
full: bire
full: bire
full: bire
girl: abonye
girl: ambonye
girl: ambonye
girl: ambonye
girl: ambonye
girl: ambonye
girl: ambonye
girl: ambonye
girl: a(m)bonye
give: kweo
give: nieɣ
give: nieɣ
give: nieɣ
give: nieg
give: nieg
give: nieg
give: (y)e-
give: (y)e-
give: (y)e-
good: oghi
good: oɣi
good: oɣi
good: oɣi
grass: ɲuŋgu
hair: yu
hair: yu
hair: yu
hair: yu
hair: yu
hair: yu
hair: yu
hair: yu
hair: yu
hair: yu
hand: ci
hand: curam
hand: curamci
hand: hi
hand: hi
hand: hiŋapɨ
hand: hingapï
hand: huram
hand: huram
hand: si
hand: si
hand: si
hand: si
hand: suram
hand: suram
hand: suram
hand: timi
hand: timi
hand: tyi
hand: tyuram
head: ŋau
head: ngawo
head: ngawo
head: ngawo
head: ŋawo
head: ŋawo
head: ŋawo
head: ŋawo
head: ŋawo
head: ŋawu
hear: -utungu
hear: -utungu
hear: -utungu
hear: wutuŋu
hear: wutuŋu
hear: wutuŋu
hear: wutuŋu
hear: wutuŋu
hear: wutuŋu
heavy: mai
heavy: mai
heavy: mai
heavy: mai
heavy: mai
heavy: maih
heavy: maih
heavy: maiye
heavy: mai(ye)
here: mo
here: mu\(di)
here: muhdi
here: mundi
he/she: keghi
he/she: keɣi
he/she: n-
he/she: n-
he/she: n-
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: w-
hit: ba\ …-ad
hit: yengg
house: bajh
house: bajh
house: bajh
house: baǯ
house: baǯ
house: baǯ
house: baǯ
house: baǯ
house: nyonggo
house: ɲoŋgo
I: ch-
I: g-
I: jh-
I: k-
I: nge
I: nge
I: ŋe
I: ŋe
I: ŋe
I: ŋe
I: ŋe
I: ŋeßi
I: nge-vi
in: wabe
in: wabe
in: wuyi
laugh: wu na
laugh: wure na\
laugh: wure naʔ
laugh: wure naʔ
laugh: wur(u) na
laugh: wuru na
