all: šdn mwãʔ
ashes: tapip
bark: ka\tǝh
belly: ʔej
big: tabEʔ
bird: kawaw
bite: kap
black: baLtɛ̃k
blood: mǝhǝm
bone: ʔijegŋ
breast: ʔam
burn: ӡǝhɨt
claw: kalkɔʔ
cloud: ʔaL
come: dɔh
die: kǝbis
dog: ʔEʔ
drink: buʔ
dry: kasɛw
dry: ka\sɛw
ear: ʔǝntiŋ
earth: tiʔEʔ
eat: ciʔ
egg: makɔʔ
eye: mɛd
fat (n.): pɨhiL
feather: sol
fire: ʔɔs
fish: ʔikan
fly (v.): ga\pɨj
foot: can
full: habun
give: ʔɛk
good: bǝdʔɛd
green: baLʔuӡй
hair: sɔk
hand: cas
head: kuj
hear: kǝӡeŋ
heart: kǝlaŋ йes
horn: tanoʔ
I: jɛʔ
kill: diʔ gabis
knee: kaltoŋ
know: hǝjɨb
leaf: haliʔ
liver: jOs
long: bǝtuc
louse: ciʔ
man: tamkal
many: ӡanuh
meat: seӡ
moon: kǝciʔ
mountain: cǝbaʔ
mouth: haй
name: cɔʔ
neck: tǝŋkɔg
new: kanabiL
night: hɛkut
nose: mɔh
not: bǝjaʔ
one: naj
person: mǝniʔ
rain: ʔuӡadn
red: tǝhɔй
road: gǝlɔŋ
root: dǝpag
round: tɛlɛw
sand: pasi
say: sɛmagŋ
see: dɛŋ
seed: met
sit: ŋɔk
skin: kǝtǝʔ
sleep: hɔp
small: b̌\sɛй
small: kaӡit
smoke: jɛj
stand: hǝйӡaй
star: bintɛgŋ
stone: ba\tuʔ
sun: met katɔk
swim: ǧt wat
tail: hatiʔ
that: ʔɔn
this: ʔɨh
this: tudEh
thou: bɔʔ
tongue: lǝtig
tooth: йus
tree: ʔihUʔ
two: du\waʔ
walk: cɨb
water: bǝtǝw
we: ha\pwaʔ
we: hiʔ
what: lǝw
white: baltaw
who: tom
woman: mabɛ
yellow: hɛʔɔj
